xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,radius,radius_1D_PPD,dP_mu,dP_mu_1D_PPD
4.26059e+05,2.10438e-04,4.51646e+06,5.17677e-02,3.73934e+03,2.31481e-03,8.48147e+02,3.77525e-01,5.95303e-04,4.16667e-01
4.26198e+05,4.28977e-01,4.51671e+06,1.26263e-02,3.86641e+03,3.81839e-01,1.00466e+03,1.82765e-01,1.09021e-03,0.00000e+00
4.26337e+05,1.95497e-01,4.51696e+06,1.36785e-03,3.99348e+03,1.99179e-01,1.16117e+03,2.30429e-02,1.58511e-03,0.00000e+00
4.26476e+05,2.86195e-02,4.51721e+06,8.41751e-04,4.12055e+03,0.00000e+00,1.31769e+03,0.00000e+00,2.08001e-03,0.00000e+00
4.26615e+05,3.96675e-02,4.51746e+06,2.63047e-03,4.24762e+03,0.00000e+00,1.47420e+03,0.00000e+00,2.57492e-03,0.00000e+00
4.26754e+05,1.50253e-01,4.51772e+06,1.42045e-02,4.37469e+03,0.00000e+00,1.63071e+03,0.00000e+00,3.06982e-03,2.84091e-03
4.26893e+05,6.36574e-02,4.51797e+06,9.08039e-02,4.50177e+03,0.00000e+00,1.78722e+03,0.00000e+00,3.56473e-03,9.03830e-02
4.27032e+05,7.78620e-03,4.51822e+06,9.68013e-02,4.62884e+03,0.00000e+00,1.94374e+03,0.00000e+00,4.05963e-03,5.11364e-02
4.27170e+05,4.31397e-03,4.51847e+06,1.31629e-01,4.75591e+03,0.00000e+00,2.10025e+03,0.00000e+00,4.55454e-03,1.94655e-02
4.27309e+05,1.80976e-02,4.51872e+06,5.79966e-01,4.88298e+03,0.00000e+00,2.25676e+03,0.00000e+00,5.04944e-03,2.23064e-02
4.27448e+05,3.33544e-02,4.51897e+06,8.83838e-03,5.01005e+03,0.00000e+00,2.41328e+03,0.00000e+00,5.54434e-03,2.00968e-02
4.27587e+05,1.47306e-03,4.51922e+06,2.52525e-03,5.13712e+03,0.00000e+00,2.56979e+03,0.00000e+00,6.03925e-03,1.87290e-02
4.27726e+05,2.10438e-03,4.51947e+06,2.84091e-03,5.26419e+03,4.10354e-03,2.72630e+03,9.57492e-03,6.53415e-03,1.94655e-02
4.27865e+05,4.31397e-03,4.51973e+06,9.46970e-04,5.39126e+03,7.57576e-03,2.88281e+03,3.05135e-03,7.02906e-03,5.89226e-03
4.28004e+05,2.42003e-03,4.51998e+06,8.41751e-04,5.51833e+03,1.57828e-03,3.03933e+03,2.10438e-03,7.52396e-03,2.12542e-02
4.28143e+05,1.47306e-03,4.52023e+06,2.10438e-04,5.64540e+03,2.35690e-02,3.19584e+03,3.99832e-03,8.01886e-03,2.68308e-02
4.28282e+05,3.26178e-03,4.52048e+06,5.26094e-04,5.77247e+03,2.11595e-01,3.35235e+03,4.98737e-02,8.51377e-03,3.56692e-02
4.28421e+05,2.94613e-03,4.52073e+06,3.15657e-04,5.89954e+03,5.20833e-02,3.50887e+03,1.87605e-01,9.00867e-03,6.54461e-02
4.28559e+05,3.05135e-03,4.52098e+06,1.05219e-04,6.02661e+03,6.03956e-02,3.66538e+03,1.06587e-01,9.50358e-03,7.31271e-02
4.28698e+05,8.52273e-03,4.52123e+06,2.10438e-04,6.15368e+03,5.57660e-02,3.82189e+03,5.38721e-02,9.99848e-03,1.10690e-01
