xcen,ycen,depth,radius,dP_mu
4.2837820e+05,4.5199162e+06,5.2435701e+03,2.6822465e+03,1.4572019e-04
4.2592031e+05,4.5186483e+06,3.8049090e+03,9.2340648e+02,4.1939989e-03
4.2612213e+05,4.5188011e+06,3.7383697e+03,8.8935480e+02,4.3140498e-03
4.2608587e+05,4.5187060e+06,3.7106271e+03,9.2442169e+02,4.0347865e-03
4.2615246e+05,4.5187510e+06,3.6934456e+03,8.7508739e+02,4.4022754e-03
4.2846356e+05,4.5202527e+06,5.1764415e+03,2.7832187e+03,1.1082397e-04
4.2613406e+05,4.5187331e+06,3.9129053e+03,9.0712761e+02,4.3732630e-03
4.2608378e+05,4.5187597e+06,3.6122721e+03,8.8836063e+02,4.0979657e-03
4.2808958e+05,4.5203654e+06,5.2552124e+03,2.6804797e+03,1.0137951e-04
4.2850108e+05,4.5196923e+06,5.2263899e+03,2.6767627e+03,1.4208830e-04
4.2759526e+05,4.5212338e+06,5.3392923e+03,2.8598362e+03,1.7138312e-04
4.2604548e+05,4.5187036e+06,3.7960823e+03,9.0444606e+02,4.2407141e-03
4.2838267e+05,4.5198440e+06,5.2528966e+03,2.6685295e+03,1.5198788e-04
4.2606750e+05,4.5187128e+06,3.8054780e+03,9.1129300e+02,4.2503664e-03
4.2612497e+05,4.5187531e+06,3.7673942e+03,8.9841641e+02,4.3192637e-03
4.2609520e+05,4.5187120e+06,3.7589553e+03,9.2059636e+02,4.1121990e-03
4.2615686e+05,4.5187522e+06,3.7250930e+03,9.0246470e+02,4.3249020e-03
4.2831421e+05,4.5202950e+06,5.2055287e+03,2.7407367e+03,1.1185365e-04
4.2612540e+05,4.5187320e+06,3.8913529e+03,9.0567531e+02,4.3593267e-03
4.2610099e+05,4.5187298e+06,3.7203489e+03,9.0640442e+02,4.1579723e-03
4.2804833e+05,4.5204849e+06,5.2609179e+03,2.7160443e+03,1.1261201e-04
4.2862621e+05,4.5192887e+06,5.2403589e+03,2.6339247e+03,1.6233390e-04
4.2759526e+05,4.5212338e+06,5.3392923e+03,2.8598362e+03,1.7138312e-04
4.2610159e+05,4.5187286e+06,3.8117623e+03,9.0096599e+02,4.3070862e-03
4.2838267e+05,4.5198440e+06,5.2528966e+03,2.6685295e+03,1.5198788e-04
4.2608602e+05,4.5187170e+06,3.8158659e+03,9.2376403e+02,4.2207710e-03
4.2612689e+05,4.5187528e+06,3.7647879e+03,8.9874578e+02,4.3191302e-03
4.2614888e+05,4.5187357e+06,3.7480212e+03,9.1558817e+02,4.2046358e-03
4.2614819e+05,4.5187486e+06,3.7359290e+03,9.0239273e+02,4.3176513e-03
