east north spost_x spost_y spost_z err_x err_y err_z
427623.59 4519233.54    0.0549    0.0271    0.1172    0.001  0.0006  0.0036
424059.87 4520533.17   -0.0538    0.0355     0.0656   0.0008 0.0008 0.0033
422421.40 4518045.25   -0.0419   -0.0128    0.0205    0.0008 0.0008 0.0029
434725.72 4525489.55    0.0046    0.0063    0.005     0.0014 0.0016 0.0058
429846.45 4521008.34    0.0348    0.0257    0.0225    0.0014 0.0013 0.0054
419920.33 4525474.11   -0.0109    0.0053     0.002    0.0013 0.0012 0.0034
437480.64 4522079.05    0.0034    0.0027    0.003     0.0013 0.0013 0.0064
422713.96 4523579.11   -0.0197    0.0169     0.0073   0.0014 0.001 0.0057
429392.17 4516583.59    0.0292   -0.0303   0.029      0.0013 0.0008  0.0035
427852.34 4525530.25    0.0026    0.0208    0.0126    0.0015 0.0011 0.006
426319.36 4519509.33    0.0013    0.0373    0.1453    0.001  0.0009  0.0039
427128.61 4520277.22    0.0343    0.0587    0.1069    0.0008 0.0011  0.0038
425108.40 4520835.72   -0.0309    0.0635    0.0838    0.0007 0.0008  0.0031
425868.20 4523119.69   -0.0069    0.0427     0.0315   0.0014 0.0011  0.004
