coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
419920.00,4525720.00,2.73231e-03,-1.82580e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4525940.00,2.52506e-03,-2.35460e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4526160.00,2.33345e-03,-9.21000e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4526380.00,2.15644e-03,-1.75500e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4527040.00,1.70324e-03,-8.96990e-03,5.00000e-03,-0.753,-0.113,0.648
420248.70,4523884.90,5.68841e-03,1.04310e-02,5.00000e-03,-0.753,-0.113,0.648
420165.70,4524605.70,4.29880e-03,6.29000e-04,5.00000e-03,-0.753,-0.113,0.648
420129.80,4524745.00,4.05389e-03,4.02700e-03,5.00000e-03,-0.753,-0.113,0.648
420140.90,4524988.00,3.71984e-03,1.99400e-03,5.00000e-03,-0.753,-0.113,0.648
420140.00,4525280.00,3.34225e-03,-4.00900e-04,5.00000e-03,-0.753,-0.113,0.648
420242.50,4525763.20,2.84908e-03,-2.08800e-03,5.00000e-03,-0.753,-0.113,0.648
420051.60,4525848.30,2.67088e-03,-3.18000e-04,5.00000e-03,-0.753,-0.113,0.648
420173.00,4526139.20,2.44982e-03,-1.22220e-02,5.00000e-03,-0.753,-0.113,0.648
420140.00,4526600.00,2.05761e-03,-1.51630e-02,5.00000e-03,-0.753,-0.113,0.648
420140.00,4526820.00,1.89846e-03,-1.71590e-02,5.00000e-03,-0.753,-0.113,0.648
420140.00,4527040.00,1.75206e-03,-6.89760e-03,5.00000e-03,-0.753,-0.113,0.648
420140.00,4527260.00,1.61742e-03,-5.72390e-03,5.00000e-03,-0.753,-0.113,0.648
420465.60,4522929.20,8.47214e-03,1.26600e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523080.00,7.78483e-03,1.11727e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523300.00,7.21466e-03,1.28396e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523520.00,6.67730e-03,1.08774e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523740.00,6.17273e-03,1.01120e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523960.00,5.70051e-03,1.17158e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4524180.00,5.25989e-03,9.76870e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4524400.00,4.84982e-03,6.13630e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4524620.00,4.46908e-03,5.27630e-03,5.00000e-03,-0.753,-0.113,0.648
