xtlc,ytlc,dtlc,length,width,dip,opening
4.2483087e+05,4.5198940e+06,3.6158320e+03,2.6837692e+03,2.3248012e+03,6.8965482e-01,1.0587132e+00
4.2484818e+05,4.5198817e+06,3.6016338e+03,2.6592778e+03,2.3329220e+03,1.8920249e-01,1.0621036e+00
4.2481206e+05,4.5198997e+06,3.6058444e+03,2.7281883e+03,2.3618854e+03,1.1252152e+00,1.0225637e+00
4.2484537e+05,4.5198100e+06,3.6684095e+03,2.5427299e+03,2.2217906e+03,2.2229879e-01,1.2149205e+00
4.2484360e+05,4.5198386e+06,3.6355647e+03,2.6372731e+03,2.3073017e+03,8.1109534e-01,1.1122403e+00
4.2483294e+05,4.5198552e+06,3.6290288e+03,2.6094248e+03,2.2577723e+03,2.0161986e-01,1.1384575e+00
4.2483169e+05,4.5198663e+06,3.6323094e+03,2.6394687e+03,2.2963320e+03,4.9649849e-01,1.0889177e+00
4.2482919e+05,4.5198865e+06,3.6309377e+03,2.6668942e+03,2.3291949e+03,6.0183006e-01,1.0738284e+00
4.2483180e+05,4.5198754e+06,3.6012035e+03,2.6520968e+03,2.2881853e+03,2.5537479e-01,1.0959518e+00
4.2548510e+05,4.5191968e+06,5.0958016e+03,1.1276023e+03,2.9372546e+03,3.8696051e+00,3.5856264e+00
4.2484500e+05,4.5198535e+06,3.5925397e+03,2.6262794e+03,2.2447363e+03,2.8612638e-01,1.1322534e+00
4.2485813e+05,4.5198697e+06,3.5942623e+03,2.6697561e+03,2.3309774e+03,4.4768158e-01,1.0647737e+00
4.2483195e+05,4.5198269e+06,3.6618942e+03,2.6185946e+03,2.3037101e+03,8.2560323e-01,1.1190111e+00
4.2481064e+05,4.5198820e+06,3.5603818e+03,2.7151265e+03,2.3133045e+03,9.3129762e-01,1.0515035e+00
4.2483206e+05,4.5198910e+06,3.6242978e+03,2.6732196e+03,2.3246786e+03,6.2675665e-01,1.0673351e+00
4.2484856e+05,4.5198755e+06,3.6044813e+03,2.6503302e+03,2.3266278e+03,1.7711989e-01,1.0774754e+00
4.2481842e+05,4.5198894e+06,3.6107823e+03,2.7170462e+03,2.3612820e+03,1.0921279e+00,1.0283521e+00
4.2485188e+05,4.5198196e+06,3.6388296e+03,2.6061942e+03,2.2829152e+03,6.3703909e-01,1.1447568e+00
4.2485488e+05,4.5197955e+06,3.6431728e+03,2.6103527e+03,2.2865177e+03,1.0356518e+00,1.1485584e+00
4.2484160e+05,4.5198655e+06,3.6104724e+03,2.6364510e+03,2.2951415e+03,2.2587142e-01,1.1005845e+00
4.2488583e+05,4.5198032e+06,3.6605196e+03,2.6011484e+03,2.3435381e+03,5.6781928e-01,1.0883194e+00
4.2484808e+05,4.5198387e+06,3.6491490e+03,2.5912366e+03,2.2790925e+03,2.6110744e-01,1.1527593e+00
