coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
418670.00,4516876.40,4.85453e-04,7.62900e-03,5.00000e-03,0.439,-0.088,0.894
418843.50,4516856.30,6.32989e-04,7.25500e-03,5.00000e-03,0.439,-0.088,0.894
419040.00,4516040.00,8.28957e-04,-3.97400e-03,5.00000e-03,0.439,-0.088,0.894
419127.10,4516367.80,9.26271e-04,-1.18930e-02,5.00000e-03,0.439,-0.088,0.894
418972.50,4516813.80,7.58326e-04,4.39000e-04,5.00000e-03,0.439,-0.088,0.894
419292.20,4515987.00,1.10031e-03,-6.19700e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516260.00,1.07675e-03,-2.56800e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516700.00,1.08724e-03,-1.61420e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516920.00,1.08612e-03,-1.29930e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4517140.00,1.08051e-03,-7.91400e-04,5.00000e-03,0.439,-0.088,0.894
419204.70,4517375.40,9.97319e-04,-1.63460e-02,5.00000e-03,0.439,-0.088,0.894
419260.00,4518460.00,9.52540e-04,-8.19700e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516040.00,1.34720e-03,-8.42290e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516260.00,1.36779e-03,-4.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516480.00,1.38371e-03,-4.49680e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516700.00,1.39457e-03,-5.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516920.00,1.40002e-03,-5.52150e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517140.00,1.39978e-03,-5.21850e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517360.00,1.39365e-03,-4.98910e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517580.00,1.38153e-03,-8.17180e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518020.00,1.33936e-03,-5.36870e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518240.00,1.30957e-03,-3.68190e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518460.00,1.27435e-03,-8.51840e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518680.00,1.23405e-03,-9.84860e-03,5.00000e-03,0.439,-0.088,0.894
419574.20,4523793.10,1.59475e-04,-1.02690e-02,5.00000e-03,0.439,-0.088,0.894
419479.50,4524663.20,4.29008e-05,-1.86810e-02,5.00000e-03,0.439,-0.088,0.894
419736.70,4515926.70,1.72308e-03,-1.37100e-02,5.00000e-03,0.439,-0.088,0.894
419700.00,4516040.00,1.68169e-03,-8.66360e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516260.00,1.71456e-03,-5.64530e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516480.00,1.74181e-03,-5.91310e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516700.00,1.76285e-03,-6.90740e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516920.00,1.77715e-03,-9.47800e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517140.00,1.78428e-03,-8.32090e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517360.00,1.78390e-03,-8.38540e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517580.00,1.77577e-03,-8.71950e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517800.00,1.75979e-03,-6.43700e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4518020.00,1.73599e-03,-3.43130e-03,5.00000e-03,0.439,-0.088,0.894
