coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
418670.00,4516876.40,2.99675e-04,7.62900e-03,5.00000e-03,0.439,-0.088,0.894
418843.50,4516856.30,4.13875e-04,7.25500e-03,5.00000e-03,0.439,-0.088,0.894
419040.00,4516040.00,5.77700e-04,-3.97400e-03,5.00000e-03,0.439,-0.088,0.894
419127.10,4516367.80,6.49205e-04,-1.18930e-02,5.00000e-03,0.439,-0.088,0.894
418972.50,4516813.80,5.11814e-04,4.39000e-04,5.00000e-03,0.439,-0.088,0.894
419292.20,4515987.00,7.91326e-04,-6.19700e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516260.00,7.68880e-04,-2.56800e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516700.00,7.70893e-04,-1.61420e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516920.00,7.66964e-04,-1.29930e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4517140.00,7.59600e-04,-7.91400e-04,5.00000e-03,0.439,-0.088,0.894
419204.70,4517375.40,6.91216e-04,-1.63460e-02,5.00000e-03,0.439,-0.088,0.894
419260.00,4518460.00,6.44762e-04,-8.19700e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516040.00,9.85516e-04,-8.42290e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516260.00,9.98640e-04,-4.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516480.00,1.00809e-03,-4.49680e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516700.00,1.01357e-03,-5.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516920.00,1.01483e-03,-5.52150e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517140.00,1.01167e-03,-5.21850e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517360.00,1.00398e-03,-4.98910e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517580.00,9.91698e-04,-8.17180e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518020.00,9.53513e-04,-5.36870e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518240.00,9.27895e-04,-3.68190e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518460.00,8.98246e-04,-8.51840e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518680.00,8.64896e-04,-9.84860e-03,5.00000e-03,0.439,-0.088,0.894
419574.20,4523793.10,6.28838e-05,-1.02690e-02,5.00000e-03,0.439,-0.088,0.894
419479.50,4524663.20,-1.60672e-05,-1.86810e-02,5.00000e-03,0.439,-0.088,0.894
419736.70,4515926.70,1.28583e-03,-1.37100e-02,5.00000e-03,0.439,-0.088,0.894
419700.00,4516040.00,1.25121e-03,-8.66360e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516260.00,1.27422e-03,-5.64530e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516480.00,1.29277e-03,-5.91310e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516700.00,1.30643e-03,-6.90740e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516920.00,1.31480e-03,-9.47800e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517140.00,1.31755e-03,-8.32090e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517360.00,1.31444e-03,-8.38540e-03,5.00000e-03,0.439,-0.088,0.894
