xtlc,ytlc,dtlc,length,opening
4.2488711e+05,4.5195195e+06,3.4789081e+03,2.6376814e+03,1.3393085e+00
4.2488822e+05,4.5194869e+06,3.4831846e+03,2.6216019e+03,1.3594617e+00
4.2491419e+05,4.5195410e+06,3.4643186e+03,2.6080564e+03,1.3384020e+00
4.2489327e+05,4.5195020e+06,3.5157027e+03,2.6253016e+03,1.3371926e+00
4.2490631e+05,4.5195026e+06,3.4711128e+03,2.5981437e+03,1.3561168e+00
4.2489225e+05,4.5195267e+06,3.5055647e+03,2.6560731e+03,1.3233922e+00
4.2487471e+05,4.5195427e+06,3.4889956e+03,2.6628052e+03,1.3213170e+00
4.2490824e+05,4.5195305e+06,3.4856140e+03,2.6043022e+03,1.3339047e+00
4.2483016e+05,4.5195681e+06,3.5223697e+03,2.7227925e+03,1.2891065e+00
4.2490179e+05,4.5195062e+06,3.5211113e+03,2.6495120e+03,1.3319559e+00
4.2487715e+05,4.5195381e+06,3.4743244e+03,2.6502808e+03,1.3287800e+00
4.2488001e+05,4.5195137e+06,3.4839421e+03,2.6404354e+03,1.3412562e+00
4.2489825e+05,4.5195280e+06,3.4928144e+03,2.6386208e+03,1.3312891e+00
4.2486103e+05,4.5195166e+06,3.5281323e+03,2.6626739e+03,1.3210169e+00
4.2488894e+05,4.5195289e+06,3.4884070e+03,2.6250521e+03,1.3320697e+00
4.2485079e+05,4.5195358e+06,3.5384650e+03,2.7146675e+03,1.3011566e+00
4.2483690e+05,4.5195473e+06,3.5298129e+03,2.7152587e+03,1.3008268e+00
4.2487706e+05,4.5195311e+06,3.5168393e+03,2.6598361e+03,1.3163922e+00
4.2484316e+05,4.5195716e+06,3.5009538e+03,2.6898057e+03,1.2983998e+00
4.2487322e+05,4.5195203e+06,3.5145848e+03,2.6669464e+03,1.3248750e+00
4.2484537e+05,4.5195476e+06,3.5066660e+03,2.6937040e+03,1.3092523e+00
4.2485615e+05,4.5195366e+06,3.4985679e+03,2.6698416e+03,1.3210817e+00
4.2484218e+05,4.5195569e+06,3.5062734e+03,2.6920179e+03,1.3071405e+00
4.2485182e+05,4.5195354e+06,3.5178743e+03,2.6767700e+03,1.3139760e+00
4.2486222e+05,4.5195487e+06,3.5024721e+03,2.6569091e+03,1.3142998e+00
4.2485021e+05,4.5195320e+06,3.5380814e+03,2.7126943e+03,1.3038387e+00
4.2481818e+05,4.5195578e+06,3.5226490e+03,2.7156822e+03,1.2996804e+00
4.2486387e+05,4.5195464e+06,3.5247113e+03,2.6842175e+03,1.3033448e+00
4.2481759e+05,4.5195620e+06,3.5186657e+03,2.7360634e+03,1.2939264e+00
4.2483727e+05,4.5195470e+06,3.5211746e+03,2.6981965e+03,1.3078843e+00
4.2483857e+05,4.5195383e+06,3.5118664e+03,2.7103314e+03,1.3083476e+00
4.2485039e+05,4.5195456e+06,3.5117772e+03,2.6788250e+03,1.3106912e+00
4.2480800e+05,4.5195575e+06,3.5240949e+03,2.7562838e+03,1.2947662e+00
4.2485542e+05,4.5195387e+06,3.5260085e+03,2.6671386e+03,1.3124126e+00
4.2484446e+05,4.5195546e+06,3.5058146e+03,2.6970878e+03,1.3048529e+00
4.2483505e+05,4.5195249e+06,3.5485270e+03,2.7214701e+03,1.3059132e+00
4.2481651e+05,4.5195584e+06,3.5233938e+03,2.7029433e+03,1.3008250e+00
4.2484103e+05,4.5195560e+06,3.5231515e+03,2.6958740e+03,1.2997358e+00
4.2480961e+05,4.5195576e+06,3.5158981e+03,2.7548964e+03,1.2930065e+00
4.2482999e+05,4.5195855e+06,3.5191683e+03,2.6490298e+03,1.3076331e+00
4.2482315e+05,4.5195398e+06,3.5167056e+03,2.7386380e+03,1.3023226e+00
4.2485387e+05,4.5195512e+06,3.5075662e+03,2.6688938e+03,1.3131347e+00
4.2481828e+05,4.5195646e+06,3.5156308e+03,2.7147935e+03,1.3030469e+00
4.2487455e+05,4.5195301e+06,3.5277466e+03,2.6455061e+03,1.3197171e+00
4.2485284e+05,4.5195463e+06,3.5198752e+03,2.6787172e+03,1.3056207e+00
4.2483127e+05,4.5195326e+06,3.5495591e+03,2.7355385e+03,1.2983042e+00
4.2481449e+05,4.5195334e+06,3.5321930e+03,2.7265146e+03,1.2995158e+00
4.2483607e+05,4.5195652e+06,3.5248689e+03,2.6973171e+03,1.2966434e+00
4.2480815e+05,4.5195457e+06,3.5373682e+03,2.7528848e+03,1.2943310e+00
4.2482733e+05,4.5195699e+06,3.5232276e+03,2.6895680e+03,1.3013187e+00
4.2483135e+05,4.5195457e+06,3.5229735e+03,2.7188346e+03,1.3035848e+00
4.2485815e+05,4.5195526e+06,3.5053083e+03,2.6509766e+03,1.3153076e+00
4.2480932e+05,4.5195668e+06,3.5176829e+03,2.7244404e+03,1.3010321e+00
4.2486019e+05,4.5195244e+06,3.5294475e+03,2.6629841e+03,1.3189720e+00
