xtlc,xtlc_1D_PPD,ytlc,ytlc_1D_PPD,dtlc,dtlc_1D_PPD,length,length_1D_PPD,opening,opening_1D_PPD
4.22500e+05,1.36667e-02,4.51550e+06,9.91667e-03,2.25003e+03,8.08333e-03,6.75972e+02,1.55000e-02,2.95482e-01,7.08333e-03
4.22998e+05,1.54167e-02,4.51600e+06,1.34167e-02,2.50001e+03,1.12500e-02,8.50827e+02,1.35833e-02,4.90439e-01,8.91667e-03
4.23496e+05,2.08333e-02,4.51650e+06,1.48333e-02,2.74998e+03,1.14167e-02,1.02568e+03,2.02500e-02,6.85396e-01,9.83333e-03
4.23994e+05,3.90833e-02,4.51700e+06,1.86667e-02,2.99996e+03,2.21667e-02,1.20054e+03,4.48333e-02,8.80353e-01,1.26667e-02
4.24492e+05,6.55000e-02,4.51750e+06,2.30833e-02,3.24993e+03,2.67500e-02,1.37539e+03,1.00167e-01,1.07531e+00,2.15833e-02
4.24990e+05,1.63917e-01,4.51800e+06,2.99167e-02,3.49991e+03,5.31667e-02,1.55025e+03,1.13500e-01,1.27027e+00,3.00000e-02
4.25488e+05,3.36167e-01,4.51850e+06,4.73333e-02,3.74989e+03,1.16917e-01,1.72510e+03,7.16667e-02,1.46522e+00,4.32500e-02
4.25986e+05,2.13500e-01,4.51900e+06,8.95000e-02,3.99986e+03,1.87417e-01,1.89996e+03,7.34167e-02,1.66018e+00,7.71667e-02
4.26484e+05,4.76667e-02,4.51950e+06,3.05167e-01,4.24984e+03,1.27583e-01,2.07481e+03,9.49167e-02,1.85514e+00,7.46667e-02
4.26982e+05,1.95833e-02,4.52000e+06,3.31250e-01,4.49981e+03,8.81667e-02,2.24967e+03,7.25833e-02,2.05010e+00,7.00000e-02
4.27480e+05,1.27500e-02,4.52050e+06,5.13333e-02,4.74979e+03,5.30833e-02,2.42452e+03,7.37500e-02,2.24505e+00,9.55000e-02
4.27978e+05,9.08333e-03,4.52100e+06,1.97500e-02,4.99976e+03,4.31667e-02,2.59938e+03,6.75000e-02,2.44001e+00,5.65833e-02
4.28476e+05,7.50000e-03,4.52150e+06,1.06667e-02,5.24974e+03,4.67500e-02,2.77423e+03,5.87500e-02,2.63497e+00,5.68333e-02
4.28974e+05,7.08333e-03,4.52200e+06,7.33333e-03,5.49971e+03,4.28333e-02,2.94909e+03,4.18333e-02,2.82992e+00,6.82500e-02
4.29472e+05,4.66667e-03,4.52250e+06,5.58333e-03,5.74969e+03,3.58333e-02,3.12394e+03,2.99167e-02,3.02488e+00,6.68333e-02
4.29970e+05,5.33333e-03,4.52300e+06,3.83333e-03,5.99966e+03,3.34167e-02,3.29880e+03,3.00000e-02,3.21984e+00,8.45833e-02
4.30468e+05,4.50000e-03,4.52350e+06,5.16667e-03,6.24964e+03,2.62500e-02,3.47365e+03,2.51667e-02,3.41479e+00,7.05000e-02
4.30966e+05,4.75000e-03,4.52400e+06,4.00000e-03,6.49961e+03,2.35000e-02,3.64851e+03,1.73333e-02,3.60975e+00,5.00000e-02
4.31464e+05,4.58333e-03,4.52450e+06,4.00000e-03,6.74959e+03,2.18333e-02,3.82337e+03,1.62500e-02,3.80471e+00,4.11667e-02
4.31962e+05,4.41667e-03,4.52500e+06,5.25000e-03,6.99956e+03,2.04167e-02,3.99822e+03,1.90833e-02,3.99967e+00,5.45833e-02
