func,iter,xtlc,ytlc,dtlc,length,opening
2.024847e+01,11,4.2556011e+05,4.5195390e+06,3.9342802e+03,1.3445400e+03,3.1855568e+00
2.031995e+01,10,4.2561278e+05,4.5195101e+06,3.8699680e+03,1.2507937e+03,3.3425820e+00
2.034106e+01,11,4.2568715e+05,4.5195564e+06,3.9711156e+03,1.1390404e+03,3.8149582e+00
2.035142e+01,10,4.2561022e+05,4.5195649e+06,3.9021548e+03,1.2597778e+03,3.3415700e+00
2.041885e+01,11,4.2561687e+05,4.5195096e+06,3.8963133e+03,1.2550638e+03,3.3178951e+00
2.046322e+01,11,4.2550916e+05,4.5195307e+06,3.9957144e+03,1.3724623e+03,3.2044828e+00
2.047360e+01,11,4.2554191e+05,4.5195816e+06,3.8663890e+03,1.3837287e+03,3.0332290e+00
2.049509e+01,11,4.2550266e+05,4.5195720e+06,3.8287001e+03,1.5097893e+03,2.7616612e+00
2.050833e+01,11,4.2560756e+05,4.5194932e+06,3.8546093e+03,1.2058560e+03,3.4807062e+00
2.056968e+01,10,4.2546212e+05,4.5195031e+06,3.8570057e+03,1.4736024e+03,2.8161806e+00
2.058670e+01,11,4.2552687e+05,4.5195461e+06,3.8446578e+03,1.3527872e+03,3.0118046e+00
2.058706e+01,11,4.2555311e+05,4.5195825e+06,3.9042326e+03,1.3129981e+03,3.2006151e+00
2.060659e+01,11,4.2564656e+05,4.5194983e+06,3.8703006e+03,1.0894356e+03,3.7695659e+00
2.063743e+01,11,4.2528982e+05,4.5195507e+06,3.7979280e+03,1.9064448e+03,2.1608352e+00
2.065574e+01,11,4.2550742e+05,4.5195034e+06,3.9748063e+03,1.4482381e+03,3.0987047e+00
2.066001e+01,11,4.2564368e+05,4.5195090e+06,3.8050380e+03,1.2142986e+03,3.3395739e+00
2.068147e+01,10,4.2527014e+05,4.5195257e+06,3.8820892e+03,1.9464275e+03,2.2247671e+00
2.069087e+01,10,4.2552402e+05,4.5194926e+06,4.0499442e+03,1.4498506e+03,3.1465031e+00
2.069375e+01,11,4.2562575e+05,4.5195442e+06,4.0144726e+03,1.2977929e+03,3.4735709e+00
2.070602e+01,10,4.2547998e+05,4.5194949e+06,3.9572372e+03,1.3687197e+03,3.1462115e+00
