xtlc,xtlc_1D_PPD,ytlc,ytlc_1D_PPD,dtlc,dtlc_1D_PPD,length,length_1D_PPD,width,width_1D_PPD,dip,dip_1D_PPD,opening,opening_1D_PPD
4.24865e+05,3.24675e-03,4.51923e+06,7.21501e-04,3.63715e+03,2.97619e-03,7.14347e+02,1.36634e-01,1.48420e+03,9.19913e-03,2.88490e-01,9.86742e-01,1.17144e+00,7.48557e-03
4.24920e+05,7.48557e-03,4.51927e+06,0.00000e+00,3.71392e+03,9.26227e-02,8.20338e+02,3.86995e-01,1.56803e+03,1.74062e-02,4.76970e-01,8.20707e-03,1.32031e+00,7.30519e-02
4.24975e+05,7.27814e-02,4.51930e+06,1.53319e-03,3.79069e+03,3.41901e-01,9.26330e+02,1.57377e-01,1.65186e+03,1.87590e-02,6.65450e-01,2.43506e-03,1.46918e+00,4.14863e-03
4.25030e+05,1.71356e-03,4.51934e+06,1.13636e-02,3.86747e+03,5.60606e-01,1.03232e+03,5.42929e-02,1.73568e+03,1.49711e-02,8.53929e-01,1.08225e-03,1.61805e+00,4.59957e-03
4.25085e+05,4.05844e-03,4.51938e+06,1.82179e-02,3.94424e+03,7.21501e-04,1.13831e+03,3.20166e-02,1.81951e+03,1.87590e-02,1.04241e+00,1.80375e-04,1.76692e+00,1.03716e-02
4.25139e+05,9.46970e-03,4.51942e+06,1.69553e-02,4.02101e+03,0.00000e+00,1.24430e+03,3.60750e-02,1.90333e+03,1.47006e-02,1.23089e+00,1.80375e-04,1.91579e+00,9.46970e-03
4.25194e+05,1.89394e-02,4.51946e+06,1.45202e-02,4.09778e+03,2.70563e-04,1.35030e+03,1.49711e-02,1.98716e+03,1.25361e-02,1.41937e+00,0.00000e+00,2.06466e+00,6.76407e-03
4.25249e+05,1.72258e-02,4.51950e+06,1.75866e-02,4.17455e+03,0.00000e+00,1.45629e+03,8.74820e-03,2.07099e+03,1.36183e-02,1.60785e+00,2.70563e-04,2.21354e+00,1.25361e-02
4.25304e+05,1.56926e-02,4.51954e+06,1.90296e-02,4.25132e+03,9.01876e-05,1.56228e+03,8.83838e-03,2.15481e+03,4.73485e-02,1.79633e+00,9.01876e-05,2.36241e+00,1.20851e-02
4.25359e+05,8.29726e-03,4.51958e+06,2.07431e-02,4.32809e+03,0.00000e+00,1.66827e+03,6.94444e-03,2.23864e+03,8.90152e-02,1.98481e+00,0.00000e+00,2.51128e+00,3.16558e-02
4.25413e+05,6.58369e-03,4.51962e+06,3.18362e-02,4.40486e+03,0.00000e+00,1.77426e+03,1.04618e-02,2.32246e+03,1.04076e-01,2.17329e+00,0.00000e+00,2.66015e+00,4.90620e-02
4.25468e+05,9.19913e-03,4.51966e+06,1.19769e-01,4.48163e+03,9.01876e-05,1.88025e+03,1.58730e-02,2.40629e+03,1.43038e-01,2.36177e+00,9.01876e-05,2.80902e+00,4.69877e-02
4.25523e+05,1.06421e-02,4.51969e+06,1.66396e-01,4.55840e+03,0.00000e+00,1.98625e+03,1.54221e-02,2.49012e+03,1.62067e-01,2.55025e+00,0.00000e+00,2.95789e+00,3.66162e-02
4.25578e+05,1.79473e-02,4.51973e+06,1.91558e-01,4.63518e+03,9.01876e-05,2.09224e+03,1.02814e-02,2.57394e+03,1.40963e-01,2.73873e+00,0.00000e+00,3.10676e+00,3.51732e-02
4.25632e+05,3.58947e-02,4.51977e+06,1.70004e-01,4.71195e+03,1.80375e-04,2.19823e+03,1.30772e-02,2.65777e+03,9.76732e-02,2.92721e+00,1.80375e-04,3.25563e+00,3.70671e-02
4.25687e+05,3.71573e-02,4.51981e+06,1.18687e-01,4.78872e+03,0.00000e+00,2.30422e+03,6.94444e-03,2.74159e+03,6.07864e-02,3.11569e+00,9.01876e-05,3.40451e+00,5.36616e-02
4.25742e+05,7.39538e-02,4.51985e+06,5.51046e-02,4.86549e+03,0.00000e+00,2.41021e+03,8.20707e-03,2.82542e+03,2.37193e-02,3.30417e+00,0.00000e+00,3.55338e+00,8.33333e-02
4.25797e+05,2.21230e-01,4.51989e+06,1.94805e-02,4.94226e+03,0.00000e+00,2.51620e+03,6.67388e-02,2.90925e+03,7.93651e-03,3.49265e+00,0.00000e+00,3.70225e+00,1.15440e-01
4.25852e+05,3.75541e-01,4.51993e+06,5.95238e-03,5.01903e+03,0.00000e+00,2.62220e+03,8.20707e-03,2.99307e+03,2.79582e-03,3.68113e+00,0.00000e+00,3.85112e+00,1.56295e-01
4.25906e+05,5.29401e-02,4.51997e+06,5.41126e-04,5.09580e+03,4.50938e-04,2.72819e+03,1.89394e-03,3.07690e+03,6.31313e-04,3.86961e+00,4.50938e-04,3.99999e+00,2.14196e-01
