coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
418670.00,4516876.40,2.49271e-04,7.62900e-03,5.00000e-03,0.439,-0.088,0.894
418843.50,4516856.30,3.58298e-04,7.25500e-03,5.00000e-03,0.439,-0.088,0.894
419040.00,4516040.00,5.24148e-04,-3.97400e-03,5.00000e-03,0.439,-0.088,0.894
419127.10,4516367.80,5.89231e-04,-1.18930e-02,5.00000e-03,0.439,-0.088,0.894
418972.50,4516813.80,4.52314e-04,4.39000e-04,5.00000e-03,0.439,-0.088,0.894
419292.20,4515987.00,7.31669e-04,-6.19700e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516260.00,7.06140e-04,-2.56800e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516700.00,7.02228e-04,-1.61420e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516920.00,6.95663e-04,-1.29930e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4517140.00,6.85944e-04,-7.91400e-04,5.00000e-03,0.439,-0.088,0.894
419204.70,4517375.40,6.17950e-04,-1.63460e-02,5.00000e-03,0.439,-0.088,0.894
419260.00,4518460.00,5.64827e-04,-8.19700e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516040.00,9.19492e-04,-8.42290e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516260.00,9.28636e-04,-4.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516480.00,9.34234e-04,-4.49680e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516700.00,9.36054e-04,-5.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516920.00,9.33912e-04,-5.52150e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517140.00,9.27677e-04,-5.21850e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517360.00,9.17281e-04,-4.98910e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517580.00,9.02720e-04,-8.17180e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518020.00,8.61441e-04,-5.36870e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518240.00,8.35063e-04,-3.68190e-03,5.00000e-03,0.439,-0.088,0.894
