xtlc,xtlc_1D_PPD,ytlc,ytlc_1D_PPD,dtlc,dtlc_1D_PPD,length,length_1D_PPD,width,width_1D_PPD,dip,dip_1D_PPD,opening,opening_1D_PPD
4.22500e+05,1.48333e-02,4.51550e+06,7.22222e-03,2.25077e+03,1.02222e-02,6.77956e+02,1.72778e-02,6.75032e+02,3.72778e-02,1.59463e+00,1.65556e-01,2.95651e-01,7.55556e-03
4.22999e+05,2.31667e-02,4.51600e+06,7.44444e-03,2.50061e+03,1.18889e-02,8.52794e+02,2.18889e-02,8.50023e+02,3.06667e-02,3.08880e+00,1.61778e-01,4.90611e-01,1.06667e-02
4.23499e+05,3.67778e-02,4.51650e+06,8.72222e-03,2.75046e+03,1.62222e-02,1.02763e+03,3.13889e-02,1.02501e+03,2.35000e-02,4.58297e+00,1.45167e-01,6.85570e-01,1.44444e-02
4.23998e+05,6.31667e-02,4.51700e+06,1.40556e-02,3.00031e+03,2.30556e-02,1.20247e+03,3.97222e-02,1.20001e+03,2.70556e-02,6.07714e+00,1.04944e-01,8.80530e-01,2.37778e-02
4.24497e+05,1.07056e-01,4.51750e+06,1.92778e-02,3.25016e+03,3.13333e-02,1.37731e+03,5.21667e-02,1.37500e+03,3.46111e-02,7.57131e+00,7.87778e-02,1.07549e+00,3.85556e-02
4.24997e+05,1.77611e-01,4.51800e+06,2.85556e-02,3.50000e+03,5.41667e-02,1.55215e+03,5.21111e-02,1.54999e+03,4.82778e-02,9.06548e+00,6.92222e-02,1.27045e+00,6.42778e-02
4.25496e+05,2.40278e-01,4.51850e+06,5.51111e-02,3.74985e+03,9.32222e-02,1.72698e+03,6.20000e-02,1.72498e+03,5.43333e-02,1.05597e+01,5.09444e-02,1.46541e+00,9.92222e-02
4.25996e+05,1.61833e-01,4.51900e+06,1.04944e-01,3.99970e+03,1.22611e-01,1.90182e+03,8.07222e-02,1.89997e+03,4.58333e-02,1.20538e+01,3.90556e-02,1.66037e+00,1.09722e-01
4.26495e+05,7.11667e-02,4.51950e+06,1.77667e-01,4.24955e+03,1.30500e-01,2.07666e+03,9.20556e-02,2.07496e+03,3.36111e-02,1.35480e+01,3.27222e-02,1.85533e+00,1.00056e-01
4.26995e+05,3.56111e-02,4.52000e+06,2.44778e-01,4.49940e+03,1.08333e-01,2.25150e+03,9.40556e-02,2.24995e+03,3.76667e-02,1.50422e+01,2.47222e-02,2.05029e+00,6.50000e-02
4.27494e+05,2.05556e-02,4.52050e+06,1.82778e-01,4.74924e+03,7.97778e-02,2.42633e+03,7.34444e-02,2.42494e+03,4.67778e-02,1.65363e+01,2.09444e-02,2.24525e+00,4.44444e-02
4.27993e+05,1.13889e-02,4.52100e+06,7.36667e-02,4.99909e+03,5.65556e-02,2.60117e+03,5.52222e-02,2.59994e+03,6.07778e-02,1.80305e+01,1.77778e-02,2.44021e+00,3.74444e-02
4.28493e+05,7.61111e-03,4.52150e+06,3.07222e-02,5.24894e+03,4.41111e-02,2.77601e+03,4.76667e-02,2.77493e+03,8.46667e-02,1.95247e+01,1.77778e-02,2.63516e+00,3.69444e-02
4.28992e+05,6.50000e-03,4.52200e+06,1.65000e-02,5.49879e+03,4.23333e-02,2.95085e+03,4.77778e-02,2.94992e+03,9.17778e-02,2.10188e+01,1.53333e-02,2.83012e+00,3.40556e-02
4.29492e+05,4.88889e-03,4.52250e+06,8.38889e-03,5.74864e+03,3.76111e-02,3.12569e+03,5.15556e-02,3.12491e+03,8.65000e-02,2.25130e+01,1.07222e-02,3.02508e+00,3.83889e-02
4.29991e+05,2.94444e-03,4.52300e+06,5.66667e-03,5.99848e+03,3.21667e-02,3.30052e+03,4.46111e-02,3.29990e+03,6.38889e-02,2.40072e+01,9.83333e-03,3.22004e+00,3.62222e-02
4.30491e+05,3.66667e-03,4.52350e+06,4.22222e-03,6.24833e+03,3.02222e-02,3.47536e+03,3.98889e-02,3.47489e+03,5.10556e-02,2.55014e+01,9.83333e-03,3.41500e+00,4.11667e-02
4.30990e+05,4.33333e-03,4.52399e+06,3.27778e-03,6.49818e+03,2.59444e-02,3.65020e+03,3.45556e-02,3.64988e+03,4.60000e-02,2.69955e+01,9.00000e-03,3.60996e+00,4.40556e-02
4.31489e+05,3.22222e-03,4.52449e+06,3.83333e-03,6.74803e+03,2.48333e-02,3.82504e+03,2.97778e-02,3.82488e+03,4.66667e-02,2.84897e+01,8.33333e-03,3.80492e+00,5.99444e-02
4.31989e+05,3.38889e-03,4.52499e+06,3.16667e-03,6.99788e+03,2.48889e-02,3.99988e+03,3.21111e-02,3.99987e+03,4.90556e-02,2.99839e+01,7.55556e-03,3.99988e+00,9.40556e-02
