func,iter,xtlc,ytlc,dtlc,length,width,dip,opening
2.152806e+01,16,4.2565602e+05,4.5194197e+06,3.9747792e+03,1.2104400e+03,1.7533120e+03,2.5949286e-01,3.8322954e+00
2.252292e+01,17,4.2535976e+05,4.5199485e+06,3.9152793e+03,1.9490705e+03,2.8148295e+03,2.8403903e-01,1.5078895e+00
2.271594e+01,16,4.2530710e+05,4.5197434e+06,3.7684822e+03,1.9346246e+03,2.2339245e+03,9.3018053e-01,1.8655464e+00
2.274325e+01,15,4.2541999e+05,4.5192262e+06,4.0893890e+03,1.5939385e+03,1.3986194e+03,1.0420388e+00,3.6112608e+00
2.275330e+01,15,4.2557680e+05,4.5194426e+06,3.8911152e+03,1.3318923e+03,1.5547807e+03,2.6560771e+00,3.7260672e+00
2.275949e+01,17,4.2548232e+05,4.5193748e+06,3.8409886e+03,1.3251973e+03,1.4738954e+03,2.1259193e+00,3.8740025e+00
2.300930e+01,14,4.2554657e+05,4.5194316e+06,3.9245442e+03,1.6352918e+03,1.4407861e+03,3.3119342e-01,3.4136856e+00
2.302393e+01,17,4.2518610e+05,4.5197159e+06,3.8205953e+03,2.0062715e+03,2.4615978e+03,1.2295114e+00,1.6262560e+00
2.303098e+01,16,4.2532793e+05,4.5198128e+06,3.8263741e+03,1.8125575e+03,2.7316098e+03,1.2440279e+00,1.6217209e+00
2.327115e+01,17,4.2556158e+05,4.5192140e+06,4.1095225e+03,1.3686841e+03,1.5177146e+03,1.6130296e-01,3.8321029e+00
2.338007e+01,15,4.2500533e+05,4.5199279e+06,3.6290925e+03,2.4178836e+03,2.5768541e+03,1.5667235e+00,1.2736856e+00
2.346518e+01,14,4.2520912e+05,4.5200799e+06,3.7334821e+03,1.8364142e+03,3.1135439e+03,1.4164027e+00,1.4151845e+00
2.349948e+01,17,4.2519473e+05,4.5199438e+06,3.5749880e+03,2.0209076e+03,2.5489356e+03,1.0715590e+00,1.4851348e+00
2.365503e+01,16,4.2535065e+05,4.5198105e+06,3.7808946e+03,1.9785229e+03,2.5576457e+03,1.1427850e+00,1.5184985e+00
2.367676e+01,17,4.2530831e+05,4.5191460e+06,4.1009616e+03,1.6395301e+03,1.2981464e+03,4.0976758e-01,3.9343777e+00
2.370704e+01,15,4.2519960e+05,4.5197295e+06,3.7562129e+03,2.1185671e+03,2.5509222e+03,9.2310321e-01,1.4284300e+00
2.372737e+01,17,4.2545167e+05,4.5194137e+06,4.1644659e+03,1.3687066e+03,1.5691927e+03,2.1453779e+00,3.9755539e+00
2.376815e+01,16,4.2539195e+05,4.5200737e+06,3.9809610e+03,1.7292320e+03,3.3881748e+03,6.3021516e-01,1.4474118e+00
2.380363e+01,17,4.2552250e+05,4.5200234e+06,3.9942416e+03,1.5973392e+03,2.7758642e+03,9.8753562e-01,1.9029654e+00
2.387259e+01,16,4.2558811e+05,4.5193961e+06,3.7278563e+03,1.2211711e+03,1.5543413e+03,3.0224823e+00,3.9713716e+00
2.388101e+01,16,4.2526089e+05,4.5200696e+06,3.7673466e+03,1.8503817e+03,2.7655958e+03,1.3691245e+00,1.5035080e+00
2.403984e+01,17,4.2539623e+05,4.5194919e+06,3.7176286e+03,1.7654381e+03,1.2771604e+03,2.1853088e-01,3.1099616e+00
2.413387e+01,15,4.2538181e+05,4.5199276e+06,4.0208582e+03,1.7419688e+03,2.8038014e+03,9.9968231e-01,1.8520332e+00
2.414392e+01,15,4.2563989e+05,4.5195415e+06,4.0179663e+03,1.2837978e+03,1.8707331e+03,3.4612512e+00,3.5185851e+00
2.430334e+01,17,4.2516745e+05,4.5199160e+06,3.5309383e+03,2.1595160e+03,2.5017982e+03,1.2763105e+00,1.4237000e+00
2.433390e+01,15,4.2575282e+05,4.5194260e+06,3.7304312e+03,1.1057907e+03,1.6159929e+03,2.4321786e+00,3.9911323e+00
2.438273e+01,17,4.2568701e+05,4.5195113e+06,3.8398451e+03,1.2537702e+03,1.6713713e+03,2.8970512e+00,3.8748624e+00
2.441093e+01,17,4.2529940e+05,4.5201043e+06,4.0824555e+03,1.6988978e+03,3.1019179e+03,6.1238308e-01,1.7071940e+00
2.441203e+01,12,4.2523432e+05,4.5199244e+06,4.1033793e+03,1.9248523e+03,3.0133234e+03,1.0762447e+00,1.5376941e+00
2.445288e+01,16,4.2560045e+05,4.5194876e+06,3.6859590e+03,1.3432109e+03,1.4137873e+03,2.7534507e+00,3.8103860e+00
2.448897e+01,16,4.2545212e+05,4.5194404e+06,4.1223931e+03,1.5642368e+03,1.4623496e+03,2.8971123e+00,3.7655477e+00
2.455383e+01,16,4.2553447e+05,4.5192653e+06,3.8823647e+03,1.4242504e+03,1.3760690e+03,9.6663248e-01,3.5847394e+00
2.461189e+01,16,4.2552784e+05,4.5192667e+06,3.9293730e+03,1.5923922e+03,1.4358265e+03,2.4353281e-01,3.6204463e+00
2.463491e+01,17,4.2556080e+05,4.5194044e+06,3.8086037e+03,1.2287978e+03,1.6704782e+03,2.9057744e+00,3.9025169e+00
2.463966e+01,16,4.2522706e+05,4.5198945e+06,4.0157435e+03,1.8134164e+03,2.7746524e+03,1.9915270e+00,1.6841505e+00
2.465285e+01,17,4.2510527e+05,4.5199144e+06,3.9910882e+03,2.0296487e+03,2.8132848e+03,1.1255964e+00,1.5493684e+00
2.474303e+01,17,4.2508720e+05,4.5197892e+06,3.6950004e+03,2.1677489e+03,2.5768754e+03,1.7546688e+00,1.4629888e+00
2.474568e+01,17,4.2576105e+05,4.5193934e+06,3.9989982e+03,1.1663674e+03,1.7002774e+03,2.0256232e+00,3.9272391e+00
2.479930e+01,16,4.2544302e+05,4.5202169e+06,3.9323141e+03,1.8007764e+03,3.3206286e+03,5.5250346e-01,1.3698260e+00
2.480510e+01,17,4.2532794e+05,4.5200704e+06,3.8949494e+03,1.9539767e+03,2.9810350e+03,6.9939687e-01,1.5183279e+00
2.481592e+01,17,4.2567784e+05,4.5195713e+06,3.9605975e+03,1.2280586e+03,1.7972039e+03,2.6098807e+00,3.8983213e+00
2.490092e+01,17,4.2549882e+05,4.5194592e+06,3.7529288e+03,1.3090535e+03,1.5075927e+03,2.6397325e+00,3.9549113e+00
2.505394e+01,17,4.2558829e+05,4.5195525e+06,3.7482010e+03,1.1870662e+03,1.6472359e+03,1.2689053e+00,3.9918410e+00
2.506317e+01,14,4.2556927e+05,4.5197895e+06,4.0580004e+03,1.4795627e+03,2.6331617e+03,9.7613466e-01,2.0533552e+00
2.507406e+01,14,4.2518887e+05,4.5198475e+06,3.9017747e+03,2.1793504e+03,2.6251679e+03,2.3800385e+00,1.4213768e+00
2.511453e+01,16,4.2516563e+05,4.5198699e+06,3.7747390e+03,1.8846604e+03,2.8577096e+03,2.2195835e+00,1.5269252e+00
2.512000e+01,17,4.2507376e+05,4.5199863e+06,3.8605707e+03,2.3987318e+03,2.6341155e+03,2.2317903e+00,1.3256767e+00
2.513634e+01,14,4.2550170e+05,4.5196033e+06,4.1721512e+03,1.2974832e+03,1.7417388e+03,1.2939605e+00,3.8734483e+00
2.522626e+01,16,4.2547792e+05,4.5193321e+06,3.8793299e+03,1.1989661e+03,1.6472222e+03,2.0691925e+00,3.9073562e+00
2.528246e+01,17,4.2501017e+05,4.5199521e+06,3.8635560e+03,2.3470443e+03,2.5160878e+03,2.2700202e+00,1.3824818e+00
