coo_X,coo_Y,synth_gps_E,synth_gps_N,synth_gps_Z,data_gps_E,data_gps_N,data_gps_Z,err_gps_E,err_gps_N,err_gps_Z
427623.59,4519233.54,6.09934e-02,1.89305e-02,1.22574e-01,5.49000e-02,2.71000e-02,1.17200e-01,1.00000e-03,6.00000e-04,3.60000e-03
424059.87,4520533.17,-4.76605e-02,3.58539e-02,5.49939e-02,-5.38000e-02,3.55000e-02,6.56000e-02,8.00000e-04,8.00000e-04,3.30000e-03
422421.40,4518045.25,-4.36546e-02,-8.78000e-03,2.92222e-02,-4.19000e-02,-1.28000e-02,2.05000e-02,8.00000e-04,8.00000e-04,2.90000e-03
434725.72,4525489.55,7.57533e-03,6.00424e-03,2.35520e-03,4.60000e-03,6.30000e-03,5.00000e-03,1.40000e-03,1.60000e-03,5.80000e-03
429846.45,4521008.34,3.62313e-02,2.24033e-02,2.68668e-02,3.48000e-02,2.57000e-02,2.25000e-02,1.40000e-03,1.30000e-03,5.40000e-03
419920.33,4525474.11,-8.79297e-03,9.12334e-03,3.58701e-03,-1.09000e-02,5.30000e-03,2.00000e-03,1.30000e-03,1.20000e-03,3.40000e-03
437480.64,4522079.05,8.00065e-03,2.32983e-03,1.87323e-03,3.40000e-03,2.70000e-03,3.00000e-03,1.30000e-03,1.30000e-03,6.40000e-03
422713.96,4523579.11,-1.58122e-02,2.08024e-02,1.14425e-02,-1.97000e-02,1.69000e-02,7.30000e-03,1.40000e-03,1.00000e-03,5.70000e-03
429392.17,4516583.59,3.77126e-02,-2.76109e-02,3.21055e-02,2.92000e-02,-3.03000e-02,2.90000e-02,1.30000e-03,8.00000e-04,3.50000e-03
427852.34,4525530.25,4.65536e-03,2.04054e-02,7.95552e-03,2.60000e-03,2.08000e-02,1.26000e-02,1.50000e-03,1.10000e-03,6.00000e-03
426319.36,4519509.33,-2.66794e-04,4.13352e-02,1.58970e-01,1.30000e-03,3.73000e-02,1.45300e-01,1.00000e-03,9.00000e-04,3.90000e-03
427128.61,4520277.22,3.26567e-02,5.87153e-02,1.05988e-01,3.43000e-02,5.87000e-02,1.06900e-01,8.00000e-04,1.10000e-03,3.80000e-03
425108.40,4520835.72,-3.37989e-02,5.57764e-02,7.26460e-02,-3.09000e-02,6.35000e-02,8.38000e-02,7.00000e-04,8.00000e-04,3.10000e-03
425868.20,4523119.69,-4.29030e-03,4.03992e-02,2.46017e-02,-6.90000e-03,4.27000e-02,3.15000e-02,1.40000e-03,1.10000e-03,4.00000e-03
