xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,radius,radius_1D_PPD,dP_mu,dP_mu_1D_PPD
4.25829e+05,2.10438e-04,4.51616e+06,1.05219e-04,2.73101e+03,8.88573e-01,6.59679e+02,6.62984e-01,6.36744e-04,9.99579e-03
4.26076e+05,1.36785e-03,4.51632e+06,0.00000e+00,2.91180e+03,1.05219e-02,7.80565e+02,2.33165e-01,1.12944e-03,8.28072e-02
4.26323e+05,4.86111e-01,4.51649e+06,0.00000e+00,3.09259e+03,3.36700e-03,9.01452e+02,9.78535e-03,1.62215e-03,1.05219e-04
4.26570e+05,5.04419e-01,4.51665e+06,2.10438e-04,3.27338e+03,1.57828e-03,1.02234e+03,7.36532e-04,2.11485e-03,1.05219e-04
4.26818e+05,2.31481e-03,4.51682e+06,0.00000e+00,3.45417e+03,6.31313e-04,1.14322e+03,2.10438e-04,2.60755e-03,1.05219e-04
4.27065e+05,2.94613e-03,4.51698e+06,0.00000e+00,3.63497e+03,6.31313e-04,1.26411e+03,2.10438e-04,3.10025e-03,2.10438e-04
4.27312e+05,7.36532e-04,4.51715e+06,2.10438e-04,3.81576e+03,5.26094e-04,1.38500e+03,0.00000e+00,3.59295e-03,1.53620e-02
4.27559e+05,7.36532e-04,4.51731e+06,4.20875e-04,3.99655e+03,9.46970e-04,1.50588e+03,0.00000e+00,4.08565e-03,8.83838e-02
4.27806e+05,1.05219e-04,4.51747e+06,1.05219e-04,4.17734e+03,1.05219e-04,1.62677e+03,7.36532e-04,4.57835e-03,7.56524e-02
4.28053e+05,2.10438e-04,4.51764e+06,0.00000e+00,4.35814e+03,1.05219e-04,1.74766e+03,9.46970e-04,5.07105e-03,2.79882e-02
4.28300e+05,2.10438e-04,4.51780e+06,7.36532e-04,4.53893e+03,0.00000e+00,1.86854e+03,8.08081e-02,5.56375e-03,3.18813e-02
4.28547e+05,0.00000e+00,4.51797e+06,3.57744e-03,4.71972e+03,1.05219e-04,1.98943e+03,6.31313e-04,6.05645e-03,2.84091e-02
4.28794e+05,0.00000e+00,4.51813e+06,3.15657e-03,4.90051e+03,3.15657e-04,2.11032e+03,1.26263e-03,6.54915e-03,3.13552e-02
4.29041e+05,2.10438e-04,4.51830e+06,8.24916e-02,5.08130e+03,0.00000e+00,2.23120e+03,3.15657e-04,7.04185e-03,4.95581e-02
4.29288e+05,1.05219e-04,4.51846e+06,1.89394e-03,5.26210e+03,2.10438e-04,2.35209e+03,1.15741e-03,7.53455e-03,6.72348e-02
4.29535e+05,0.00000e+00,4.51863e+06,9.46970e-04,5.44289e+03,2.54630e-02,2.47297e+03,2.10438e-03,8.02725e-03,7.60732e-02
4.29782e+05,0.00000e+00,4.51879e+06,2.10438e-03,5.62368e+03,5.76599e-02,2.59386e+03,3.57744e-03,8.51996e-03,8.76473e-02
4.30029e+05,0.00000e+00,4.51896e+06,9.02673e-01,5.80447e+03,6.20791e-03,2.71475e+03,2.10438e-04,9.01266e-03,9.52231e-02
4.30276e+05,2.10438e-04,4.51912e+06,1.15741e-03,5.98526e+03,2.73569e-03,2.83563e+03,7.36532e-04,9.50536e-03,1.15530e-01
4.30523e+05,1.05219e-04,4.51929e+06,2.10438e-04,6.16606e+03,3.15657e-04,2.95652e+03,4.20875e-04,9.99806e-03,1.16372e-01
