xcen,ycen,depth,radius,dP_mu
4.2736941e+05,4.5172704e+06,5.7137251e+03,2.4890285e+03,2.3231264e-04
4.2589688e+05,4.5183326e+06,4.1069761e+03,8.6561994e+02,4.4395126e-03
4.2605061e+05,4.5187445e+06,3.6782785e+03,8.1791900e+02,4.2882338e-03
4.2585940e+05,4.5181500e+06,3.9167906e+03,9.0598803e+02,3.6103326e-03
4.2630562e+05,4.5190024e+06,3.1634804e+03,7.5102427e+02,4.0709474e-03
4.3052304e+05,4.5159924e+06,4.8232422e+03,2.8511458e+03,2.0979562e-04
4.2582199e+05,4.5184577e+06,3.9484440e+03,9.2703505e+02,3.6005471e-03
4.2558235e+05,4.5187437e+06,3.9820887e+03,9.0820227e+02,3.9878612e-03
4.2762202e+05,4.5171213e+06,5.6973969e+03,2.7736658e+03,2.2086316e-04
4.2820093e+05,4.5178565e+06,5.4029747e+03,2.4905641e+03,2.7481765e-04
4.3006135e+05,4.5192856e+06,4.8553051e+03,2.9565205e+03,1.4404312e-04
4.2606425e+05,4.5185172e+06,3.9525875e+03,9.0230769e+02,3.6719058e-03
4.2736941e+05,4.5172704e+06,5.7137251e+03,2.4890285e+03,2.3231264e-04
4.2595906e+05,4.5184791e+06,3.8548691e+03,8.7453016e+02,3.9396345e-03
4.2618723e+05,4.5188240e+06,3.4850779e+03,8.0790978e+02,4.0726055e-03
4.2600482e+05,4.5184688e+06,3.7013653e+03,8.5409065e+02,3.8428326e-03
4.2628070e+05,4.5188740e+06,3.2343214e+03,7.9048154e+02,3.9879321e-03
4.2897558e+05,4.5165946e+06,5.2895337e+03,2.8098164e+03,2.1569926e-04
4.2590934e+05,4.5185213e+06,3.8722115e+03,9.0356975e+02,3.6827138e-03
4.2596014e+05,4.5186298e+06,3.6755364e+03,8.4738240e+02,3.9344719e-03
4.2606671e+05,4.5177265e+06,6.1660559e+03,2.7321266e+03,2.2679678e-04
4.2726907e+05,4.5181768e+06,5.6890513e+03,2.4788235e+03,2.7589958e-04
4.3006135e+05,4.5192856e+06,4.8553051e+03,2.9565205e+03,1.4404312e-04
4.2615390e+05,4.5187237e+06,3.6333804e+03,8.3747650e+02,3.8861862e-03
4.2736941e+05,4.5172704e+06,5.7137251e+03,2.4890285e+03,2.3231264e-04
4.2595906e+05,4.5184791e+06,3.8548691e+03,8.7453016e+02,3.9396345e-03
4.2632601e+05,4.5189782e+06,3.2622096e+03,7.6043828e+02,4.2573203e-03
4.2621225e+05,4.5187646e+06,3.3350927e+03,7.9436052e+02,4.0217797e-03
4.2646890e+05,4.5190174e+06,2.9752809e+03,7.5707463e+02,4.0193189e-03
4.2897558e+05,4.5165946e+06,5.2895337e+03,2.8098164e+03,2.1569926e-04
4.2590938e+05,4.5185213e+06,3.8721516e+03,9.0355511e+02,3.6827749e-03
4.2596014e+05,4.5186298e+06,3.6755364e+03,8.4738240e+02,3.9344719e-03
4.2654020e+05,4.5179113e+06,6.0106911e+03,2.7587243e+03,2.1698789e-04
4.2726907e+05,4.5181768e+06,5.6890513e+03,2.4788235e+03,2.7589958e-04
4.2921563e+05,4.5184826e+06,5.1423928e+03,2.8589503e+03,1.7314968e-04
4.2616909e+05,4.5187147e+06,3.4664391e+03,8.1631381e+02,3.9373269e-03
4.2735748e+05,4.5173783e+06,5.7107895e+03,2.4878143e+03,2.3749848e-04
4.2609824e+05,4.5186562e+06,3.6180241e+03,8.3299041e+02,4.0150426e-03
4.2633199e+05,4.5189268e+06,3.1964769e+03,7.6058991e+02,4.1718200e-03
4.2639164e+05,4.5189188e+06,3.0223759e+03,7.4803707e+02,4.0830695e-03
4.2642271e+05,4.5189794e+06,3.0421328e+03,7.6572762e+02,4.0114652e-03
4.2803785e+05,4.5171016e+06,5.5672113e+03,2.7901437e+03,2.1619544e-04
4.2619818e+05,4.5187579e+06,3.4076223e+03,8.1962209e+02,3.8958987e-03
