func,iter,xcen,ycen,depth,radius,dP_mu
9.607655e+00,8,4.2634375e+05,4.5187473e+06,2.6459785e+03,9.2614119e+02,2.1606300e-03
9.646745e+00,10,4.2628173e+05,4.5187251e+06,2.6963560e+03,6.0139790e+02,7.8641194e-03
9.654970e+00,11,4.2626468e+05,4.5187729e+06,2.7467946e+03,7.4347333e+02,4.3345214e-03
9.688202e+00,11,4.2630581e+05,4.5188040e+06,2.6007381e+03,5.6266899e+02,9.2246498e-03
9.769890e+00,10,4.2633698e+05,4.5187840e+06,2.6311670e+03,5.6037314e+02,9.2479804e-03
9.858217e+00,11,4.2635072e+05,4.5187372e+06,2.7495885e+03,7.7072356e+02,3.8682330e-03
9.956511e+00,11,4.2628159e+05,4.5188035e+06,2.7361315e+03,7.4734643e+02,4.1684400e-03
1.003608e+01,11,4.2626968e+05,4.5186915e+06,2.7487178e+03,7.3525004e+02,4.5268062e-03
1.005542e+01,11,4.2625923e+05,4.5187231e+06,2.7697596e+03,1.1998275e+03,1.1021516e-03
1.007233e+01,11,4.2629986e+05,4.5187842e+06,2.5364914e+03,5.4718232e+02,9.4994579e-03
1.008918e+01,11,4.2625682e+05,4.5188269e+06,2.6055513e+03,7.4071586e+02,4.0204718e-03
1.010327e+01,11,4.2624782e+05,4.5187187e+06,2.7356011e+03,5.9497251e+02,8.1499887e-03
1.010328e+01,10,4.2631123e+05,4.5186992e+06,2.6710368e+03,7.5149863e+02,3.9745471e-03
1.013197e+01,11,4.2632554e+05,4.5188149e+06,2.5465491e+03,5.4751427e+02,9.4516915e-03
1.013312e+01,11,4.2634783e+05,4.5187299e+06,2.7587222e+03,5.6693999e+02,9.5402994e-03
1.013637e+01,9,4.2632339e+05,4.5187454e+06,2.7656675e+03,1.0821101e+03,1.5157971e-03
1.019612e+01,10,4.2636860e+05,4.5187562e+06,2.8107674e+03,5.8681852e+02,9.0303222e-03
1.020964e+01,11,4.2623302e+05,4.5187157e+06,2.7942353e+03,5.7744093e+02,9.2732293e-03
1.023745e+01,10,4.2638188e+05,4.5187561e+06,2.5816211e+03,8.9212855e+02,2.3376200e-03
1.024108e+01,11,4.2631554e+05,4.5186777e+06,2.7195219e+03,7.6699216e+02,3.8930842e-03
1.025265e+01,11,4.2633841e+05,4.5188306e+06,2.5552599e+03,5.5149866e+02,9.6203233e-03
1.029630e+01,11,4.2628479e+05,4.5186762e+06,2.7113962e+03,7.6025195e+02,3.9441462e-03
1.031347e+01,11,4.2624380e+05,4.5188251e+06,2.5934123e+03,5.5530254e+02,9.3504141e-03
1.034301e+01,11,4.2629452e+05,4.5187713e+06,2.7679131e+03,5.7738304e+02,9.7008371e-03
1.036937e+01,11,4.2622785e+05,4.5187612e+06,2.7513604e+03,5.7498337e+02,9.0433150e-03
1.042153e+01,11,4.2627086e+05,4.5187933e+06,2.7611853e+03,7.0207248e+02,5.0008436e-03
1.043286e+01,9,4.2627306e+05,4.5187671e+06,2.8559675e+03,8.9042930e+02,2.6687827e-03
1.044420e+01,11,4.2622580e+05,4.5186981e+06,2.7256084e+03,1.0931307e+03,1.3720594e-03
1.047538e+01,11,4.2637507e+05,4.5188012e+06,2.7364188e+03,7.5092990e+02,4.3302678e-03
1.047652e+01,10,4.2633765e+05,4.5186861e+06,2.7596740e+03,7.4454547e+02,4.2540804e-03
1.049293e+01,11,4.2634496e+05,4.5186717e+06,2.7634285e+03,7.3791628e+02,4.5013820e-03
1.050246e+01,11,4.2626566e+05,4.5186966e+06,2.7867974e+03,7.2070665e+02,5.0225754e-03
1.051507e+01,11,4.2622091e+05,4.5187301e+06,2.6014927e+03,9.1449880e+02,2.2030349e-03
1.052620e+01,11,4.2622479e+05,4.5186817e+06,2.7491395e+03,7.4787127e+02,4.2619406e-03
1.054607e+01,11,4.2622452e+05,4.5187921e+06,2.7416980e+03,8.6135798e+02,2.8678867e-03
1.055971e+01,11,4.2623127e+05,4.5188159e+06,2.5785553e+03,5.5279089e+02,9.3079952e-03
1.060009e+01,10,4.2627946e+05,4.5187454e+06,2.8297737e+03,7.7324940e+02,4.2059631e-03
1.065868e+01,11,4.2628485e+05,4.5188097e+06,2.6499367e+03,7.0553300e+02,4.5778858e-03
1.066583e+01,10,4.2630280e+05,4.5187734e+06,2.7740107e+03,6.0250442e+02,8.6363013e-03
1.066698e+01,8,4.2626333e+05,4.5187023e+06,2.6960970e+03,7.3701602e+02,4.1560909e-03
1.070284e+01,11,4.2625949e+05,4.5188355e+06,2.6210942e+03,7.1502085e+02,4.3752096e-03
1.071422e+01,11,4.2620657e+05,4.5187474e+06,2.7068617e+03,5.9299338e+02,8.5120752e-03
1.072953e+01,11,4.2624555e+05,4.5188483e+06,2.7133044e+03,5.6878623e+02,9.4909603e-03
1.073168e+01,9,4.2628594e+05,4.5187597e+06,2.8681009e+03,7.7618599e+02,3.9575489e-03
1.076481e+01,11,4.2638738e+05,4.5187750e+06,2.4977203e+03,9.3069978e+02,1.9810321e-03
1.077025e+01,9,4.2633675e+05,4.5188473e+06,2.4827721e+03,8.5839299e+02,2.4000120e-03
1.077706e+01,8,4.2633952e+05,4.5186911e+06,2.8661462e+03,1.1081611e+03,1.4641696e-03
1.081552e+01,11,4.2626689e+05,4.5188560e+06,2.6442582e+03,7.7358800e+02,3.5432269e-03
1.083355e+01,10,4.2631089e+05,4.5186461e+06,2.8014785e+03,7.7787486e+02,3.8686667e-03
1.084341e+01,10,4.2632527e+05,4.5187705e+06,2.8461651e+03,1.0638328e+03,1.6605731e-03
1.085803e+01,11,4.2640740e+05,4.5187395e+06,2.8057955e+03,8.8982497e+02,2.6641724e-03
1.086888e+01,9,4.2622638e+05,4.5187807e+06,2.5250412e+03,5.5064780e+02,9.1754626e-03
1.090007e+01,11,4.2634199e+05,4.5187568e+06,2.4902787e+03,7.1547535e+02,4.2597625e-03
1.090654e+01,9,4.2635129e+05,4.5187531e+06,2.4889522e+03,8.2286937e+02,2.8275198e-03
1.091438e+01,7,4.2637251e+05,4.5188489e+06,2.5658702e+03,8.8915829e+02,2.4063678e-03
1.094055e+01,11,4.2618906e+05,4.5187390e+06,2.6241370e+03,7.4375589e+02,4.0598693e-03
1.095202e+01,10,4.2622236e+05,4.5188253e+06,2.5496022e+03,5.4595029e+02,9.4890200e-03
1.096204e+01,11,4.2635653e+05,4.5187769e+06,2.5286239e+03,8.6217162e+02,2.5964522e-03
1.096362e+01,11,4.2620769e+05,4.5186982e+06,2.8441347e+03,8.8477029e+02,2.6847343e-03
1.103286e+01,11,4.2628277e+05,4.5187277e+06,2.5349390e+03,5.5529689e+02,9.3445438e-03
1.103590e+01,10,4.2636961e+05,4.5186591e+06,2.7893882e+03,6.7233347e+02,5.9790697e-03
1.104523e+01,8,4.2621437e+05,4.5187406e+06,2.5946366e+03,6.8481704e+02,4.8950458e-03
1.105545e+01,11,4.2643317e+05,4.5187543e+06,2.6989241e+03,7.5842223e+02,4.0366361e-03
1.105794e+01,11,4.2629028e+05,4.5188321e+06,2.4594429e+03,6.6875403e+02,4.9080666e-03
1.109331e+01,10,4.2627488e+05,4.5188756e+06,2.5739568e+03,5.5724636e+02,9.0419804e-03
1.109615e+01,11,4.2622559e+05,4.5187094e+06,2.8792920e+03,6.7683463e+02,5.9538869e-03
1.113282e+01,11,4.2633052e+05,4.5187373e+06,2.9576818e+03,7.0931562e+02,5.5473340e-03
1.113766e+01,10,4.2624129e+05,4.5187461e+06,2.7242899e+03,5.7837137e+02,9.4959516e-03
1.116169e+01,11,4.2626065e+05,4.5187110e+06,2.5168908e+03,8.2303354e+02,2.7865485e-03
1.118295e+01,10,4.2633687e+05,4.5188441e+06,2.4330039e+03,7.3923598e+02,3.7234747e-03
1.118309e+01,11,4.2631013e+05,4.5187081e+06,2.8733272e+03,8.8636879e+02,2.8972752e-03
1.120112e+01,11,4.2627470e+05,4.5187929e+06,2.4953010e+03,8.7143460e+02,2.4642420e-03
1.121603e+01,11,4.2624868e+05,4.5188045e+06,2.4672036e+03,5.3678586e+02,9.7689972e-03
1.122054e+01,11,4.2632787e+05,4.5188626e+06,2.7620261e+03,8.7883667e+02,2.7182528e-03
1.122899e+01,9,4.2630388e+05,4.5186694e+06,2.6092104e+03,5.6286635e+02,9.2514925e-03
1.123910e+01,11,4.2637201e+05,4.5187512e+06,2.7425621e+03,7.5147266e+02,3.9971917e-03
1.124768e+01,7,4.2634109e+05,4.5187281e+06,2.8605605e+03,6.9936851e+02,5.8211088e-03
1.124883e+01,11,4.2622022e+05,4.5188590e+06,2.5874625e+03,8.8681801e+02,2.3897150e-03
1.125125e+01,11,4.2623816e+05,4.5187113e+06,2.5608760e+03,9.0642796e+02,2.2498647e-03
1.126001e+01,9,4.2623778e+05,4.5187782e+06,2.8197858e+03,1.2333110e+03,1.0696531e-03
1.126681e+01,11,4.2635186e+05,4.5187282e+06,2.5256532e+03,5.5737121e+02,9.1740876e-03
1.127175e+01,9,4.2626346e+05,4.5188254e+06,2.8648152e+03,7.1682573e+02,5.1046464e-03
1.127874e+01,11,4.2634721e+05,4.5187676e+06,2.4480102e+03,8.4458438e+02,2.4656794e-03
1.129853e+01,9,4.2638418e+05,4.5186604e+06,2.7404755e+03,9.2443555e+02,2.2655281e-03
1.130292e+01,11,4.2634850e+05,4.5186472e+06,2.7281636e+03,8.7696469e+02,2.7014144e-03
1.130308e+01,8,4.2628880e+05,4.5187487e+06,2.9017356e+03,1.1090701e+03,1.4249838e-03
1.131050e+01,11,4.2622937e+05,4.5188472e+06,2.6149394e+03,5.6273146e+02,9.4733830e-03
1.131680e+01,11,4.2626449e+05,4.5187423e+06,2.5555746e+03,8.9733821e+02,2.3548591e-03
1.131736e+01,8,4.2618580e+05,4.5186695e+06,2.7978068e+03,8.0621118e+02,3.4820951e-03
1.133023e+01,10,4.2633859e+05,4.5187603e+06,2.4375035e+03,8.6834650e+02,2.3457266e-03
1.133198e+01,10,4.2642698e+05,4.5187944e+06,2.7258091e+03,8.7322036e+02,2.7653000e-03
1.133304e+01,11,4.2639303e+05,4.5186796e+06,2.6693299e+03,9.2313032e+02,2.2519929e-03
1.133727e+01,11,4.2632679e+05,4.5187859e+06,2.7422660e+03,7.3893771e+02,4.1585428e-03
1.135649e+01,9,4.2626543e+05,4.5187935e+06,2.6033966e+03,8.6146285e+02,2.4420253e-03
1.136093e+01,11,4.2620140e+05,4.5188397e+06,2.6287330e+03,5.5378548e+02,9.4607411e-03
1.136128e+01,10,4.2637542e+05,4.5186760e+06,2.6312285e+03,7.4772791e+02,3.9720511e-03
1.136518e+01,11,4.2628893e+05,4.5186684e+06,2.8289990e+03,1.1397377e+03,1.3613044e-03
1.138213e+01,11,4.2628182e+05,4.5187393e+06,2.6626483e+03,5.4912752e+02,9.5498870e-03
1.139857e+01,10,4.2623230e+05,4.5187612e+06,2.4842074e+03,5.4114690e+02,9.5764821e-03
1.142429e+01,10,4.2638457e+05,4.5186836e+06,2.7967798e+03,5.7726901e+02,9.1606633e-03
1.142921e+01,11,4.2623985e+05,4.5187050e+06,2.5766646e+03,7.0528054e+02,4.7406809e-03
1.145740e+01,11,4.2631188e+05,4.5188573e+06,2.5627118e+03,9.0543448e+02,2.3125312e-03
1.145958e+01,11,4.2628275e+05,4.5188186e+06,2.3946156e+03,8.4492918e+02,2.4488834e-03
1.147725e+01,10,4.2626041e+05,4.5188442e+06,2.5510361e+03,7.5165265e+02,3.5750282e-03
1.150118e+01,10,4.2622483e+05,4.5186269e+06,2.8161554e+03,5.7493145e+02,9.6871262e-03
1.152606e+01,11,4.2620973e+05,4.5187631e+06,2.7628438e+03,8.3643007e+02,3.2369662e-03
1.154990e+01,11,4.2621949e+05,4.5186842e+06,2.9288629e+03,7.0435489e+02,5.7635086e-03
1.155072e+01,11,4.2625727e+05,4.5188733e+06,2.4296839e+03,9.6199136e+02,1.6920550e-03
1.155400e+01,10,4.2630790e+05,4.5187681e+06,2.5645955e+03,5.6678625e+02,9.2685545e-03
1.155874e+01,11,4.2617193e+05,4.5187323e+06,2.8316542e+03,1.1035994e+03,1.4237355e-03
1.158119e+01,9,4.2629907e+05,4.5186488e+06,2.7881973e+03,7.3024954e+02,4.4760744e-03
1.158443e+01,11,4.2632242e+05,4.5187416e+06,2.6696410e+03,5.7557652e+02,9.4843826e-03
1.159636e+01,11,4.2630519e+05,4.5187740e+06,2.4833878e+03,8.3003684e+02,2.8374869e-03
1.159713e+01,10,4.2624249e+05,4.5187917e+06,2.4914359e+03,8.9518681e+02,2.2719909e-03
1.160455e+01,10,4.2617002e+05,4.5188195e+06,2.6575465e+03,5.5955045e+02,9.6207969e-03
1.161421e+01,11,4.2635294e+05,4.5186614e+06,2.6349178e+03,8.9859357e+02,2.4062011e-03
