xcen,ycen,depth,dP_mu
4.2615495e+05,4.5188024e+06,2.8528079e+03,3.4766317e-03
4.2614552e+05,4.5188215e+06,2.7784103e+03,3.3360935e-03
4.2619719e+05,4.5187768e+06,2.9690896e+03,3.6822913e-03
4.2614297e+05,4.5188142e+06,2.8223252e+03,3.3928140e-03
4.2617601e+05,4.5187858e+06,2.9244593e+03,3.5896736e-03
4.2620986e+05,4.5187742e+06,2.9301713e+03,3.5433899e-03
4.2616132e+05,4.5187949e+06,2.9139748e+03,3.5816129e-03
4.2616355e+05,4.5188076e+06,2.8440501e+03,3.3984107e-03
4.2615692e+05,4.5188026e+06,2.8177476e+03,3.4641302e-03
4.2614051e+05,4.5188256e+06,2.7598669e+03,3.3060325e-03
4.2616442e+05,4.5187996e+06,2.8611241e+03,3.4976894e-03
4.2613448e+05,4.5188203e+06,2.7902028e+03,3.3662259e-03
4.2615867e+05,4.5187974e+06,2.8700928e+03,3.5288350e-03
4.2618146e+05,4.5188033e+06,2.8038447e+03,3.3102909e-03
4.2614505e+05,4.5188118e+06,2.8109830e+03,3.4389959e-03
4.2615656e+05,4.5188127e+06,2.8310452e+03,3.3765177e-03
4.2617281e+05,4.5187853e+06,2.8497601e+03,3.5508303e-03
4.2613889e+05,4.5188236e+06,2.7664648e+03,3.3386199e-03
4.2616677e+05,4.5188072e+06,2.8179566e+03,3.3935972e-03
4.2614278e+05,4.5188185e+06,2.7750696e+03,3.3327149e-03
4.2615463e+05,4.5188053e+06,2.8281234e+03,3.4458093e-03
4.2616358e+05,4.5188078e+06,2.8068114e+03,3.3683184e-03
4.2613099e+05,4.5188262e+06,2.7627306e+03,3.3574185e-03
4.2615884e+05,4.5188059e+06,2.8337288e+03,3.4338115e-03
4.2616600e+05,4.5187981e+06,2.8115475e+03,3.4467874e-03
4.2614507e+05,4.5188217e+06,2.7678708e+03,3.3210726e-03
4.2617098e+05,4.5188082e+06,2.8140042e+03,3.3909855e-03
4.2614425e+05,4.5188201e+06,2.7727120e+03,3.3330205e-03
4.2615809e+05,4.5188027e+06,2.8206951e+03,3.4561469e-03
4.2615381e+05,4.5188148e+06,2.7627053e+03,3.3105348e-03
4.2613033e+05,4.5188274e+06,2.7587019e+03,3.3484941e-03
4.2615362e+05,4.5188067e+06,2.8113923e+03,3.4118854e-03
4.2617619e+05,4.5187900e+06,2.7989822e+03,3.4261859e-03
4.2615247e+05,4.5188096e+06,2.7825688e+03,3.3868731e-03
4.2618246e+05,4.5188107e+06,2.8132230e+03,3.3715855e-03
4.2617162e+05,4.5188037e+06,2.7411375e+03,3.2600979e-03
4.2616161e+05,4.5188089e+06,2.7932105e+03,3.3752333e-03
4.2618209e+05,4.5187989e+06,2.7108526e+03,3.1888591e-03
4.2614996e+05,4.5188121e+06,2.7841575e+03,3.3907186e-03
4.2615793e+05,4.5188078e+06,2.7868530e+03,3.3638341e-03
4.2624532e+05,4.5187317e+06,2.7821744e+03,3.3903570e-03
4.2616865e+05,4.5188012e+06,2.7733822e+03,3.3738341e-03
4.2617847e+05,4.5188078e+06,2.8022892e+03,3.3734751e-03
4.2617495e+05,4.5187996e+06,2.7140319e+03,3.2167950e-03
4.2616834e+05,4.5188011e+06,2.7897768e+03,3.3820179e-03
4.2617940e+05,4.5188019e+06,2.7438976e+03,3.2576163e-03
4.2618836e+05,4.5187790e+06,2.7824663e+03,3.3989520e-03
4.2616738e+05,4.5188024e+06,2.7852962e+03,3.3613564e-03
4.2625670e+05,4.5187227e+06,2.7842079e+03,3.3951853e-03
4.2617661e+05,4.5187906e+06,2.7644220e+03,3.4110409e-03
4.2618491e+05,4.5187955e+06,2.7699999e+03,3.3235653e-03
4.2621141e+05,4.5187649e+06,2.7352574e+03,3.2801094e-03
4.2622541e+05,4.5187503e+06,2.7766744e+03,3.3746989e-03
4.2619441e+05,4.5187856e+06,2.7484584e+03,3.2813108e-03
4.2624300e+05,4.5187275e+06,2.7275320e+03,3.3031997e-03
4.2619603e+05,4.5187758e+06,2.7633728e+03,3.3468541e-03
4.2624461e+05,4.5187317e+06,2.7680352e+03,3.3670009e-03
4.2621009e+05,4.5187582e+06,2.7502145e+03,3.3726827e-03
4.2620992e+05,4.5187589e+06,2.7462136e+03,3.3578048e-03
4.2622593e+05,4.5187503e+06,2.7502939e+03,3.3209680e-03
4.2622761e+05,4.5187448e+06,2.7454368e+03,3.3322180e-03
4.2622572e+05,4.5187471e+06,2.7465143e+03,3.3320122e-03
4.2624555e+05,4.5187193e+06,2.6981119e+03,3.2762280e-03
4.2620957e+05,4.5187602e+06,2.7634268e+03,3.3688514e-03
4.2624078e+05,4.5187314e+06,2.7315222e+03,3.3124308e-03
4.2620246e+05,4.5187635e+06,2.7499271e+03,3.3914473e-03
4.2621102e+05,4.5187581e+06,2.7464240e+03,3.3563028e-03
4.2621733e+05,4.5187541e+06,2.7547243e+03,3.3654890e-03
4.2621701e+05,4.5187524e+06,2.7260378e+03,3.3028647e-03
4.2623628e+05,4.5187339e+06,2.7278908e+03,3.3241724e-03
4.2622470e+05,4.5187310e+06,2.6931977e+03,3.3171585e-03
4.2622240e+05,4.5187498e+06,2.7499367e+03,3.3398074e-03
4.2623407e+05,4.5187336e+06,2.7231047e+03,3.3224582e-03
4.2622579e+05,4.5187414e+06,2.7326023e+03,3.3716003e-03
4.2620969e+05,4.5187451e+06,2.6951714e+03,3.3338299e-03
4.2623038e+05,4.5187408e+06,2.7408874e+03,3.3400865e-03
4.2622688e+05,4.5187339e+06,2.6925693e+03,3.3394555e-03
4.2625118e+05,4.5187113e+06,2.6707024e+03,3.3001012e-03
4.2621767e+05,4.5187331e+06,2.6815765e+03,3.3189117e-03
4.2623730e+05,4.5187304e+06,2.7210809e+03,3.3229850e-03
4.2622957e+05,4.5187366e+06,2.7217828e+03,3.3232479e-03
4.2623025e+05,4.5187352e+06,2.7164592e+03,3.3532099e-03
4.2621646e+05,4.5187411e+06,2.7014493e+03,3.3296807e-03
4.2622495e+05,4.5187404e+06,2.7194554e+03,3.3344155e-03
4.2622243e+05,4.5187391e+06,2.6646881e+03,3.3390195e-03
4.2625456e+05,4.5187185e+06,2.6978137e+03,3.3136364e-03
4.2623474e+05,4.5187255e+06,2.6901187e+03,3.3155250e-03
4.2623995e+05,4.5187253e+06,2.6960314e+03,3.3199243e-03
4.2623970e+05,4.5187264e+06,2.6962894e+03,3.3242332e-03
4.2623346e+05,4.5187257e+06,2.7145886e+03,3.3802154e-03
4.2621993e+05,4.5187371e+06,2.6926831e+03,3.3289817e-03
4.2623645e+05,4.5187349e+06,2.7168213e+03,3.3415238e-03
4.2622133e+05,4.5187440e+06,2.6821201e+03,3.3388030e-03
4.2623389e+05,4.5187353e+06,2.6984201e+03,3.3387888e-03
4.2625187e+05,4.5187167e+06,2.6878275e+03,3.3103720e-03
4.2624769e+05,4.5187180e+06,2.6786899e+03,3.3105942e-03
4.2624416e+05,4.5187285e+06,2.6805637e+03,3.2839738e-03
4.2623949e+05,4.5187274e+06,2.6994743e+03,3.3348080e-03
4.2623566e+05,4.5187305e+06,2.6910182e+03,3.3268502e-03
4.2623444e+05,4.5187376e+06,2.7153929e+03,3.3414936e-03
4.2622507e+05,4.5187448e+06,2.6915788e+03,3.3382920e-03
4.2622270e+05,4.5187565e+06,2.6833848e+03,3.3141808e-03
4.2623974e+05,4.5187347e+06,2.6975828e+03,3.3188273e-03
4.2624300e+05,4.5187218e+06,2.6772874e+03,3.3155681e-03
4.2624503e+05,4.5187259e+06,2.6698175e+03,3.2777101e-03
4.2623826e+05,4.5187359e+06,2.6877079e+03,3.3161647e-03
4.2622767e+05,4.5187383e+06,2.6818012e+03,3.3308481e-03
4.2623154e+05,4.5187420e+06,2.7141564e+03,3.3409763e-03
4.2622768e+05,4.5187471e+06,2.6832097e+03,3.3198373e-03
4.2621250e+05,4.5187728e+06,2.6853051e+03,3.3115319e-03
4.2627815e+05,4.5187422e+06,2.7132636e+03,3.4117936e-03
4.2624114e+05,4.5187229e+06,2.6676371e+03,3.3094947e-03
4.2627701e+05,4.5187282e+06,2.6869181e+03,3.3537179e-03
4.2625078e+05,4.5187379e+06,2.6865107e+03,3.3341327e-03
4.2623836e+05,4.5187452e+06,2.6712654e+03,3.3540621e-03
4.2623489e+05,4.5187499e+06,2.6957974e+03,3.3322181e-03
4.2625097e+05,4.5187566e+06,2.6821424e+03,3.3755888e-03
4.2626027e+05,4.5188100e+06,2.7260410e+03,3.4117474e-03
4.2629337e+05,4.5187379e+06,2.7200389e+03,3.4384029e-03
4.2624245e+05,4.5187380e+06,2.6807142e+03,3.3290795e-03
4.2629226e+05,4.5187429e+06,2.6984473e+03,3.3913237e-03
4.2626996e+05,4.5187559e+06,2.7028176e+03,3.3712380e-03
4.2625873e+05,4.5187611e+06,2.6882655e+03,3.3899316e-03
4.2624782e+05,4.5187571e+06,2.6986334e+03,3.3604650e-03
4.2626519e+05,4.5187580e+06,2.6835285e+03,3.3896149e-03
4.2627789e+05,4.5187779e+06,2.7211564e+03,3.4208118e-03
4.2628517e+05,4.5187386e+06,2.7085733e+03,3.4035410e-03
4.2624810e+05,4.5187393e+06,2.6795800e+03,3.3378160e-03
4.2628611e+05,4.5187414e+06,2.7074423e+03,3.3851261e-03
4.2627156e+05,4.5187556e+06,2.7054487e+03,3.3683013e-03
4.2625902e+05,4.5187702e+06,2.6885281e+03,3.4032598e-03
4.2627387e+05,4.5187521e+06,2.7114412e+03,3.3780716e-03
4.2625470e+05,4.5187656e+06,2.6852675e+03,3.3822302e-03
4.2629912e+05,4.5187726e+06,2.7274998e+03,3.4332510e-03
4.2626753e+05,4.5187549e+06,2.6944088e+03,3.3898717e-03
4.2626517e+05,4.5187431e+06,2.6922196e+03,3.3652935e-03
4.2631706e+05,4.5187697e+06,2.7438330e+03,3.4204686e-03
4.2628816e+05,4.5187920e+06,2.7353675e+03,3.3878272e-03
4.2626901e+05,4.5187582e+06,2.6960586e+03,3.3907432e-03
4.2627578e+05,4.5187653e+06,2.7125946e+03,3.4101389e-03
4.2626955e+05,4.5187815e+06,2.7088774e+03,3.3917308e-03
4.2631875e+05,4.5187764e+06,2.7422890e+03,3.4330461e-03
4.2629376e+05,4.5187664e+06,2.7240978e+03,3.3854278e-03
4.2627598e+05,4.5187551e+06,2.7097025e+03,3.3671458e-03
4.2630163e+05,4.5187788e+06,2.7366676e+03,3.4098013e-03
4.2628352e+05,4.5187877e+06,2.7298373e+03,3.3862592e-03
4.2628319e+05,4.5187673e+06,2.7152198e+03,3.4013240e-03
4.2626981e+05,4.5187772e+06,2.7100243e+03,3.3974475e-03
4.2626726e+05,4.5187786e+06,2.7039032e+03,3.3949851e-03
4.2629289e+05,4.5187697e+06,2.7227873e+03,3.4088317e-03
4.2630942e+05,4.5187831e+06,2.7451154e+03,3.4054879e-03
4.2628905e+05,4.5187642e+06,2.7203381e+03,3.3863893e-03
4.2629685e+05,4.5187840e+06,2.7342664e+03,3.4198678e-03
4.2628860e+05,4.5187806e+06,2.7311468e+03,3.3858684e-03
4.2628359e+05,4.5187682e+06,2.7163865e+03,3.3987030e-03
4.2628087e+05,4.5187761e+06,2.7200010e+03,3.3969488e-03
4.2628470e+05,4.5187749e+06,2.7183797e+03,3.3981404e-03
4.2627579e+05,4.5187936e+06,2.7233905e+03,3.4208064e-03
4.2630443e+05,4.5187696e+06,2.7311188e+03,3.4117734e-03
4.2629844e+05,4.5187690e+06,2.7300223e+03,3.3913058e-03
4.2629925e+05,4.5187787e+06,2.7342541e+03,3.4129191e-03
4.2627607e+05,4.5187941e+06,2.7239989e+03,3.3808639e-03
4.2628628e+05,4.5187661e+06,2.7182895e+03,3.3803868e-03
4.2628321e+05,4.5187651e+06,2.7210284e+03,3.3829931e-03
4.2627487e+05,4.5187815e+06,2.7135442e+03,3.3855369e-03
4.2627969e+05,4.5187854e+06,2.7211162e+03,3.4108544e-03
4.2629640e+05,4.5187737e+06,2.7245183e+03,3.4087690e-03
4.2629475e+05,4.5187721e+06,2.7291732e+03,3.3973512e-03
4.2628463e+05,4.5187866e+06,2.7212707e+03,3.3980162e-03
4.2628795e+05,4.5187922e+06,2.7316134e+03,3.3981177e-03
4.2631879e+05,4.5187678e+06,2.7297184e+03,3.3859836e-03
4.2628431e+05,4.5187731e+06,2.7215024e+03,3.3859051e-03
4.2626856e+05,4.5187714e+06,2.7000398e+03,3.3731505e-03
4.2627025e+05,4.5187897e+06,2.7195049e+03,3.4167819e-03
4.2629968e+05,4.5187761e+06,2.7246790e+03,3.4185480e-03
4.2629163e+05,4.5187724e+06,2.7296570e+03,3.4028222e-03
4.2628245e+05,4.5188063e+06,2.7163496e+03,3.4017975e-03
4.2629855e+05,4.5187833e+06,2.7316673e+03,3.3948823e-03
4.2630934e+05,4.5187784e+06,2.7268502e+03,3.3899472e-03
4.2628081e+05,4.5187782e+06,2.7233469e+03,3.3850263e-03
4.2628734e+05,4.5187863e+06,2.7143261e+03,3.3865197e-03
4.2627432e+05,4.5187928e+06,2.7178965e+03,3.4110103e-03
4.2628229e+05,4.5187795e+06,2.7172728e+03,3.4168960e-03
4.2629476e+05,4.5187897e+06,2.7411874e+03,3.3998601e-03
4.2627645e+05,4.5188131e+06,2.6871368e+03,3.3725536e-03
4.2630813e+05,4.5188010e+06,2.7264717e+03,3.4004208e-03
4.2630078e+05,4.5187876e+06,2.7177604e+03,3.3820665e-03
4.2627376e+05,4.5187850e+06,2.7088368e+03,3.3642076e-03
4.2627770e+05,4.5188048e+06,2.6683878e+03,3.3394294e-03
4.2627630e+05,4.5187981e+06,2.7159891e+03,3.4115057e-03
4.2627975e+05,4.5187817e+06,2.7177172e+03,3.3962641e-03
4.2628186e+05,4.5187862e+06,2.7191954e+03,3.3838404e-03
4.2628120e+05,4.5188214e+06,2.6877160e+03,3.3776834e-03
4.2632016e+05,4.5188074e+06,2.7293098e+03,3.4062680e-03
4.2629807e+05,4.5187889e+06,2.6475964e+03,3.2970907e-03
4.2626627e+05,4.5187936e+06,2.6380665e+03,3.2830112e-03
4.2629013e+05,4.5187994e+06,2.5963959e+03,3.2325585e-03
4.2627645e+05,4.5187906e+06,2.6988971e+03,3.3703762e-03
4.2628288e+05,4.5187820e+06,2.7050765e+03,3.3786288e-03
4.2629296e+05,4.5187932e+06,2.7237992e+03,3.3934642e-03
4.2628253e+05,4.5188059e+06,2.6881650e+03,3.3654216e-03
4.2631434e+05,4.5188048e+06,2.7150899e+03,3.3931601e-03
4.2629782e+05,4.5187826e+06,2.6171776e+03,3.2590582e-03
4.2628504e+05,4.5187972e+06,2.6476446e+03,3.2886868e-03
4.2631836e+05,4.5188215e+06,2.6115650e+03,3.2467459e-03
4.2627755e+05,4.5187917e+06,2.6883812e+03,3.3524239e-03
4.2628795e+05,4.5187871e+06,2.6500447e+03,3.3090833e-03
4.2629458e+05,4.5187974e+06,2.7025273e+03,3.3757274e-03
4.2630829e+05,4.5188244e+06,2.6106311e+03,3.2516223e-03
4.2630649e+05,4.5188063e+06,2.6691405e+03,3.3223732e-03
4.2629633e+05,4.5187954e+06,2.6088178e+03,3.2361527e-03
4.2630186e+05,4.5188082e+06,2.6090201e+03,3.2306209e-03
4.2633402e+05,4.5188330e+06,2.5843754e+03,3.2074024e-03
4.2628173e+05,4.5187945e+06,2.6657580e+03,3.3179792e-03
4.2629348e+05,4.5187926e+06,2.6596531e+03,3.3216531e-03
4.2630425e+05,4.5188039e+06,2.6813295e+03,3.3449345e-03
4.2630947e+05,4.5188234e+06,2.5980528e+03,3.2238854e-03
4.2631738e+05,4.5188155e+06,2.6522493e+03,3.2992446e-03
4.2631500e+05,4.5188233e+06,2.5914239e+03,3.2114317e-03
4.2630409e+05,4.5188069e+06,2.6187258e+03,3.2430248e-03
4.2633050e+05,4.5188256e+06,2.6123134e+03,3.2476039e-03
4.2630564e+05,4.5188103e+06,2.6329726e+03,3.2729356e-03
4.2630793e+05,4.5188113e+06,2.6216663e+03,3.2594069e-03
4.2631770e+05,4.5188165e+06,2.6548034e+03,3.3057725e-03
4.2632575e+05,4.5188434e+06,2.5719296e+03,3.1898824e-03
4.2630253e+05,4.5188063e+06,2.6496519e+03,3.2876519e-03
4.2632602e+05,4.5188150e+06,2.6236936e+03,3.2603590e-03
4.2630780e+05,4.5188106e+06,2.6225565e+03,3.2501608e-03
4.2632811e+05,4.5188228e+06,2.6100984e+03,3.2476749e-03
4.2629764e+05,4.5188029e+06,2.6295319e+03,3.2638658e-03
4.2631127e+05,4.5188127e+06,2.6122495e+03,3.2472645e-03
4.2632090e+05,4.5188209e+06,2.6453590e+03,3.2903769e-03
4.2631124e+05,4.5188326e+06,2.6041209e+03,3.2265473e-03
4.2631313e+05,4.5188060e+06,2.6467752e+03,3.2864097e-03
4.2633424e+05,4.5188200e+06,2.6211907e+03,3.2551550e-03
4.2631008e+05,4.5188086e+06,2.6320216e+03,3.2599243e-03
4.2631610e+05,4.5188182e+06,2.6169305e+03,3.2474373e-03
4.2630647e+05,4.5188072e+06,2.6355382e+03,3.2756847e-03
4.2631239e+05,4.5187978e+06,2.6362064e+03,3.2820824e-03
4.2632315e+05,4.5188211e+06,2.6382365e+03,3.2814908e-03
4.2631194e+05,4.5188346e+06,2.5982752e+03,3.2153525e-03
4.2628656e+05,4.5188089e+06,2.6336184e+03,3.2602343e-03
4.2634109e+05,4.5188297e+06,2.6086525e+03,3.2342142e-03
4.2631377e+05,4.5188065e+06,2.6306092e+03,3.2427730e-03
4.2630581e+05,4.5188140e+06,2.6040718e+03,3.2253249e-03
4.2630113e+05,4.5188073e+06,2.6219215e+03,3.2674646e-03
