xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,dP_mu,dP_mu_1D_PPD
4.22501e+05,6.33333e-03,4.51550e+06,1.68333e-02,2.24994e+03,4.20833e-02,6.06406e-04,4.91667e-03
4.23001e+05,6.91667e-03,4.51600e+06,1.91667e-02,2.49983e+03,9.90833e-02,1.10077e-03,5.58333e-03
4.23500e+05,9.08333e-03,4.51650e+06,2.01667e-02,2.74971e+03,2.82667e-01,1.59513e-03,8.25000e-03
4.24000e+05,1.02500e-02,4.51700e+06,2.41667e-02,2.99959e+03,1.58333e-01,2.08949e-03,1.38333e-02
4.24500e+05,1.55000e-02,4.51750e+06,3.29167e-02,3.24948e+03,6.20000e-02,2.58385e-03,4.34167e-02
4.24999e+05,2.41667e-02,4.51800e+06,5.35000e-02,3.49936e+03,3.80000e-02,3.07821e-03,1.24083e-01
4.25499e+05,3.57500e-02,4.51850e+06,1.15000e-01,3.74925e+03,4.77500e-02,3.57257e-03,2.89250e-01
4.25998e+05,9.10833e-02,4.51900e+06,5.88917e-01,3.99913e+03,3.64167e-02,4.06694e-03,1.57917e-01
4.26498e+05,6.07750e-01,4.51950e+06,6.22500e-02,4.24902e+03,3.30000e-02,4.56130e-03,5.70833e-02
4.26998e+05,8.90833e-02,4.52000e+06,1.72500e-02,4.49890e+03,3.14167e-02,5.05566e-03,4.42500e-02
4.27497e+05,2.65833e-02,4.52050e+06,1.00000e-02,4.74878e+03,2.78333e-02,5.55002e-03,4.63333e-02
4.27997e+05,1.78333e-02,4.52100e+06,5.33333e-03,4.99867e+03,2.18333e-02,6.04438e-03,2.86667e-02
4.28497e+05,1.07500e-02,4.52150e+06,5.75000e-03,5.24855e+03,1.97500e-02,6.53874e-03,2.61667e-02
4.28996e+05,9.91667e-03,4.52200e+06,4.41667e-03,5.49844e+03,1.93333e-02,7.03310e-03,2.94167e-02
4.29496e+05,8.00000e-03,4.52250e+06,4.25000e-03,5.74832e+03,1.96667e-02,7.52747e-03,2.72500e-02
4.29996e+05,7.91667e-03,4.52300e+06,3.16667e-03,5.99820e+03,1.41667e-02,8.02183e-03,2.34167e-02
4.30495e+05,7.08333e-03,4.52350e+06,4.25000e-03,6.24809e+03,1.24167e-02,8.51619e-03,1.90000e-02
4.30995e+05,5.58333e-03,4.52400e+06,5.08333e-03,6.49797e+03,1.07500e-02,9.01055e-03,1.70833e-02
4.31494e+05,5.25000e-03,4.52450e+06,3.41667e-03,6.74786e+03,1.04167e-02,9.50491e-03,1.65833e-02
4.31994e+05,5.16667e-03,4.52500e+06,4.16667e-03,6.99774e+03,1.30833e-02,9.99927e-03,1.75000e-02
