func,iter,xcen,ycen,depth,dP_mu
9.402802e+00,9,4.2631937e+05,4.5187688e+06,2.6826330e+03,3.3753995e-03
9.403555e+00,11,4.2631264e+05,4.5187664e+06,2.6966920e+03,3.4263624e-03
9.406951e+00,11,4.2631867e+05,4.5187674e+06,2.6716712e+03,3.3785268e-03
9.415002e+00,11,4.2630632e+05,4.5187510e+06,2.6813478e+03,3.3848801e-03
9.416048e+00,11,4.2630055e+05,4.5187570e+06,2.6933122e+03,3.4246287e-03
9.417758e+00,11,4.2631241e+05,4.5187697e+06,2.6788357e+03,3.3478739e-03
9.420061e+00,10,4.2631867e+05,4.5187658e+06,2.7078212e+03,3.4307717e-03
9.421376e+00,11,4.2629991e+05,4.5187583e+06,2.6759923e+03,3.3422893e-03
9.422958e+00,11,4.2630659e+05,4.5187798e+06,2.6928604e+03,3.4204405e-03
9.423136e+00,11,4.2630677e+05,4.5187488e+06,2.6943555e+03,3.3929506e-03
9.425172e+00,11,4.2632446e+05,4.5187601e+06,2.6884878e+03,3.3986550e-03
9.425341e+00,10,4.2631391e+05,4.5187688e+06,2.7083950e+03,3.4509439e-03
9.426013e+00,10,4.2629557e+05,4.5187814e+06,2.6829894e+03,3.3969670e-03
9.428177e+00,9,4.2630926e+05,4.5187541e+06,2.6869895e+03,3.4156893e-03
9.428224e+00,9,4.2629078e+05,4.5187701e+06,2.6758081e+03,3.3404021e-03
9.429727e+00,11,4.2630544e+05,4.5187655e+06,2.6964156e+03,3.4409952e-03
9.431470e+00,11,4.2629796e+05,4.5187718e+06,2.6451600e+03,3.2877174e-03
9.431827e+00,11,4.2631010e+05,4.5187672e+06,2.6697154e+03,3.3921279e-03
9.437290e+00,11,4.2631683e+05,4.5187535e+06,2.7173612e+03,3.4487295e-03
9.438357e+00,10,4.2630839e+05,4.5187705e+06,2.6322965e+03,3.2973159e-03
9.439126e+00,11,4.2631355e+05,4.5187691e+06,2.6651792e+03,3.3159311e-03
9.439344e+00,11,4.2630232e+05,4.5187498e+06,2.7214878e+03,3.4686893e-03
9.440552e+00,11,4.2630818e+05,4.5187715e+06,2.6977294e+03,3.3784428e-03
9.440792e+00,11,4.2630381e+05,4.5187819e+06,2.6276943e+03,3.2791938e-03
9.443011e+00,11,4.2629953e+05,4.5187500e+06,2.6679330e+03,3.3672320e-03
9.443345e+00,11,4.2630835e+05,4.5187468e+06,2.7205009e+03,3.4503839e-03
9.443699e+00,11,4.2629629e+05,4.5187820e+06,2.6914052e+03,3.4184798e-03
9.448137e+00,11,4.2630088e+05,4.5187788e+06,2.6482857e+03,3.3474319e-03
9.449925e+00,11,4.2632608e+05,4.5187681e+06,2.7006970e+03,3.4392318e-03
9.449981e+00,11,4.2630469e+05,4.5187826e+06,2.7081356e+03,3.4326269e-03
9.451982e+00,11,4.2631362e+05,4.5187462e+06,2.6851780e+03,3.4024579e-03
9.452197e+00,11,4.2631835e+05,4.5187789e+06,2.6725737e+03,3.3995100e-03
9.452648e+00,9,4.2629017e+05,4.5187536e+06,2.6563962e+03,3.3264378e-03
9.453118e+00,11,4.2630830e+05,4.5187942e+06,2.6616913e+03,3.3523820e-03
9.453425e+00,11,4.2630294e+05,4.5187563e+06,2.7359155e+03,3.4860194e-03
9.454794e+00,11,4.2628547e+05,4.5187714e+06,2.7111459e+03,3.4427370e-03
9.457208e+00,11,4.2629737e+05,4.5187936e+06,2.6571265e+03,3.3358954e-03
9.459221e+00,11,4.2633416e+05,4.5187695e+06,2.6740172e+03,3.3690393e-03
9.459338e+00,11,4.2629950e+05,4.5187561e+06,2.7356733e+03,3.4948294e-03
9.459746e+00,9,4.2631282e+05,4.5187801e+06,2.6576579e+03,3.3738763e-03
9.459900e+00,11,4.2627805e+05,4.5187706e+06,2.6842860e+03,3.3672367e-03
9.459930e+00,11,4.2631423e+05,4.5187874e+06,2.6925226e+03,3.3876517e-03
9.460227e+00,10,4.2632953e+05,4.5187747e+06,2.6995126e+03,3.4237639e-03
9.462072e+00,11,4.2629151e+05,4.5187892e+06,2.6775876e+03,3.3594612e-03
9.463689e+00,11,4.2630812e+05,4.5187453e+06,2.6841557e+03,3.3601734e-03
9.463929e+00,11,4.2630560e+05,4.5187700e+06,2.7014217e+03,3.3776420e-03
9.465482e+00,11,4.2631943e+05,4.5187503e+06,2.7240596e+03,3.4732143e-03
9.465523e+00,10,4.2633065e+05,4.5187728e+06,2.6442213e+03,3.3207546e-03
9.466017e+00,11,4.2631830e+05,4.5187563e+06,2.7221679e+03,3.4373711e-03
9.468457e+00,11,4.2632793e+05,4.5187598e+06,2.6818249e+03,3.4107638e-03
9.470248e+00,11,4.2633120e+05,4.5187560e+06,2.6990364e+03,3.4127365e-03
9.471305e+00,11,4.2629604e+05,4.5187553e+06,2.6558667e+03,3.3579436e-03
9.471617e+00,11,4.2630589e+05,4.5187609e+06,2.6876097e+03,3.3455966e-03
9.472026e+00,10,4.2628135e+05,4.5187529e+06,2.7218710e+03,3.4563586e-03
9.473797e+00,11,4.2632266e+05,4.5187665e+06,2.6431915e+03,3.3362413e-03
9.474992e+00,9,4.2628974e+05,4.5187529e+06,2.6547840e+03,3.3064983e-03
9.475138e+00,11,4.2632002e+05,4.5187680e+06,2.6698401e+03,3.4023679e-03
9.476217e+00,11,4.2629511e+05,4.5187439e+06,2.6791613e+03,3.3497592e-03
9.476489e+00,10,4.2630257e+05,4.5187557e+06,2.7237948e+03,3.4958151e-03
9.477147e+00,11,4.2628299e+05,4.5187658e+06,2.6458731e+03,3.2885471e-03
9.479386e+00,11,4.2632030e+05,4.5187682e+06,2.6826544e+03,3.4285129e-03
9.479679e+00,11,4.2628422e+05,4.5187737e+06,2.6361359e+03,3.3047588e-03
9.481056e+00,11,4.2631582e+05,4.5187447e+06,2.7291286e+03,3.4841538e-03
9.481465e+00,11,4.2630838e+05,4.5187780e+06,2.7249125e+03,3.4500109e-03
9.481825e+00,11,4.2633129e+05,4.5187540e+06,2.7075910e+03,3.4323174e-03
9.484586e+00,11,4.2632568e+05,4.5187595e+06,2.7039758e+03,3.4596586e-03
9.485069e+00,11,4.2630191e+05,4.5187722e+06,2.6177006e+03,3.2418706e-03
9.485583e+00,11,4.2631635e+05,4.5187419e+06,2.7270930e+03,3.4724145e-03
9.485743e+00,11,4.2631345e+05,4.5187451e+06,2.6781668e+03,3.4014733e-03
9.486274e+00,11,4.2629894e+05,4.5187670e+06,2.6624062e+03,3.3894615e-03
9.487771e+00,11,4.2630076e+05,4.5187855e+06,2.6990528e+03,3.3823456e-03
9.490051e+00,11,4.2628686e+05,4.5187908e+06,2.6712501e+03,3.3744506e-03
9.490083e+00,10,4.2629884e+05,4.5187738e+06,2.7035395e+03,3.3771987e-03
9.490680e+00,11,4.2632331e+05,4.5187923e+06,2.6263280e+03,3.2885980e-03
9.492055e+00,10,4.2630113e+05,4.5187531e+06,2.7397405e+03,3.4643291e-03
9.492097e+00,11,4.2631297e+05,4.5187924e+06,2.6573092e+03,3.3703383e-03
9.493417e+00,11,4.2629531e+05,4.5187401e+06,2.7171623e+03,3.4191346e-03
9.493754e+00,11,4.2629136e+05,4.5187560e+06,2.7456818e+03,3.4944862e-03
9.493862e+00,10,4.2631520e+05,4.5187638e+06,2.6847490e+03,3.4377008e-03
9.495465e+00,11,4.2628300e+05,4.5187510e+06,2.7334811e+03,3.4890669e-03
9.495959e+00,10,4.2628255e+05,4.5187479e+06,2.6631186e+03,3.3482858e-03
9.496492e+00,11,4.2628251e+05,4.5187586e+06,2.6421007e+03,3.2896176e-03
9.497581e+00,10,4.2631061e+05,4.5187962e+06,2.6374190e+03,3.3240119e-03
