xcen,ycen,depth,dVol
4.2627310e+05,4.5187681e+06,2.6257048e+03,5.3544970e+06
4.2626626e+05,4.5188650e+06,2.6886506e+03,5.5141948e+06
4.2629226e+05,4.5187902e+06,2.7435715e+03,5.6900651e+06
4.2627035e+05,4.5186893e+06,2.8485564e+03,6.0369662e+06
4.2629122e+05,4.5187220e+06,2.7848030e+03,5.9594622e+06
4.2627753e+05,4.5187627e+06,2.7235922e+03,5.6686599e+06
4.2627319e+05,4.5187075e+06,3.0511150e+03,6.6516883e+06
4.2630480e+05,4.5187393e+06,2.7382731e+03,5.6922387e+06
4.2626964e+05,4.5188278e+06,2.6397529e+03,5.3992528e+06
4.2624952e+05,4.5187287e+06,2.7714258e+03,5.7348057e+06
4.2627664e+05,4.5187672e+06,2.6341817e+03,5.3722353e+06
4.2626626e+05,4.5188650e+06,2.6886506e+03,5.5141948e+06
4.2631537e+05,4.5188353e+06,2.6286719e+03,5.3176787e+06
4.2622850e+05,4.5187896e+06,2.7126507e+03,5.4426600e+06
4.2629257e+05,4.5187387e+06,2.7419785e+03,5.7606962e+06
4.2627576e+05,4.5188089e+06,2.6886963e+03,5.5327375e+06
4.2625972e+05,4.5187699e+06,2.7971331e+03,5.7896536e+06
4.2629572e+05,4.5187674e+06,2.6655254e+03,5.4043264e+06
4.2627627e+05,4.5188134e+06,2.6537876e+03,5.4410012e+06
4.2622633e+05,4.5188110e+06,2.6844891e+03,5.3425863e+06
4.2630205e+05,4.5188205e+06,2.6253965e+03,5.2765020e+06
4.2627628e+05,4.5188382e+06,2.6782621e+03,5.4682565e+06
4.2630162e+05,4.5188295e+06,2.6223716e+03,5.2392062e+06
4.2624529e+05,4.5188007e+06,2.6141365e+03,5.1553109e+06
4.2626148e+05,4.5187978e+06,2.6670103e+03,5.3610053e+06
4.2629100e+05,4.5188139e+06,2.6634795e+03,5.4306973e+06
4.2626997e+05,4.5187947e+06,2.7007551e+03,5.4935238e+06
4.2629156e+05,4.5187928e+06,2.6509514e+03,5.3363586e+06
4.2625817e+05,4.5188349e+06,2.6314418e+03,5.2525835e+06
4.2626851e+05,4.5188370e+06,2.6241154e+03,5.1667271e+06
4.2630137e+05,4.5188723e+06,2.5629079e+03,4.9628939e+06
4.2628074e+05,4.5188211e+06,2.6443958e+03,5.3046847e+06
4.2628428e+05,4.5188508e+06,2.6097969e+03,5.1350843e+06
4.2626491e+05,4.5188251e+06,2.6046991e+03,5.1399537e+06
4.2626159e+05,4.5188220e+06,2.6363377e+03,5.2357235e+06
4.2629259e+05,4.5188504e+06,2.6211273e+03,5.1817996e+06
4.2627054e+05,4.5188154e+06,2.6592976e+03,5.3200902e+06
4.2628958e+05,4.5188024e+06,2.6418503e+03,5.2956025e+06
4.2627327e+05,4.5188589e+06,2.5990662e+03,5.0897224e+06
4.2627773e+05,4.5188743e+06,2.5902676e+03,5.0032142e+06
4.2630557e+05,4.5188363e+06,2.5657743e+03,5.0128502e+06
4.2628784e+05,4.5188466e+06,2.6151150e+03,5.1627412e+06
4.2629511e+05,4.5188610e+06,2.6155796e+03,5.1500627e+06
4.2628130e+05,4.5188442e+06,2.6108115e+03,5.1449351e+06
4.2628158e+05,4.5188426e+06,2.6138884e+03,5.1535097e+06
4.2629853e+05,4.5188549e+06,2.5840941e+03,5.0511177e+06
4.2628840e+05,4.5188540e+06,2.6188926e+03,5.1679447e+06
4.2628743e+05,4.5188307e+06,2.6009245e+03,5.1311454e+06
4.2628259e+05,4.5188530e+06,2.5896590e+03,5.0629149e+06
4.2628501e+05,4.5188451e+06,2.5952765e+03,5.0820273e+06
4.2629263e+05,4.5188565e+06,2.5702613e+03,4.9784815e+06
4.2629845e+05,4.5188481e+06,2.5793392e+03,5.0401782e+06
4.2629937e+05,4.5188673e+06,2.5971278e+03,5.0839672e+06
4.2631009e+05,4.5188701e+06,2.5747271e+03,5.0033860e+06
4.2628822e+05,4.5188428e+06,2.6068900e+03,5.1290675e+06
4.2630839e+05,4.5188678e+06,2.5410220e+03,4.8733074e+06
4.2628001e+05,4.5188487e+06,2.6165249e+03,5.1505611e+06
4.2629101e+05,4.5188409e+06,2.5814559e+03,5.0481830e+06
4.2628079e+05,4.5188600e+06,2.5697979e+03,4.9862350e+06
4.2628720e+05,4.5188670e+06,2.5804870e+03,5.0039201e+06
4.2629283e+05,4.5188494e+06,2.5613180e+03,4.8974006e+06
4.2629233e+05,4.5188456e+06,2.5705145e+03,4.9749451e+06
4.2629948e+05,4.5188551e+06,2.5760933e+03,5.0239713e+06
4.2630748e+05,4.5188601e+06,2.5623964e+03,4.9607337e+06
4.2629362e+05,4.5188466e+06,2.5961447e+03,5.0888350e+06
4.2630347e+05,4.5188635e+06,2.5663778e+03,4.9543043e+06
4.2627795e+05,4.5188452e+06,2.6257040e+03,5.1825251e+06
4.2629567e+05,4.5188478e+06,2.5661319e+03,4.9741856e+06
4.2628713e+05,4.5188603e+06,2.5653846e+03,4.9758931e+06
4.2629062e+05,4.5188595e+06,2.5753100e+03,4.9927415e+06
4.2629798e+05,4.5188514e+06,2.5629247e+03,4.9057312e+06
4.2630654e+05,4.5188469e+06,2.5728114e+03,4.9853888e+06
4.2631026e+05,4.5188553e+06,2.5769262e+03,5.0150562e+06
4.2632183e+05,4.5188596e+06,2.5520355e+03,4.8616272e+06
4.2630825e+05,4.5188490e+06,2.5875708e+03,5.0504248e+06
4.2631889e+05,4.5188640e+06,2.5690661e+03,4.9577235e+06
4.2629583e+05,4.5188416e+06,2.5938952e+03,5.0432957e+06
4.2630141e+05,4.5188530e+06,2.5638484e+03,4.9580690e+06
4.2629703e+05,4.5188578e+06,2.5630422e+03,4.9523983e+06
4.2629958e+05,4.5188604e+06,2.5718127e+03,4.9617698e+06
4.2631158e+05,4.5188558e+06,2.5693310e+03,4.9379038e+06
4.2631029e+05,4.5188436e+06,2.5699895e+03,4.9801437e+06
4.2631498e+05,4.5188575e+06,2.5661279e+03,4.9496070e+06
4.2633883e+05,4.5188667e+06,2.5659148e+03,4.9319739e+06
4.2630376e+05,4.5188461e+06,2.5904594e+03,5.0384816e+06
4.2630000e+05,4.5188429e+06,2.5975105e+03,5.0413646e+06
4.2630142e+05,4.5188491e+06,2.5878985e+03,5.0017825e+06
4.2630040e+05,4.5188511e+06,2.5624133e+03,4.9277070e+06
4.2630504e+05,4.5188541e+06,2.5703910e+03,4.9622562e+06
4.2630395e+05,4.5188552e+06,2.5723106e+03,4.9779276e+06
4.2630874e+05,4.5188521e+06,2.5764784e+03,4.9605258e+06
4.2630951e+05,4.5188246e+06,2.5736551e+03,5.0091969e+06
4.2631463e+05,4.5188623e+06,2.5600060e+03,4.9261705e+06
4.2631807e+05,4.5188625e+06,2.5637202e+03,4.9300888e+06
4.2631764e+05,4.5188470e+06,2.6006728e+03,5.0646110e+06
4.2628533e+05,4.5188312e+06,2.6174565e+03,5.0958165e+06
4.2629342e+05,4.5188396e+06,2.5902111e+03,5.0148335e+06
4.2629588e+05,4.5188439e+06,2.5801864e+03,4.9834991e+06
4.2630087e+05,4.5188556e+06,2.5656425e+03,4.9371354e+06
4.2629842e+05,4.5188554e+06,2.5663026e+03,4.9517834e+06
4.2630562e+05,4.5188452e+06,2.5873712e+03,4.9986797e+06
4.2631245e+05,4.5188254e+06,2.5745465e+03,5.0152646e+06
4.2632675e+05,4.5188566e+06,2.5736850e+03,4.9701570e+06
4.2631203e+05,4.5188559e+06,2.5635780e+03,4.9235600e+06
4.2632817e+05,4.5188487e+06,2.6158363e+03,5.1029825e+06
4.2629953e+05,4.5188330e+06,2.6142554e+03,5.0895673e+06
4.2629685e+05,4.5188307e+06,2.6146455e+03,5.0902828e+06
4.2628822e+05,4.5188498e+06,2.6051669e+03,5.0371092e+06
4.2631618e+05,4.5188168e+06,2.6593174e+03,5.2343017e+06
4.2629401e+05,4.5188481e+06,2.5865186e+03,5.0121174e+06
4.2632102e+05,4.5188555e+06,2.5955335e+03,5.0189511e+06
4.2631303e+05,4.5188299e+06,2.5990129e+03,5.0633536e+06
4.2632318e+05,4.5188500e+06,2.5800562e+03,4.9932521e+06
