xcen,ycen,depth,dVol
4.2649897e+05,4.5185784e+06,3.3119678e+03,6.6714621e+06
4.2654294e+05,4.5184820e+06,3.1262633e+03,6.5138815e+06
4.2664227e+05,4.5186483e+06,3.0764667e+03,5.8368325e+06
4.2651467e+05,4.5185157e+06,3.1822796e+03,6.5109406e+06
4.2653382e+05,4.5184529e+06,3.0829802e+03,6.3917283e+06
4.2656536e+05,4.5185365e+06,3.1038112e+03,6.5600674e+06
4.2652885e+05,4.5186532e+06,3.2682374e+03,6.4130622e+06
4.2652289e+05,4.5185894e+06,3.2914709e+03,6.6102708e+06
4.2654969e+05,4.5185084e+06,3.1711558e+03,6.4353709e+06
4.2650278e+05,4.5185770e+06,3.2832062e+03,6.7017460e+06
4.2651304e+05,4.5185836e+06,3.2943927e+03,6.6259683e+06
4.2653789e+05,4.5184830e+06,3.1190578e+03,6.4539547e+06
4.2666192e+05,4.5186979e+06,3.0553890e+03,5.7373900e+06
4.2651592e+05,4.5184745e+06,3.1120010e+03,6.4360043e+06
4.2655452e+05,4.5184986e+06,3.1097961e+03,6.3628326e+06
4.2659332e+05,4.5185673e+06,3.0790564e+03,6.3373582e+06
4.2654767e+05,4.5186000e+06,3.1819381e+03,6.3133080e+06
4.2660429e+05,4.5185587e+06,3.1130342e+03,6.2217131e+06
4.2659709e+05,4.5185211e+06,3.0759959e+03,6.2025809e+06
4.2653080e+05,4.5185368e+06,3.1913752e+03,6.5386558e+06
4.2662956e+05,4.5186358e+06,3.0698171e+03,5.9824517e+06
4.2655270e+05,4.5185732e+06,3.1282334e+03,6.2826214e+06
4.2667195e+05,4.5187097e+06,3.0399602e+03,5.6470850e+06
4.2659875e+05,4.5185457e+06,3.0689785e+03,6.2118014e+06
4.2658330e+05,4.5185516e+06,3.1035435e+03,6.2556956e+06
4.2662568e+05,4.5186189e+06,3.0638767e+03,6.1428828e+06
4.2657304e+05,4.5186357e+06,3.1594407e+03,6.1988345e+06
4.2662341e+05,4.5186439e+06,3.1061789e+03,6.0720257e+06
4.2661556e+05,4.5185767e+06,3.0699707e+03,6.1613920e+06
4.2662646e+05,4.5186214e+06,3.0748819e+03,6.0060508e+06
4.2665838e+05,4.5186703e+06,3.0298949e+03,5.7268555e+06
4.2659801e+05,4.5186306e+06,3.0871367e+03,6.0315902e+06
4.2664416e+05,4.5186699e+06,3.0597967e+03,5.8406634e+06
4.2663444e+05,4.5186053e+06,3.0395063e+03,6.0295223e+06
4.2661264e+05,4.5186148e+06,3.0892078e+03,6.0778874e+06
4.2665669e+05,4.5186797e+06,3.0474028e+03,5.8519283e+06
