xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,dVol,dVol_1D_PPD
4.26233e+05,2.52525e-04,4.51870e+06,1.26263e-04,2.56653e+03,2.77778e-03,4.95113e+06,1.22475e-02
4.26240e+05,0.00000e+00,4.51871e+06,1.26263e-04,2.59203e+03,3.97727e-02,5.04063e+06,3.40909e-01
4.26247e+05,1.26263e-04,4.51872e+06,0.00000e+00,2.61754e+03,4.13384e-01,5.13014e+06,5.83333e-01
4.26253e+05,1.26263e-04,4.51873e+06,1.26263e-04,2.64304e+03,4.76641e-01,5.21964e+06,5.89646e-02
4.26260e+05,2.52525e-04,4.51874e+06,1.26263e-04,2.66855e+03,6.48990e-02,5.30914e+06,1.26263e-03
4.26267e+05,6.31313e-04,4.51874e+06,2.52525e-04,2.69405e+03,1.13636e-03,5.39865e+06,8.83838e-04
4.26274e+05,1.01010e-03,4.51875e+06,0.00000e+00,2.71955e+03,2.52525e-04,5.48815e+06,7.57576e-04
4.26280e+05,1.01010e-03,4.51876e+06,1.26263e-04,2.74506e+03,5.05051e-04,5.57765e+06,5.05051e-04
4.26287e+05,1.51515e-03,4.51877e+06,5.05051e-04,2.77056e+03,0.00000e+00,5.66715e+06,0.00000e+00
4.26294e+05,4.54545e-03,4.51878e+06,0.00000e+00,2.79607e+03,2.52525e-04,5.75666e+06,5.05051e-04
4.26301e+05,1.46465e-02,4.51879e+06,2.52525e-04,2.82157e+03,1.26263e-04,5.84616e+06,2.52525e-04
4.26307e+05,4.69697e-02,4.51880e+06,8.83838e-04,2.84708e+03,0.00000e+00,5.93566e+06,0.00000e+00
4.26314e+05,1.32449e-01,4.51881e+06,1.89394e-02,2.87258e+03,1.26263e-04,6.02517e+06,1.26263e-04
4.26321e+05,2.25253e-01,4.51882e+06,1.14015e-01,2.89809e+03,0.00000e+00,6.11467e+06,1.26263e-04
4.26328e+05,2.64646e-01,4.51883e+06,3.03409e-01,2.92359e+03,0.00000e+00,6.20417e+06,0.00000e+00
4.26334e+05,1.88384e-01,4.51884e+06,3.39268e-01,2.94910e+03,0.00000e+00,6.29368e+06,0.00000e+00
4.26341e+05,8.72475e-02,4.51885e+06,1.68687e-01,2.97460e+03,0.00000e+00,6.38318e+06,0.00000e+00
4.26348e+05,2.52525e-02,4.51886e+06,4.46970e-02,3.00011e+03,0.00000e+00,6.47268e+06,0.00000e+00
4.26355e+05,5.30303e-03,4.51887e+06,6.94444e-03,3.02561e+03,0.00000e+00,6.56219e+06,0.00000e+00
4.26362e+05,3.78788e-04,4.51887e+06,1.51515e-03,3.05112e+03,1.26263e-04,6.65169e+06,1.26263e-04
