xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,dVol,dVol_1D_PPD
4.26189e+05,5.93434e-03,4.51848e+06,2.52525e-04,2.59043e+03,3.79293e-01,4.71036e+06,1.64141e-02
4.26215e+05,1.13636e-02,4.51851e+06,5.05051e-04,2.62840e+03,5.35354e-01,4.81517e+06,7.89899e-01
4.26240e+05,8.96465e-03,4.51854e+06,5.05051e-04,2.66638e+03,3.16919e-02,4.91998e+06,1.32955e-01
4.26265e+05,1.62879e-02,4.51857e+06,1.64141e-03,2.70436e+03,3.91414e-03,5.02479e+06,8.83838e-03
4.26291e+05,1.55303e-02,4.51859e+06,1.13636e-02,2.74233e+03,2.65152e-03,5.12960e+06,3.91414e-03
4.26316e+05,6.18687e-03,4.51862e+06,8.20707e-03,2.78031e+03,8.83838e-04,5.23441e+06,1.01010e-03
4.26342e+05,1.51389e-01,4.51865e+06,7.57576e-03,2.81828e+03,6.31313e-04,5.33922e+06,7.57576e-04
4.26367e+05,7.32197e-01,4.51868e+06,7.07071e-03,2.85626e+03,1.64141e-03,5.44403e+06,3.78788e-04
4.26392e+05,2.51263e-02,4.51871e+06,6.56566e-03,2.89423e+03,8.83838e-03,5.54884e+06,2.52525e-04
4.26418e+05,8.83838e-04,4.51874e+06,1.26263e-03,2.93221e+03,1.78030e-02,5.65365e+06,5.05051e-04
4.26443e+05,1.64141e-03,4.51876e+06,3.78788e-04,2.97019e+03,3.78788e-03,5.75846e+06,5.05051e-04
4.26469e+05,6.18687e-03,4.51879e+06,3.78788e-04,3.00816e+03,7.57576e-04,5.86327e+06,2.90404e-03
4.26494e+05,3.28283e-03,4.51882e+06,5.05051e-04,3.04614e+03,1.89394e-03,5.96808e+06,1.06061e-02
4.26519e+05,2.65152e-03,4.51885e+06,6.94444e-03,3.08411e+03,6.56566e-03,6.07289e+06,2.44949e-02
4.26545e+05,3.66162e-03,4.51888e+06,2.90404e-02,3.12209e+03,2.65152e-03,6.17770e+06,3.78788e-03
4.26570e+05,2.90404e-03,4.51891e+06,1.50253e-02,3.16006e+03,5.05051e-04,6.28251e+06,6.31313e-04
4.26596e+05,1.76768e-03,4.51893e+06,1.06061e-02,3.19804e+03,5.05051e-04,6.38732e+06,5.05051e-04
4.26621e+05,1.51515e-03,4.51896e+06,2.34848e-01,3.23602e+03,0.00000e+00,6.49213e+06,6.31313e-04
4.26647e+05,1.76768e-03,4.51899e+06,6.39394e-01,3.27399e+03,1.26263e-04,6.59694e+06,5.05051e-04
4.26672e+05,7.57576e-04,4.51902e+06,1.79293e-02,3.31197e+03,5.05051e-04,6.70175e+06,5.05051e-04
