xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,dVol,dVol_1D_PPD
4.22501e+05,5.66667e-03,4.51550e+06,1.68333e-02,2.24998e+03,1.62500e-02,1.95856e+06,7.58333e-03
4.23001e+05,8.75000e-03,4.51600e+06,1.93333e-02,2.49990e+03,5.66667e-02,2.90795e+06,8.75000e-03
4.23500e+05,8.41667e-03,4.51650e+06,2.17500e-02,2.74981e+03,2.76583e-01,3.85734e+06,2.35833e-02
4.24000e+05,1.05833e-02,4.51700e+06,2.61667e-02,2.99973e+03,1.54167e-01,4.80673e+06,7.68333e-02
4.24500e+05,1.30000e-02,4.51750e+06,3.37500e-02,3.24965e+03,8.72500e-02,5.75612e+06,3.53333e-01
4.24999e+05,2.15000e-02,4.51800e+06,5.65833e-02,3.49957e+03,7.82500e-02,6.70551e+06,1.19250e-01
4.25499e+05,3.74167e-02,4.51850e+06,1.23750e-01,3.74949e+03,4.95833e-02,7.65490e+06,7.70000e-02
4.25998e+05,9.74167e-02,4.51900e+06,5.78000e-01,3.99941e+03,3.15000e-02,8.60429e+06,6.21667e-02
4.26498e+05,5.91333e-01,4.51950e+06,6.04167e-02,4.24933e+03,2.65000e-02,9.55368e+06,4.94167e-02
4.26998e+05,9.74167e-02,4.52000e+06,1.51667e-02,4.49925e+03,2.66667e-02,1.05031e+07,3.26667e-02
4.27497e+05,2.86667e-02,4.52050e+06,9.66667e-03,4.74916e+03,2.60833e-02,1.14525e+07,2.35000e-02
4.27997e+05,1.68333e-02,4.52100e+06,5.08333e-03,4.99908e+03,2.58333e-02,1.24018e+07,2.35000e-02
4.28497e+05,1.27500e-02,4.52150e+06,4.83333e-03,5.24900e+03,2.45000e-02,1.33512e+07,2.28333e-02
4.28996e+05,1.02500e-02,4.52200e+06,4.41667e-03,5.49892e+03,2.19167e-02,1.43006e+07,2.52500e-02
4.29496e+05,8.50000e-03,4.52250e+06,4.16667e-03,5.74884e+03,2.07500e-02,1.52500e+07,1.95833e-02
4.29996e+05,8.16667e-03,4.52300e+06,3.16667e-03,5.99876e+03,1.96667e-02,1.61994e+07,1.82500e-02
4.30495e+05,6.75000e-03,4.52350e+06,4.25000e-03,6.24868e+03,1.73333e-02,1.71488e+07,1.50833e-02
4.30995e+05,5.75000e-03,4.52400e+06,5.08333e-03,6.49860e+03,1.45833e-02,1.80982e+07,1.37500e-02
4.31494e+05,5.33333e-03,4.52450e+06,3.41667e-03,6.74851e+03,1.21667e-02,1.90476e+07,1.41667e-02
4.31994e+05,5.50000e-03,4.52500e+06,4.16667e-03,6.99843e+03,1.37500e-02,1.99970e+07,1.35000e-02
