func,iter,xcen,ycen,depth,dVol
9.399549e+00,10,4.2630756e+05,4.5187683e+06,2.7062435e+03,5.4141885e+06
9.406820e+00,11,4.2630534e+05,4.5187620e+06,2.6970298e+03,5.3906022e+06
9.421213e+00,11,4.2629229e+05,4.5187694e+06,2.7129957e+03,5.4422005e+06
9.422985e+00,11,4.2631566e+05,4.5187789e+06,2.6963281e+03,5.3852662e+06
9.424754e+00,11,4.2631678e+05,4.5187685e+06,2.7052272e+03,5.4326004e+06
9.428143e+00,11,4.2630437e+05,4.5187777e+06,2.6701413e+03,5.3021192e+06
9.429452e+00,11,4.2630127e+05,4.5187824e+06,2.6779701e+03,5.3059521e+06
9.429644e+00,9,4.2630177e+05,4.5187743e+06,2.7149854e+03,5.3976522e+06
9.429733e+00,11,4.2632205e+05,4.5187671e+06,2.7073941e+03,5.4030401e+06
9.430012e+00,11,4.2630488e+05,4.5187777e+06,2.6708220e+03,5.3104565e+06
9.430242e+00,11,4.2630270e+05,4.5187520e+06,2.7123529e+03,5.4477324e+06
9.432967e+00,11,4.2630056e+05,4.5187622e+06,2.6755720e+03,5.2933017e+06
9.436287e+00,11,4.2632139e+05,4.5187591e+06,2.7021158e+03,5.3907387e+06
9.439463e+00,10,4.2631749e+05,4.5187632e+06,2.7035367e+03,5.3614515e+06
9.442582e+00,11,4.2629111e+05,4.5187487e+06,2.7133279e+03,5.4264173e+06
9.444055e+00,11,4.2631796e+05,4.5187666e+06,2.7045431e+03,5.3605271e+06
9.445787e+00,9,4.2631736e+05,4.5187856e+06,2.6885221e+03,5.3611397e+06
9.448618e+00,11,4.2631886e+05,4.5187568e+06,2.7366275e+03,5.4996480e+06
9.449331e+00,11,4.2629287e+05,4.5187556e+06,2.7473551e+03,5.5322293e+06
9.451610e+00,11,4.2629950e+05,4.5187750e+06,2.6601935e+03,5.2757775e+06
9.452645e+00,9,4.2628827e+05,4.5187662e+06,2.6727266e+03,5.2845684e+06
9.453535e+00,10,4.2630755e+05,4.5187645e+06,2.7179613e+03,5.3855263e+06
9.453535e+00,11,4.2631596e+05,4.5187651e+06,2.7184516e+03,5.4945598e+06
