xcen,ycen,depth,Pxx,Pyy,Pzz
4.2634238e+05,4.5182109e+06,4.9734493e+03,5.1033262e+06,2.0475511e+07,3.0520752e+07
4.2635512e+05,4.5181639e+06,4.9281311e+03,1.2113828e+06,1.7466063e+07,2.8827222e+07
4.2632879e+05,4.5182141e+06,4.9629912e+03,1.5778247e+06,1.7435029e+07,2.9318591e+07
4.2633048e+05,4.5179818e+06,5.0069012e+03,1.7884376e+06,1.8697525e+07,2.9562033e+07
4.2628936e+05,4.5182157e+06,5.0212256e+03,1.9963927e+06,1.6666961e+07,2.8521139e+07
4.2632058e+05,4.5179922e+06,5.0169807e+03,3.9607041e+06,2.0824634e+07,3.0977778e+07
4.2638036e+05,4.5182341e+06,4.9195737e+03,1.7361295e+06,1.7338804e+07,2.8765145e+07
4.2627618e+05,4.5182092e+06,5.0231800e+03,1.2988556e+06,1.6440830e+07,2.8362201e+07
4.2633143e+05,4.5181137e+06,4.9977307e+03,5.0452461e+06,2.1335624e+07,3.0757705e+07
4.2620857e+05,4.5182127e+06,5.0929456e+03,1.4289659e+06,1.5688378e+07,2.8553370e+07
4.2630510e+05,4.5182471e+06,5.0002631e+03,3.0270035e+06,1.8159540e+07,2.8771079e+07
4.2632549e+05,4.5182341e+06,4.9787579e+03,2.9098529e+06,1.8508958e+07,2.8839145e+07
4.2632753e+05,4.5183804e+06,4.9441809e+03,1.4960667e+06,1.6726844e+07,2.7424139e+07
4.2630141e+05,4.5181978e+06,4.9976813e+03,1.9364030e+06,1.7604942e+07,2.9309034e+07
4.2631997e+05,4.5182148e+06,4.9868626e+03,3.4470078e+06,1.8762045e+07,2.9682162e+07
4.2632636e+05,4.5181859e+06,4.9604798e+03,1.2263388e+06,1.7084744e+07,2.8625335e+07
4.2632774e+05,4.5182182e+06,4.9625727e+03,1.3889559e+06,1.7224540e+07,2.9152267e+07
4.2629350e+05,4.5181893e+06,5.0104912e+03,1.3871222e+06,1.6721818e+07,2.8556340e+07
4.2626477e+05,4.5182449e+06,5.0440546e+03,1.9129623e+06,1.6012766e+07,2.8613752e+07
4.2630644e+05,4.5181619e+06,4.9958274e+03,1.9225456e+06,1.7697872e+07,2.9004044e+07
4.2631789e+05,4.5182750e+06,4.9743755e+03,1.7494537e+06,1.6833442e+07,2.8142542e+07
4.2627613e+05,4.5182145e+06,5.0217749e+03,1.1774432e+06,1.6311420e+07,2.8286264e+07
4.2630387e+05,4.5182087e+06,4.9996913e+03,2.0904715e+06,1.7417314e+07,2.8675416e+07
4.2623921e+05,4.5182849e+06,5.0384319e+03,1.1930235e+06,1.5552657e+07,2.7345328e+07
4.2630591e+05,4.5182985e+06,4.9836993e+03,2.2834644e+06,1.7359480e+07,2.8171964e+07
4.2630618e+05,4.5182595e+06,4.9875978e+03,1.5192774e+06,1.6828034e+07,2.8159014e+07
4.2632471e+05,4.5183404e+06,4.9508241e+03,1.4354016e+06,1.6762388e+07,2.7660973e+07
4.2628047e+05,4.5182065e+06,5.0165794e+03,1.3719725e+06,1.6570080e+07,2.8759168e+07
4.2627489e+05,4.5182468e+06,5.0180168e+03,1.7642179e+06,1.6511432e+07,2.8357362e+07
4.2629401e+05,4.5182317e+06,4.9857236e+03,1.0580624e+06,1.6118290e+07,2.8288710e+07
4.2629627e+05,4.5182945e+06,4.9834241e+03,1.4219433e+06,1.6210031e+07,2.8275491e+07
4.2630073e+05,4.5182189e+06,4.9987547e+03,1.4084974e+06,1.6738435e+07,2.8384945e+07
4.2628158e+05,4.5182440e+06,5.0133070e+03,1.4766361e+06,1.6107101e+07,2.8335844e+07
4.2628312e+05,4.5182151e+06,5.0079358e+03,1.5959217e+06,1.6851326e+07,2.8336104e+07
4.2628827e+05,4.5182995e+06,4.9969143e+03,1.1151456e+06,1.5683583e+07,2.7604949e+07
4.2629232e+05,4.5182731e+06,4.9925818e+03,1.0880379e+06,1.6250860e+07,2.7918635e+07
4.2629757e+05,4.5182605e+06,4.9969943e+03,1.6217312e+06,1.6686041e+07,2.8107281e+07
4.2624637e+05,4.5182988e+06,5.0270151e+03,1.0812585e+06,1.5517418e+07,2.7283628e+07
4.2630112e+05,4.5182874e+06,4.9915366e+03,1.9041566e+06,1.6982511e+07,2.7931354e+07
4.2629632e+05,4.5182633e+06,4.9970205e+03,1.3549809e+06,1.6499986e+07,2.7727701e+07
4.2630312e+05,4.5182833e+06,4.9813008e+03,1.3221696e+06,1.6566097e+07,2.8038054e+07
4.2627324e+05,4.5182285e+06,5.0207265e+03,1.4546060e+06,1.6227209e+07,2.8600573e+07
4.2627386e+05,4.5182492e+06,5.0151590e+03,1.5411398e+06,1.6293743e+07,2.8196851e+07
4.2628766e+05,4.5182311e+06,4.9887818e+03,1.0822248e+06,1.6045070e+07,2.8335073e+07
4.2627996e+05,4.5182816e+06,5.0011306e+03,1.1500403e+06,1.5893728e+07,2.7849759e+07
4.2630576e+05,4.5182434e+06,4.9930261e+03,1.3054868e+06,1.6579919e+07,2.8058345e+07
4.2627035e+05,4.5182694e+06,5.0207526e+03,1.2808730e+06,1.5117658e+07,2.8275318e+07
4.2628929e+05,4.5182636e+06,4.9972916e+03,1.6703022e+06,1.6729171e+07,2.8025794e+07
4.2628994e+05,4.5183061e+06,4.9964440e+03,1.0716024e+06,1.5537682e+07,2.7519446e+07
4.2627316e+05,4.5182812e+06,5.0053375e+03,1.0178532e+06,1.5771960e+07,2.7694403e+07
4.2628711e+05,4.5182693e+06,4.9970462e+03,1.2188962e+06,1.6175489e+07,2.7842408e+07
4.2626182e+05,4.5182695e+06,5.0128088e+03,1.0656480e+06,1.5756562e+07,2.7680548e+07
4.2628977e+05,4.5182940e+06,4.9924216e+03,1.7562251e+06,1.6664061e+07,2.7840761e+07
4.2627558e+05,4.5182640e+06,5.0088607e+03,1.3981629e+06,1.6258598e+07,2.7927508e+07
4.2629009e+05,4.5182912e+06,4.9847220e+03,1.0502102e+06,1.6141319e+07,2.7825901e+07
4.2627895e+05,4.5182326e+06,5.0136913e+03,1.4033774e+06,1.6266778e+07,2.8453038e+07
4.2626792e+05,4.5182874e+06,5.0155032e+03,1.3862899e+06,1.5722844e+07,2.7834696e+07
4.2628437e+05,4.5182662e+06,4.9974283e+03,1.0300691e+06,1.5223737e+07,2.8104349e+07
4.2627468e+05,4.5183208e+06,5.0000201e+03,1.0104696e+06,1.5468970e+07,2.7715252e+07
4.2628389e+05,4.5182787e+06,5.0045594e+03,1.2137813e+06,1.5606250e+07,2.7925520e+07
4.2626925e+05,4.5182677e+06,5.0157456e+03,1.0770650e+06,1.4923199e+07,2.8167332e+07
4.2627958e+05,4.5182677e+06,5.0020373e+03,1.3937764e+06,1.6219180e+07,2.7977131e+07
4.2628464e+05,4.5183004e+06,5.0038384e+03,1.1302300e+06,1.5320706e+07,2.7695528e+07
4.2627595e+05,4.5182959e+06,5.0069641e+03,1.0682735e+06,1.5482701e+07,2.7651909e+07
4.2628277e+05,4.5182801e+06,4.9976050e+03,1.0509849e+06,1.5819314e+07,2.7822218e+07
4.2625191e+05,4.5182565e+06,5.0247699e+03,1.0055463e+06,1.5030681e+07,2.8075921e+07
4.2628658e+05,4.5182829e+06,4.9966212e+03,1.4765323e+06,1.6161448e+07,2.7947767e+07
4.2627590e+05,4.5182740e+06,5.0066244e+03,1.2774046e+06,1.6008105e+07,2.7879786e+07
4.2626606e+05,4.5182971e+06,5.0121735e+03,1.3012111e+06,1.5598231e+07,2.7886149e+07
4.2627799e+05,4.5182756e+06,5.0069667e+03,1.1566148e+06,1.5680597e+07,2.7950230e+07
4.2627260e+05,4.5182738e+06,5.0159266e+03,1.2113162e+06,1.5240276e+07,2.7981244e+07
4.2628220e+05,4.5182786e+06,4.9998691e+03,1.0193927e+06,1.5335882e+07,2.7891106e+07
4.2626497e+05,4.5182972e+06,5.0127327e+03,1.0151657e+06,1.5176280e+07,2.7787361e+07
4.2628348e+05,4.5182927e+06,5.0001454e+03,1.0599603e+06,1.5423632e+07,2.7863924e+07
4.2626723e+05,4.5182739e+06,5.0261857e+03,1.1577068e+06,1.4748842e+07,2.7977693e+07
4.2628045e+05,4.5182802e+06,5.0016650e+03,1.1826471e+06,1.5817425e+07,2.7906653e+07
4.2629489e+05,4.5183195e+06,4.9995867e+03,1.0088267e+06,1.4838899e+07,2.7498285e+07
4.2627961e+05,4.5182816e+06,5.0091899e+03,1.0116340e+06,1.5502929e+07,2.7439681e+07
4.2628736e+05,4.5182693e+06,4.9925803e+03,1.0183126e+06,1.5978424e+07,2.7839994e+07
4.2624763e+05,4.5182623e+06,5.0316541e+03,1.0172180e+06,1.4684775e+07,2.8009636e+07
4.2628547e+05,4.5182848e+06,4.9978165e+03,1.4198383e+06,1.6058526e+07,2.7922895e+07
4.2628202e+05,4.5182801e+06,5.0003993e+03,1.0572443e+06,1.5413962e+07,2.7906894e+07
4.2625039e+05,4.5183289e+06,5.0237987e+03,1.1524334e+06,1.5021205e+07,2.7723634e+07
4.2627580e+05,4.5182932e+06,5.0063187e+03,1.0822703e+06,1.5485092e+07,2.7806129e+07
4.2626900e+05,4.5182728e+06,5.0169423e+03,1.1518214e+06,1.5186385e+07,2.7958032e+07
4.2627520e+05,4.5182870e+06,5.0049784e+03,1.0016072e+06,1.5172969e+07,2.7856526e+07
4.2625037e+05,4.5183156e+06,5.0249428e+03,1.0096045e+06,1.4750070e+07,2.7735278e+07
4.2628420e+05,4.5183017e+06,5.0015364e+03,1.0595759e+06,1.5238422e+07,2.7813862e+07
4.2628380e+05,4.5183019e+06,5.0159074e+03,1.0893225e+06,1.4554157e+07,2.7670054e+07
