xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,Pxx,Pxx_1D_PPD,Pyy,Pyy_1D_PPD,Pzz,Pzz_1D_PPD
4.22501e+05,7.21429e-03,4.51550e+06,2.27857e-02,2.25310e+03,4.64286e-03,5.95211e+06,1.00429e-01,5.95109e+06,4.55000e-02,5.94137e+06,1.12143e-02
4.23001e+05,1.00000e-02,4.51600e+06,2.71429e-02,2.50294e+03,5.64286e-03,1.09005e+07,1.12357e-01,1.09010e+07,5.77143e-02,1.08797e+07,1.10000e-02
4.23500e+05,9.71429e-03,4.51650e+06,3.14286e-02,2.75277e+03,5.14286e-03,1.58489e+07,1.59071e-01,1.58510e+07,9.33571e-02,1.58180e+07,1.45714e-02
4.24000e+05,1.47857e-02,4.51700e+06,4.12857e-02,3.00261e+03,6.57143e-03,2.07974e+07,1.68571e-01,2.08009e+07,1.38714e-01,2.07563e+07,2.82857e-02
4.24500e+05,1.88571e-02,4.51750e+06,7.14286e-02,3.25244e+03,9.14286e-03,2.57458e+07,9.87143e-02,2.57508e+07,1.57143e-01,2.56947e+07,9.30000e-02
4.24999e+05,2.96429e-02,4.51800e+06,1.30714e-01,3.50228e+03,1.66429e-02,3.06942e+07,5.80000e-02,3.07008e+07,9.72857e-02,3.06330e+07,1.69500e-01
4.25499e+05,6.18571e-02,4.51850e+06,2.80571e-01,3.75211e+03,3.65714e-02,3.56426e+07,4.36429e-02,3.56507e+07,6.03571e-02,3.55713e+07,1.56571e-01
4.25998e+05,1.80286e-01,4.51900e+06,2.46929e-01,4.00195e+03,7.26429e-02,4.05910e+07,3.88571e-02,4.06006e+07,5.55000e-02,4.05096e+07,1.25143e-01
4.26498e+05,3.29929e-01,4.51950e+06,6.05714e-02,4.25178e+03,7.21429e-02,4.55395e+07,3.45000e-02,4.55506e+07,4.44286e-02,4.54480e+07,1.04214e-01
4.26998e+05,1.65500e-01,4.52000e+06,2.12143e-02,4.50162e+03,6.10000e-02,5.04879e+07,3.19286e-02,5.05005e+07,3.76429e-02,5.03863e+07,7.54286e-02
4.27497e+05,5.65714e-02,4.52050e+06,1.35714e-02,4.75146e+03,7.32143e-02,5.54363e+07,2.71429e-02,5.54504e+07,3.02857e-02,5.53246e+07,5.52857e-02
4.27997e+05,2.87143e-02,4.52100e+06,8.14286e-03,5.00129e+03,8.68571e-02,6.03847e+07,2.27857e-02,6.04004e+07,2.95000e-02,6.02629e+07,4.38571e-02
4.28497e+05,1.97143e-02,4.52150e+06,7.00000e-03,5.25113e+03,8.44286e-02,6.53331e+07,1.70714e-02,6.53503e+07,2.47857e-02,6.52013e+07,3.39286e-02
4.28996e+05,1.40000e-02,4.52200e+06,5.78571e-03,5.50096e+03,7.74286e-02,7.02815e+07,1.42143e-02,7.03003e+07,2.39286e-02,7.01396e+07,2.54286e-02
4.29496e+05,1.21429e-02,4.52250e+06,4.92857e-03,5.75080e+03,7.49286e-02,7.52300e+07,1.37143e-02,7.52502e+07,1.97143e-02,7.50779e+07,1.73571e-02
4.29996e+05,1.02143e-02,4.52300e+06,5.57143e-03,6.00063e+03,7.43571e-02,8.01784e+07,1.17857e-02,8.02001e+07,1.86429e-02,8.00163e+07,1.02143e-02
4.30495e+05,9.57143e-03,4.52350e+06,5.07143e-03,6.25047e+03,6.95000e-02,8.51268e+07,1.30000e-02,8.51501e+07,1.75714e-02,8.49546e+07,8.21429e-03
4.30995e+05,7.28571e-03,4.52400e+06,5.42857e-03,6.50030e+03,5.95714e-02,9.00752e+07,1.12857e-02,9.01000e+07,1.62857e-02,8.98929e+07,5.71429e-03
4.31494e+05,6.35714e-03,4.52450e+06,4.85714e-03,6.75014e+03,5.65714e-02,9.50236e+07,1.17143e-02,9.50499e+07,1.57857e-02,9.48312e+07,5.28571e-03
4.31994e+05,7.64286e-03,4.52500e+06,5.57143e-03,6.99997e+03,5.30000e-02,9.99720e+07,1.12143e-02,9.99999e+07,1.58571e-02,9.97696e+07,5.78571e-03
