func,iter,xcen,ycen,depth,Pxx,Pyy,Pzz
1.193423e+01,12,4.2632326e+05,4.5187682e+06,3.1558607e+03,1.4131768e+07,1.7455436e+07,1.9019534e+07
1.241247e+01,9,4.2622747e+05,4.5186546e+06,3.5209908e+03,1.5821475e+07,1.9597449e+07,2.2408425e+07
1.400373e+01,13,4.2624020e+05,4.5187087e+06,3.7746140e+03,1.3809674e+07,1.5237218e+07,2.3450954e+07
1.409192e+01,12,4.2625836e+05,4.5186399e+06,3.6044827e+03,1.7412144e+07,1.8212640e+07,2.4437205e+07
1.531544e+01,13,4.2622421e+05,4.5185977e+06,3.8582345e+03,1.4952853e+07,1.5704785e+07,2.5099468e+07
1.536150e+01,13,4.2620966e+05,4.5185089e+06,3.6118932e+03,1.9232352e+07,2.0183868e+07,2.3885722e+07
1.539916e+01,13,4.2634691e+05,4.5185017e+06,3.5771175e+03,1.6435115e+07,1.9212424e+07,2.3019942e+07
1.574561e+01,13,4.2628031e+05,4.5186792e+06,3.9461789e+03,1.2731571e+07,1.4093839e+07,2.4069907e+07
1.578196e+01,13,4.2626054e+05,4.5185995e+06,3.6291721e+03,2.1394621e+07,2.1733031e+07,2.5493977e+07
1.581534e+01,13,4.2634613e+05,4.5186163e+06,3.4227701e+03,1.8057924e+07,2.1255321e+07,2.1474435e+07
1.599784e+01,13,4.2621557e+05,4.5185482e+06,3.7988870e+03,1.7288856e+07,2.2792483e+07,2.5972404e+07
1.607414e+01,12,4.2632118e+05,4.5187902e+06,3.3195705e+03,1.8839975e+07,2.3648241e+07,2.2599320e+07
1.626115e+01,12,4.2624979e+05,4.5185953e+06,4.0228491e+03,1.6524472e+07,1.8210058e+07,2.7032482e+07
1.638617e+01,13,4.2622442e+05,4.5185969e+06,3.6308767e+03,2.1015037e+07,2.2233540e+07,2.4243710e+07
1.641191e+01,13,4.2626775e+05,4.5188060e+06,3.7699584e+03,1.3966042e+07,1.5317517e+07,2.4208944e+07
