xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,Pxx,Pxx_1D_PPD,Pyy,Pyy_1D_PPD,Pzz,Pzz_1D_PPD,Pxy,Pxy_1D_PPD,Pyz,Pyz_1D_PPD,Pzx,Pzx_1D_PPD
4.26243e+05,1.26263e-03,4.51769e+06,8.41751e-04,3.13190e+03,2.21661e-02,2.19244e+06,1.50814e-02,2.75394e+06,4.11336e-01,1.51711e+07,4.55247e-02,-2.41370e+06,1.95707e-02,3.51796e+05,4.34203e-02,-4.21329e+06,8.41751e-04
4.26276e+05,2.28676e-02,4.51774e+06,2.73569e-03,3.25229e+03,2.63468e-01,3.37421e+06,4.71380e-02,4.50786e+06,1.31874e-02,1.62136e+07,1.04447e-01,-1.96273e+06,8.03872e-02,6.85969e+05,1.88692e-01,-3.99984e+06,2.66554e-03
4.26309e+05,1.38749e-01,4.51780e+06,9.32941e-03,3.37268e+03,4.06846e-02,4.55598e+06,9.62402e-02,6.26178e+06,1.95707e-02,1.72561e+07,1.41063e-01,-1.51176e+06,1.32225e-01,1.02014e+06,2.54630e-02,-3.78640e+06,2.45511e-03
4.26342e+05,1.91077e-01,4.51785e+06,1.12233e-02,3.49307e+03,8.83838e-03,5.73775e+06,2.35971e-01,8.01570e+06,4.79097e-02,1.82986e+07,3.34315e-01,-1.06078e+06,2.68308e-01,1.35432e+06,3.64057e-02,-3.57295e+06,3.08642e-03
4.26375e+05,4.22348e-01,4.51790e+06,9.60999e-03,3.61345e+03,8.27722e-03,6.91952e+06,1.72840e-01,9.76962e+06,4.59456e-02,1.93412e+07,1.54812e-01,-6.09811e+05,6.35522e-02,1.68849e+06,5.13468e-02,-3.35951e+06,3.92817e-03
4.26408e+05,9.90460e-02,4.51796e+06,9.11897e-03,3.73384e+03,6.03255e-03,8.10129e+06,4.22278e-02,1.15235e+07,1.34680e-02,2.03837e+07,2.01319e-02,-1.58839e+05,1.85887e-02,2.02266e+06,4.24383e-02,-3.14606e+06,1.12233e-03
4.26441e+05,2.04125e-02,4.51801e+06,1.45202e-02,3.85423e+03,1.50814e-02,9.28306e+06,2.81285e-02,1.32775e+07,2.75673e-02,2.14262e+07,1.33277e-03,2.92134e+05,1.23036e-01,2.35684e+06,4.28591e-02,-2.93262e+06,1.12233e-03
4.26474e+05,1.85887e-02,4.51807e+06,2.40600e-02,3.97462e+03,7.47755e-02,1.04648e+07,2.63047e-02,1.50314e+07,2.32884e-01,2.24687e+07,7.71605e-04,7.43106e+05,6.55864e-02,2.69101e+06,2.51824e-02,-2.71917e+06,1.61336e-03
4.26508e+05,1.29068e-02,4.51812e+06,6.60774e-02,4.09501e+03,7.21801e-02,1.16466e+07,4.22278e-02,1.67853e+07,1.67649e-02,2.35112e+07,1.05219e-03,1.19408e+06,2.37093e-02,3.02518e+06,9.37149e-02,-2.50573e+06,8.48765e-03
4.26541e+05,2.69360e-02,4.51818e+06,7.35831e-02,4.21539e+03,1.46605e-02,1.28284e+07,6.75505e-02,1.85392e+07,6.83923e-02,2.45538e+07,7.71605e-04,1.64505e+06,2.15348e-02,3.35936e+06,8.55780e-02,-2.29229e+06,2.85494e-02
