coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
418670.00,4516876.40,8.62204e-04,7.62900e-03,5.00000e-03,0.439,-0.088,0.894
418843.50,4516856.30,9.74740e-04,7.25500e-03,5.00000e-03,0.439,-0.088,0.894
419040.00,4516040.00,1.07970e-03,-3.97400e-03,5.00000e-03,0.439,-0.088,0.894
419127.10,4516367.80,1.16560e-03,-1.18930e-02,5.00000e-03,0.439,-0.088,0.894
418972.50,4516813.80,1.06738e-03,4.39000e-04,5.00000e-03,0.439,-0.088,0.894
419292.20,4515987.00,1.25275e-03,-6.19700e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516260.00,1.26001e-03,-2.56800e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516700.00,1.29990e-03,-1.61420e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516920.00,1.31374e-03,-1.29930e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4517140.00,1.32293e-03,-7.91400e-04,5.00000e-03,0.439,-0.088,0.894
419204.70,4517375.40,1.27109e-03,-1.63460e-02,5.00000e-03,0.439,-0.088,0.894
419260.00,4518460.00,1.26332e-03,-8.19700e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516040.00,1.41555e-03,-8.42290e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516260.00,1.45252e-03,-4.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516480.00,1.48611e-03,-4.49680e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516700.00,1.51572e-03,-5.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516920.00,1.54075e-03,-5.52150e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517140.00,1.56062e-03,-5.21850e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517360.00,1.57481e-03,-4.98910e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517580.00,1.58283e-03,-8.17180e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518020.00,1.57884e-03,-5.36870e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518240.00,1.56630e-03,-3.68190e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518460.00,1.54653e-03,-8.51840e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518680.00,1.51956e-03,-9.84860e-03,5.00000e-03,0.439,-0.088,0.894
419574.20,4523793.10,8.43294e-05,-1.02690e-02,5.00000e-03,0.439,-0.088,0.894
419479.50,4524663.20,-1.49329e-04,-1.86810e-02,5.00000e-03,0.439,-0.088,0.894
419736.70,4515926.70,1.63530e-03,-1.37100e-02,5.00000e-03,0.439,-0.088,0.894
419700.00,4516040.00,1.62596e-03,-8.66360e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516260.00,1.67744e-03,-5.64530e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516480.00,1.72551e-03,-5.91310e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516700.00,1.76939e-03,-6.90740e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516920.00,1.80832e-03,-9.47800e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517140.00,1.84152e-03,-8.32090e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517360.00,1.86826e-03,-8.38540e-03,5.00000e-03,0.439,-0.088,0.894
