xcen,ycen,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.2670086e+05,4.5177725e+06,4.9027522e+03,2.4194745e+07,3.4928590e+07,3.4485357e+07,1.5546429e+06,3.2885483e+06,-4.0321589e+06
4.2672739e+05,4.5177562e+06,4.9389407e+03,2.4396919e+07,3.4719397e+07,3.4978964e+07,1.3996347e+06,3.1493408e+06,-4.1862507e+06
4.2674570e+05,4.5177970e+06,4.9192761e+03,2.3605816e+07,3.5170451e+07,3.4588193e+07,1.4415213e+06,3.2141503e+06,-4.1627243e+06
4.2673417e+05,4.5178549e+06,4.8736546e+03,2.3961551e+07,3.4795134e+07,3.4389997e+07,1.4804349e+06,3.2465388e+06,-3.7815554e+06
4.2685480e+05,4.5179225e+06,4.8887653e+03,2.0300018e+07,3.5433668e+07,3.3522830e+07,1.3194024e+06,3.1249858e+06,-4.3912498e+06
4.2679472e+05,4.5178768e+06,4.8697616e+03,2.1814223e+07,3.4825176e+07,3.4312590e+07,1.4932749e+06,3.1183423e+06,-4.0996464e+06
4.2677320e+05,4.5177739e+06,4.9254743e+03,2.3155686e+07,3.4832034e+07,3.4628210e+07,1.3750911e+06,3.1449385e+06,-4.3148371e+06
4.2677818e+05,4.5178232e+06,4.8698562e+03,2.2550360e+07,3.5493101e+07,3.3341616e+07,1.5853887e+06,3.4021175e+06,-4.1203873e+06
4.2680754e+05,4.5179492e+06,4.8611836e+03,2.1766106e+07,3.4597901e+07,3.3324785e+07,1.3942042e+06,3.3849105e+06,-3.8257191e+06
4.2678879e+05,4.5178905e+06,4.8205010e+03,2.1891201e+07,3.5257501e+07,3.3990952e+07,1.9871879e+06,3.0953535e+06,-4.1207040e+06
4.2671701e+05,4.5178860e+06,4.8276336e+03,2.3311370e+07,3.6078407e+07,3.4316356e+07,1.8528502e+06,3.0686235e+06,-4.0618359e+06
4.2676067e+05,4.5178184e+06,4.8903391e+03,2.3105604e+07,3.4941894e+07,3.4137041e+07,1.4809036e+06,3.2862937e+06,-4.0967154e+06
4.2674436e+05,4.5178281e+06,4.8956115e+03,2.3733552e+07,3.5010330e+07,3.4618263e+07,1.4539504e+06,3.1569105e+06,-4.0268253e+06
