xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,Pxx,Pxx_1D_PPD,Pyy,Pyy_1D_PPD,Pzz,Pzz_1D_PPD,Pxy,Pxy_1D_PPD,Pyz,Pyz_1D_PPD,Pzx,Pzx_1D_PPD
4.22502e+05,6.23333e-03,4.51550e+06,2.11667e-02,2.25013e+03,2.10000e-03,5.94918e+06,1.95100e-01,5.94788e+06,1.42700e-01,5.96376e+06,8.76667e-03,-8.99938e+06,2.38333e-02,-8.99954e+06,2.77333e-02,-8.99952e+06,2.00333e-02
4.23002e+05,9.10000e-03,4.51600e+06,2.64333e-02,2.50011e+03,2.50000e-03,1.08984e+07,1.80700e-01,1.08957e+07,1.60067e-01,1.09123e+07,1.03333e-02,-7.99942e+06,2.19333e-02,-7.99959e+06,2.39000e-02,-7.99963e+06,1.72333e-02
4.23501e+05,1.04667e-02,4.51650e+06,3.63667e-02,2.75009e+03,2.66667e-03,1.58475e+07,1.38467e-01,1.58435e+07,1.42567e-01,1.58609e+07,1.75333e-02,-6.99945e+06,2.28000e-02,-6.99965e+06,2.30000e-02,-6.99975e+06,2.06333e-02
4.24001e+05,1.72333e-02,4.51700e+06,5.70000e-02,3.00007e+03,3.13333e-03,2.07967e+07,9.80000e-02,2.07913e+07,1.01933e-01,2.08095e+07,4.46333e-02,-5.99948e+06,2.96000e-02,-5.99970e+06,2.28667e-02,-5.99986e+06,2.61333e-02
4.24501e+05,3.00667e-02,4.51750e+06,9.41667e-02,3.25006e+03,4.00000e-03,2.57459e+07,7.47333e-02,2.57391e+07,7.65333e-02,2.57580e+07,1.14367e-01,-4.99952e+06,3.86000e-02,-4.99976e+06,2.48333e-02,-4.99998e+06,3.34667e-02
4.25001e+05,5.53000e-02,4.51800e+06,1.54767e-01,3.50004e+03,6.26667e-03,3.06950e+07,6.05000e-02,3.06869e+07,6.31667e-02,3.07066e+07,1.63133e-01,-3.99955e+06,5.46000e-02,-3.99981e+06,2.65667e-02,-4.00009e+06,4.96000e-02
4.25500e+05,1.00433e-01,4.51850e+06,2.16333e-01,3.75002e+03,9.30000e-03,3.56442e+07,4.46000e-02,3.56347e+07,5.32667e-02,3.56552e+07,1.46633e-01,-2.99959e+06,6.97333e-02,-2.99986e+06,2.96000e-02,-3.00021e+06,6.14667e-02
4.26000e+05,1.66600e-01,4.51900e+06,1.91533e-01,4.00000e+03,1.68667e-02,4.05934e+07,3.66000e-02,4.05825e+07,4.56333e-02,4.06037e+07,1.19000e-01,-1.99962e+06,9.31000e-02,-1.99992e+06,3.54000e-02,-2.00033e+06,7.52667e-02
4.26500e+05,2.04933e-01,4.51950e+06,1.00100e-01,4.24998e+03,3.28000e-02,4.55425e+07,2.95333e-02,4.55303e+07,3.68667e-02,4.55523e+07,9.86667e-02,-9.99654e+05,1.03700e-01,-9.99971e+05,4.87333e-02,-1.00044e+06,1.00800e-01
4.27000e+05,1.60867e-01,4.52000e+06,4.13667e-02,4.49996e+03,6.05667e-02,5.04917e+07,2.54000e-02,5.04781e+07,3.28667e-02,5.05009e+07,7.15000e-02,3.11370e+02,9.02333e-02,-2.51720e+01,7.75667e-02,-5.57569e+02,1.40600e-01
4.27499e+05,9.45667e-02,4.52050e+06,2.14667e-02,4.74994e+03,8.82667e-02,5.54409e+07,1.98000e-02,5.54259e+07,2.49000e-02,5.54495e+07,5.48333e-02,1.00028e+06,7.83667e-02,9.99921e+05,1.11733e-01,9.99327e+05,1.31467e-01
4.27999e+05,5.48667e-02,4.52100e+06,1.14667e-02,4.99992e+03,1.08167e-01,6.03900e+07,1.74333e-02,6.03738e+07,1.97667e-02,6.03980e+07,4.34333e-02,2.00024e+06,7.09333e-02,1.99987e+06,1.21667e-01,1.99921e+06,9.82667e-02
4.28499e+05,3.10333e-02,4.52150e+06,7.03333e-03,5.24990e+03,1.06600e-01,6.53392e+07,1.50667e-02,6.53216e+07,1.82000e-02,6.53466e+07,3.18333e-02,3.00021e+06,6.20667e-02,2.99981e+06,9.96667e-02,2.99910e+06,6.38333e-02
4.28999e+05,1.77333e-02,4.52200e+06,4.83333e-03,5.49988e+03,1.00533e-01,7.02884e+07,1.21667e-02,7.02694e+07,1.60000e-02,7.02952e+07,2.31333e-02,4.00017e+06,5.41667e-02,3.99976e+06,7.89000e-02,3.99898e+06,4.33667e-02
4.29498e+05,1.19333e-02,4.52250e+06,2.93333e-03,5.74986e+03,9.53667e-02,7.52375e+07,1.24000e-02,7.52172e+07,1.33667e-02,7.52437e+07,1.68000e-02,5.00014e+06,4.16333e-02,4.99971e+06,6.11667e-02,4.99886e+06,3.11667e-02
4.29998e+05,8.60000e-03,4.52299e+06,3.26667e-03,5.99984e+03,8.61333e-02,8.01867e+07,1.00333e-02,8.01650e+07,1.19667e-02,8.01923e+07,1.14333e-02,6.00011e+06,3.35333e-02,5.99965e+06,4.34667e-02,5.99875e+06,2.45333e-02
4.30498e+05,7.10000e-03,4.52349e+06,2.63333e-03,6.24982e+03,8.07000e-02,8.51359e+07,8.43333e-03,8.51128e+07,1.14333e-02,8.51409e+07,8.20000e-03,7.00007e+06,2.84333e-02,6.99960e+06,3.77000e-02,6.99863e+06,1.79000e-02
4.30998e+05,4.83333e-03,4.52399e+06,2.13333e-03,6.49980e+03,7.01667e-02,9.00850e+07,7.76667e-03,9.00606e+07,1.09667e-02,9.00894e+07,7.13333e-03,8.00004e+06,2.31667e-02,7.99954e+06,3.62000e-02,7.99852e+06,1.35000e-02
4.31497e+05,4.23333e-03,4.52449e+06,2.40000e-03,6.74978e+03,6.37333e-02,9.50342e+07,7.03333e-03,9.50084e+07,9.50000e-03,9.50380e+07,4.40000e-03,9.00000e+06,2.43000e-02,8.99949e+06,3.21333e-02,8.99840e+06,1.41333e-02
