coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
419920.00,4525720.00,6.34443e-03,-1.82580e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4525940.00,6.03058e-03,-2.35460e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4526160.00,5.73047e-03,-9.21000e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4526380.00,5.44391e-03,-1.75500e-03,5.00000e-03,-0.753,-0.113,0.648
419920.00,4527040.00,4.66255e-03,-8.96990e-03,5.00000e-03,-0.753,-0.113,0.648
420248.70,4523884.90,1.02182e-02,1.04310e-02,5.00000e-03,-0.753,-0.113,0.648
420165.70,4524605.70,8.54336e-03,6.29000e-04,5.00000e-03,-0.753,-0.113,0.648
420129.80,4524745.00,8.21960e-03,4.02700e-03,5.00000e-03,-0.753,-0.113,0.648
420140.90,4524988.00,7.78756e-03,1.99400e-03,5.00000e-03,-0.753,-0.113,0.648
420140.00,4525280.00,7.27259e-03,-4.00900e-04,5.00000e-03,-0.753,-0.113,0.648
420242.50,4525763.20,6.57915e-03,-2.08800e-03,5.00000e-03,-0.753,-0.113,0.648
420051.60,4525848.30,6.27608e-03,-3.18000e-04,5.00000e-03,-0.753,-0.113,0.648
420173.00,4526139.20,5.94978e-03,-1.22220e-02,5.00000e-03,-0.753,-0.113,0.648
420140.00,4526600.00,5.30004e-03,-1.51630e-02,5.00000e-03,-0.753,-0.113,0.648
420140.00,4526820.00,5.02440e-03,-1.71590e-02,5.00000e-03,-0.753,-0.113,0.648
420140.00,4527040.00,4.76279e-03,-6.89760e-03,5.00000e-03,-0.753,-0.113,0.648
420140.00,4527260.00,4.51469e-03,-5.72390e-03,5.00000e-03,-0.753,-0.113,0.648
420465.60,4522929.20,1.32249e-02,1.26600e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523080.00,1.24616e-02,1.11727e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523300.00,1.19050e-02,1.28396e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523520.00,1.13578e-02,1.08774e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523740.00,1.08226e-02,1.01120e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4523960.00,1.03014e-02,1.17158e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4524180.00,9.79576e-03,9.76870e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4524400.00,9.30688e-03,6.13630e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4524620.00,8.83570e-03,5.27630e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4524840.00,8.38284e-03,5.35980e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4525060.00,7.94866e-03,4.33700e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4525280.00,7.53332e-03,3.36600e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4525500.00,7.13679e-03,1.18000e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4525720.00,6.75887e-03,-2.06560e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4525940.00,6.39925e-03,-3.10220e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4526160.00,6.05751e-03,-6.94600e-03,5.00000e-03,-0.753,-0.113,0.648
420297.10,4526360.60,5.72014e-03,-4.70800e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4526600.00,5.42562e-03,-1.40485e-02,5.00000e-03,-0.753,-0.113,0.648
420360.00,4526820.00,5.13431e-03,-5.73730e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4527040.00,4.85857e-03,-7.17900e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4527260.00,4.59776e-03,-1.20920e-03,5.00000e-03,-0.753,-0.113,0.648
420360.00,4527480.00,4.35120e-03,2.28800e-04,5.00000e-03,-0.753,-0.113,0.648
420580.00,4521100.00,1.87428e-02,2.13437e-02,5.00000e-03,-0.753,-0.113,0.648
420680.50,4521228.20,1.91212e-02,2.31030e-02,5.00000e-03,-0.753,-0.113,0.648
420615.50,4521538.90,1.78490e-02,2.20320e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4522200.00,1.57706e-02,2.41100e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4522420.00,1.51294e-02,1.78290e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4522860.00,1.38456e-02,1.58676e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4523080.00,1.32120e-02,1.51410e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4523520.00,1.19791e-02,9.91000e-03,5.00000e-03,-0.753,-0.113,0.648
420580.00,4523740.00,1.13854e-02,1.14040e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4523960.00,1.08098e-02,1.32420e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4524180.00,1.02537e-02,1.12767e-02,5.00000e-03,-0.753,-0.113,0.648
420580.00,4524400.00,9.71826e-03,6.82340e-03,5.00000e-03,-0.753,-0.113,0.648
420580.00,4524620.00,9.20429e-03,4.32270e-03,5.00000e-03,-0.753,-0.113,0.648
420580.00,4524840.00,8.71222e-03,6.02810e-03,5.00000e-03,-0.753,-0.113,0.648
420580.00,4525060.00,8.24223e-03,5.54490e-03,5.00000e-03,-0.753,-0.113,0.648
420580.00,4525500.00,7.36808e-03,-2.13000e-05,5.00000e-03,-0.753,-0.113,0.648
420580.00,4525720.00,6.96329e-03,-5.17600e-04,5.00000e-03,-0.753,-0.113,0.648
420580.00,4525940.00,6.57937e-03,-1.91900e-04,5.00000e-03,-0.753,-0.113,0.648
420580.00,4526160.00,6.21569e-03,-2.15710e-03,5.00000e-03,-0.753,-0.113,0.648
420496.90,4527366.50,4.52206e-03,-6.55000e-04,5.00000e-03,-0.753,-0.113,0.648
420580.00,4527480.00,4.41727e-03,5.93400e-04,5.00000e-03,-0.753,-0.113,0.648
420580.00,4527700.00,4.17407e-03,-3.80200e-04,5.00000e-03,-0.753,-0.113,0.648
420909.40,4519220.00,2.44136e-02,3.60460e-02,5.00000e-03,-0.753,-0.113,0.648
420892.60,4519398.90,2.41964e-02,3.61900e-02,5.00000e-03,-0.753,-0.113,0.648
420895.20,4519874.00,2.38273e-02,3.33460e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4520000.00,2.27187e-02,3.05161e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4520220.00,2.23773e-02,2.78248e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4520660.00,2.14798e-02,2.81777e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4520880.00,2.09380e-02,2.67609e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4521100.00,2.03449e-02,2.38913e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4521320.00,1.97088e-02,2.41552e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4521540.00,1.90380e-02,2.39734e-02,5.00000e-03,-0.753,-0.113,0.648
420800.00,4521980.00,1.76250e-02,2.26742e-02,5.00000e-03,-0.753,-0.113,0.648
