depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.6496652e+03,2.3831796e+07,3.5060275e+07,3.3811702e+07,-9.0145789e+06,-2.4295893e+06,2.1163441e+06
4.5567713e+03,2.2089850e+07,3.4512596e+07,3.2845228e+07,-9.5868457e+06,-2.6244000e+06,2.1209744e+06
4.6346342e+03,2.2366120e+07,3.5868284e+07,3.3551031e+07,-9.6786599e+06,-2.4861652e+06,1.9312867e+06
4.3745542e+03,2.3990022e+07,3.6320805e+07,3.2722224e+07,-9.1570252e+06,-3.3666895e+06,1.5362099e+06
4.4865788e+03,2.2052503e+07,3.4807854e+07,3.2647608e+07,-9.1343925e+06,-2.4187486e+06,2.3824173e+06
4.4300475e+03,2.5791398e+07,3.6579519e+07,3.3512312e+07,-8.7648682e+06,-3.4078121e+06,1.2472907e+06
4.6199425e+03,2.1731665e+07,3.4529060e+07,3.2926984e+07,-9.9689582e+06,-2.6273415e+06,1.8288979e+06
4.5573231e+03,2.4393762e+07,3.6032359e+07,3.3927092e+07,-8.7682313e+06,-2.6537013e+06,1.9220616e+06
4.4616780e+03,2.5681512e+07,3.7322100e+07,3.4043742e+07,-8.3053213e+06,-2.9559044e+06,1.6463521e+06
4.5038684e+03,2.4103471e+07,3.6915078e+07,3.3418029e+07,-8.8183678e+06,-2.5191303e+06,1.6959429e+06
4.2759591e+03,2.5950279e+07,3.6306104e+07,3.2660016e+07,-7.8300521e+06,-3.0322093e+06,1.6597286e+06
4.5326296e+03,2.3278371e+07,3.5196663e+07,3.3346851e+07,-8.8308751e+06,-2.4480340e+06,2.2821472e+06
4.5666174e+03,2.1082737e+07,3.3739422e+07,3.2506668e+07,-9.7449376e+06,-2.4506960e+06,2.2611661e+06
4.5378577e+03,2.2809248e+07,3.5952743e+07,3.3174358e+07,-9.3821070e+06,-2.6204671e+06,1.9768269e+06
4.6117711e+03,2.3993039e+07,3.5449325e+07,3.3833748e+07,-8.9444583e+06,-2.5238686e+06,2.0317292e+06
