depth,depth_1D_PPD,Pxx,Pxx_1D_PPD,Pyy,Pyy_1D_PPD,Pzz,Pzz_1D_PPD,Pxy,Pxy_1D_PPD,Pyz,Pyz_1D_PPD,Pzx,Pzx_1D_PPD
2.82723e+03,1.61436e-02,1.13408e+07,9.10895e-03,6.11736e+06,4.32900e-03,1.38570e+07,2.15548e-02,-9.48912e+06,9.01876e-04,-3.16857e+06,1.80375e-03,-4.09922e+05,2.05447e-01
2.92315e+03,1.23557e-02,1.21097e+07,2.56133e-02,7.75971e+06,2.15548e-02,1.49195e+07,5.20382e-02,-9.00928e+06,1.35281e-03,-2.81739e+06,7.39538e-03,-2.30389e+05,5.56548e-01
3.01907e+03,6.70094e-02,1.28786e+07,7.38636e-02,9.40207e+06,2.64250e-02,1.59819e+07,4.65368e-02,-8.52945e+06,4.05844e-03,-2.46620e+06,3.78788e-03,-5.08555e+04,6.38528e-02
3.11498e+03,5.93795e-01,1.36475e+07,7.39358e-01,1.10444e+07,4.59957e-02,1.70444e+07,6.84524e-02,-8.04961e+06,7.03463e-03,-2.11501e+06,1.80375e-03,1.28678e+05,6.04257e-03
3.21090e+03,1.51876e-01,1.44164e+07,8.94661e-02,1.26868e+07,2.55231e-02,1.81069e+07,7.43777e-01,-7.56977e+06,9.37951e-03,-1.76382e+06,2.52525e-03,3.08211e+05,1.36183e-02
3.30682e+03,7.89141e-02,1.51854e+07,1.92100e-02,1.43291e+07,1.77219e-01,1.91693e+07,4.16667e-02,-7.08994e+06,1.98413e-03,-1.41264e+06,2.61544e-03,4.87744e+05,8.92857e-03
3.40274e+03,3.91414e-02,1.59543e+07,1.40693e-02,1.59715e+07,6.46825e-01,2.02318e+07,1.35281e-03,-6.61010e+06,1.35281e-03,-1.06145e+06,2.07431e-03,6.67277e+05,1.71356e-03
3.49865e+03,1.24459e-02,1.67232e+07,4.32900e-03,1.76138e+07,2.87698e-02,2.12942e+07,8.11688e-04,-6.13026e+06,5.41126e-04,-7.10262e+05,9.92063e-04,8.46810e+05,2.61544e-03
3.59457e+03,1.62338e-03,1.74921e+07,1.71356e-03,1.92562e+07,2.70563e-04,2.23567e+07,5.41126e-04,-5.65043e+06,9.92063e-04,-3.59074e+05,2.70563e-04,1.02634e+06,4.05844e-03
3.69049e+03,7.21501e-04,1.82611e+07,1.08225e-03,2.08986e+07,7.21501e-04,2.34192e+07,1.08225e-03,-5.17059e+06,2.52525e-03,-7.88661e+03,1.03445e-01,1.20588e+06,1.22655e-02
3.78641e+03,1.26263e-03,1.90300e+07,2.52525e-03,2.25409e+07,1.53319e-03,2.44816e+07,2.61544e-03,-4.69075e+06,3.24675e-03,3.43301e+05,6.66667e-01,1.38541e+06,4.41919e-03
3.88232e+03,3.24675e-03,1.97989e+07,2.61544e-03,2.41833e+07,4.50938e-03,2.55441e+07,4.05844e-03,-4.21092e+06,2.52525e-03,6.94488e+05,6.99856e-02,1.56494e+06,1.75866e-02
3.97824e+03,1.04618e-02,2.05678e+07,2.52525e-03,2.58256e+07,2.97619e-03,2.66065e+07,2.07431e-03,-3.73108e+06,6.40332e-03,1.04568e+06,2.01118e-02,1.74448e+06,3.63456e-02
4.07416e+03,3.24675e-03,2.13367e+07,1.89394e-03,2.74680e+07,1.26263e-03,2.76690e+07,1.89394e-03,-3.25124e+06,9.10895e-03,1.39686e+06,4.77994e-03,1.92401e+06,1.90296e-02
4.17008e+03,1.89394e-03,2.21057e+07,1.89394e-03,2.91103e+07,2.79582e-03,2.87314e+07,2.97619e-03,-2.77141e+06,3.87807e-03,1.74805e+06,1.29870e-02,2.10354e+06,2.59740e-02
4.26599e+03,1.35281e-03,2.28746e+07,3.42713e-03,3.07527e+07,2.16450e-03,2.97939e+07,1.35281e-03,-2.29157e+06,2.73268e-02,2.09924e+06,2.16450e-02,2.28308e+06,9.55988e-03
4.36191e+03,1.17244e-03,2.36435e+07,4.68975e-03,3.23950e+07,1.62338e-03,3.08564e+07,1.80375e-03,-1.81173e+06,4.35606e-02,2.45043e+06,3.38203e-02,2.46261e+06,7.66595e-03
4.45783e+03,1.71356e-03,2.44124e+07,2.25469e-03,3.40374e+07,1.89394e-03,3.19188e+07,1.62338e-03,-1.33190e+06,2.07431e-02,2.80161e+06,2.64250e-02,2.64214e+06,2.61544e-03
4.55375e+03,8.11688e-04,2.51814e+07,9.01876e-05,3.56797e+07,2.61544e-03,3.29813e+07,2.79582e-03,-8.52061e+05,7.05447e-01,3.15280e+06,1.44300e-02,2.82168e+06,1.35281e-03
4.64967e+03,8.11688e-04,2.59503e+07,2.70563e-04,3.73221e+07,9.92063e-04,3.40437e+07,9.92063e-04,-3.72225e+05,1.47637e-01,3.50399e+06,2.43506e-03,3.00121e+06,3.60750e-04
