coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
418670.00,4516876.40,-8.63000e-05,7.62900e-03,5.00000e-03,0.439,-0.088,0.894
418843.50,4516856.30,2.79057e-05,7.25500e-03,5.00000e-03,0.439,-0.088,0.894
419040.00,4516040.00,3.77290e-04,-3.97400e-03,5.00000e-03,0.439,-0.088,0.894
419127.10,4516367.80,3.67785e-04,-1.18930e-02,5.00000e-03,0.439,-0.088,0.894
418972.50,4516813.80,1.29934e-04,4.39000e-04,5.00000e-03,0.439,-0.088,0.894
419292.20,4515987.00,5.89966e-04,-6.19700e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516260.00,5.03706e-04,-2.56800e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516700.00,3.93212e-04,-1.61420e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516920.00,3.30704e-04,-1.29930e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4517140.00,2.63507e-04,-7.91400e-04,5.00000e-03,0.439,-0.088,0.894
419204.70,4517375.40,1.38037e-04,-1.63460e-02,5.00000e-03,0.439,-0.088,0.894
419260.00,4518460.00,-2.21062e-04,-8.19700e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516040.00,7.52283e-04,-8.42290e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516260.00,7.08144e-04,-4.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516480.00,6.58613e-04,-4.49680e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516700.00,6.03627e-04,-5.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516920.00,5.43195e-04,-5.52150e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517140.00,4.77397e-04,-5.21850e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517360.00,4.06403e-04,-4.98910e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517580.00,3.30465e-04,-8.17180e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518020.00,1.65239e-04,-5.36870e-03,5.00000e-03,0.439,-0.088,0.894
