depth,depth_1D_PPD,Pxx,Pxx_1D_PPD,Pyy,Pyy_1D_PPD,Pzz,Pzz_1D_PPD,Pxy,Pxy_1D_PPD,Pyz,Pyz_1D_PPD,Pzx,Pzx_1D_PPD
2.25004e+03,3.22222e-03,5.95486e+06,1.57056e-01,5.96252e+06,8.68889e-02,5.99251e+06,5.50000e-03,-8.99993e+06,1.81111e-02,-8.99859e+06,2.13333e-02,-8.99216e+06,9.16667e-03
2.49993e+03,3.44444e-03,1.09015e+07,2.24333e-01,1.09096e+07,1.47056e-01,1.09361e+07,9.16667e-03,-8.00008e+06,1.78333e-02,-7.99870e+06,2.06111e-02,-7.99282e+06,9.22222e-03
2.74982e+03,4.00000e-03,1.58482e+07,2.06222e-01,1.58566e+07,1.84778e-01,1.58798e+07,1.60000e-02,-7.00024e+06,1.88889e-02,-6.99881e+06,2.18333e-02,-6.99347e+06,9.44444e-03
2.99971e+03,5.94444e-03,2.07949e+07,1.29611e-01,2.08036e+07,1.66500e-01,2.08234e+07,7.94444e-02,-6.00040e+06,2.32222e-02,-5.99892e+06,2.80556e-02,-5.99412e+06,1.07222e-02
3.24960e+03,9.88889e-03,2.57416e+07,7.27778e-02,2.57507e+07,1.11556e-01,2.57670e+07,2.32167e-01,-5.00056e+06,3.07778e-02,-4.99904e+06,3.51111e-02,-4.99477e+06,1.67778e-02
3.49948e+03,2.56667e-02,3.06883e+07,4.07222e-02,3.06977e+07,7.76667e-02,3.07107e+07,2.03556e-01,-4.00072e+06,2.99444e-02,-3.99915e+06,4.42222e-02,-3.99543e+06,2.20000e-02
3.74937e+03,6.43333e-02,3.56350e+07,3.28333e-02,3.56447e+07,4.85556e-02,3.56543e+07,1.26944e-01,-3.00088e+06,4.50000e-02,-2.99926e+06,6.02778e-02,-2.99608e+06,3.46111e-02
3.99926e+03,1.27889e-01,4.05817e+07,2.27222e-02,4.05918e+07,3.54444e-02,4.05979e+07,8.58889e-02,-2.00104e+06,6.15556e-02,-1.99937e+06,8.31667e-02,-1.99673e+06,6.53333e-02
4.24915e+03,1.56556e-01,4.55284e+07,1.97778e-02,4.55388e+07,2.47778e-02,4.55416e+07,5.97778e-02,-1.00120e+06,9.30556e-02,-9.99484e+05,8.97778e-02,-9.97384e+05,1.45056e-01
4.49904e+03,1.23500e-01,5.04751e+07,1.51111e-02,5.04858e+07,1.81667e-02,5.04852e+07,4.00556e-02,-1.35560e+03,1.23556e-01,4.03608e+02,1.21667e-01,1.96368e+03,2.27944e-01
4.74893e+03,9.81667e-02,5.54218e+07,1.00556e-02,5.54329e+07,1.73889e-02,5.54288e+07,3.42778e-02,9.98486e+05,9.76667e-02,1.00029e+06,1.40889e-01,1.00131e+06,1.84889e-01
4.99881e+03,7.80000e-02,6.03684e+07,1.14444e-02,6.03799e+07,1.34444e-02,6.03725e+07,2.42222e-02,1.99833e+06,8.59444e-02,2.00018e+06,1.14167e-01,2.00066e+06,9.21667e-02
5.24870e+03,6.03333e-02,6.53151e+07,9.77778e-03,6.53270e+07,1.18333e-02,6.53161e+07,1.99444e-02,2.99817e+06,8.16111e-02,3.00007e+06,6.81111e-02,3.00001e+06,5.25556e-02
5.49859e+03,4.84444e-02,7.02618e+07,9.27778e-03,7.02740e+07,1.02222e-02,7.02597e+07,1.57778e-02,3.99801e+06,6.12778e-02,3.99996e+06,4.60556e-02,3.99935e+06,3.21111e-02
5.74848e+03,4.47778e-02,7.52085e+07,7.22222e-03,7.52210e+07,8.88889e-03,7.52034e+07,1.19444e-02,4.99785e+06,5.10000e-02,4.99984e+06,2.93333e-02,4.99870e+06,2.43889e-02
5.99837e+03,3.71111e-02,8.01552e+07,6.94444e-03,8.01681e+07,8.50000e-03,8.01470e+07,9.72222e-03,5.99769e+06,4.18889e-02,5.99973e+06,2.18889e-02,5.99805e+06,1.85000e-02
6.24825e+03,3.21111e-02,8.51019e+07,6.11111e-03,8.51151e+07,7.88889e-03,8.50906e+07,8.44444e-03,6.99753e+06,3.58889e-02,6.99962e+06,1.55000e-02,6.99740e+06,1.30556e-02
6.49814e+03,2.85000e-02,9.00486e+07,5.61111e-03,9.00621e+07,7.11111e-03,9.00343e+07,5.38889e-03,7.99737e+06,2.90000e-02,7.99951e+06,1.28889e-02,7.99674e+06,1.05000e-02
6.74803e+03,2.57222e-02,9.49953e+07,6.72222e-03,9.50092e+07,6.83333e-03,9.49779e+07,6.16667e-03,8.99721e+06,2.58889e-02,8.99939e+06,1.15556e-02,8.99609e+06,9.72222e-03
6.99792e+03,2.23889e-02,9.99420e+07,5.66667e-03,9.99562e+07,6.50000e-03,9.99215e+07,5.61111e-03,9.99706e+06,2.78889e-02,9.99928e+06,1.35556e-02,9.99544e+06,1.18333e-02
