func,iter,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
1.551212e+01,17,3.5001547e+03,1.5097778e+07,2.0914273e+07,2.3372591e+07,9.6114844e+05,-1.1560084e+06,-2.9885764e+05
1.559932e+01,17,3.7219199e+03,1.4249914e+07,1.7385350e+07,2.3955411e+07,2.4648901e+05,-3.1197585e+05,1.7060190e+04
1.566456e+01,15,3.4717804e+03,1.9182626e+07,2.0358431e+07,2.2807094e+07,-5.9247030e+05,7.1833225e+05,1.0026646e+05
1.568342e+01,17,3.7305072e+03,1.5333234e+07,1.4764953e+07,2.2898627e+07,-8.0117500e+04,6.2743647e+05,-1.7939138e+05
1.572635e+01,17,3.6193211e+03,1.1110563e+07,1.3398552e+07,2.1826549e+07,-1.3212407e+05,-3.2026345e+05,-6.1092481e+05
1.598103e+01,17,3.5031740e+03,1.5099585e+07,1.2262052e+07,1.9803653e+07,4.3721029e+05,1.4837985e+06,-5.3251442e+05
1.598339e+01,16,3.5637928e+03,1.6690027e+07,1.7598317e+07,2.1290608e+07,-3.3873998e+05,6.5024077e+05,1.8211819e+05
1.612821e+01,17,3.6777849e+03,1.3087739e+07,1.3728818e+07,2.2224456e+07,-1.4658111e+06,8.8106871e+04,1.1424378e+05
1.626710e+01,17,3.5407169e+03,1.3406423e+07,2.0204982e+07,2.3876702e+07,1.1554329e+06,-9.4809905e+05,-1.8379722e+05
1.643508e+01,17,3.6885258e+03,1.5370593e+07,1.1914315e+07,2.1406086e+07,-2.4115373e+05,1.5761772e+06,-7.7190548e+04
1.662063e+01,17,3.5248541e+03,1.6216560e+07,1.9980475e+07,2.2741011e+07,-8.0557627e+05,6.7059553e+05,1.6647199e+05
1.668349e+01,17,3.4749515e+03,1.3842712e+07,1.3193529e+07,2.0438672e+07,-1.5343024e+04,1.7354017e+06,3.4352785e+05
1.672039e+01,16,3.4764215e+03,1.9510831e+07,1.8541452e+07,2.0985721e+07,5.0940492e+05,1.6239838e+06,2.0913890e+05
1.682364e+01,15,3.8311124e+03,1.3272379e+07,1.3160559e+07,2.2889950e+07,-2.8306415e+05,6.3947415e+05,-4.3455079e+05
1.692352e+01,17,3.0340856e+03,1.1676919e+07,1.6888827e+07,1.8250456e+07,-1.1249862e+06,-8.5543751e+05,-4.5556832e+05
