xcen,ycen,depth,radius,dP_mu
4.2627410e+05,4.5186251e+06,3.5290822e+03,1.9233278e+03,4.4406868e-04
4.2571342e+05,4.5201708e+06,3.3039436e+03,7.1553265e+02,5.4414550e-03
4.2261277e+05,4.5248634e+06,4.7612832e+03,5.6218310e+02,3.1829527e-03
4.2622618e+05,4.5184175e+06,3.4693117e+03,1.8949541e+03,4.6823809e-04
4.2598531e+05,4.5201702e+06,3.0665827e+03,6.9566566e+02,5.1926819e-03
4.2631753e+05,4.5185377e+06,3.6822092e+03,2.0382491e+03,3.6365269e-04
4.2626355e+05,4.5186497e+06,3.5596365e+03,1.9255599e+03,4.4195912e-04
4.2629819e+05,4.5184451e+06,3.7939821e+03,2.0723446e+03,3.6855754e-04
4.2627549e+05,4.5186317e+06,3.5640116e+03,1.9754184e+03,3.9343289e-04
4.2643923e+05,4.5186644e+06,3.8932886e+03,2.0996789e+03,3.4583515e-04
4.2623005e+05,4.5186078e+06,3.4229806e+03,1.8738309e+03,4.6974010e-04
4.2577898e+05,4.5201680e+06,3.2474157e+03,7.1095695e+02,5.3843497e-03
4.2252573e+05,4.5249846e+06,4.8050198e+03,5.5873820e+02,3.1310859e-03
4.2623704e+05,4.5184936e+06,3.4708109e+03,1.8925169e+03,4.6652570e-04
4.2585423e+05,4.5201688e+06,3.1814660e+03,7.0538022e+02,5.3144485e-03
4.2625426e+05,4.5185542e+06,3.4734863e+03,1.9109816e+03,4.4333410e-04
4.2626036e+05,4.5186258e+06,3.5477678e+03,1.9229155e+03,4.4365178e-04
4.2627483e+05,4.5185036e+06,3.6177048e+03,1.9840068e+03,4.0907612e-04
4.2625345e+05,4.5185606e+06,3.5187883e+03,1.9226154e+03,4.4192399e-04
4.2635382e+05,4.5186591e+06,3.7437233e+03,2.0194645e+03,3.9393179e-04
4.2623316e+05,4.5185686e+06,3.4297593e+03,1.8774753e+03,4.6954972e-04
4.2647799e+05,4.5191372e+06,2.9112868e+03,7.3866140e+02,5.8922409e-03
4.2470200e+05,4.5217674e+06,3.7645084e+03,6.5718331e+02,4.6573623e-03
4.2623353e+05,4.5185348e+06,3.4565434e+03,1.8833281e+03,4.6861447e-04
4.2583008e+05,4.5201685e+06,3.2026382e+03,7.0717055e+02,5.3368892e-03
4.2623642e+05,4.5185492e+06,3.4373591e+03,1.8926741e+03,4.5289489e-04
4.2623039e+05,4.5185850e+06,3.4431315e+03,1.8762736e+03,4.6845919e-04
4.2623082e+05,4.5185673e+06,3.4248613e+03,1.8773616e+03,4.6349778e-04
4.2622860e+05,4.5185853e+06,3.4052235e+03,1.8628517e+03,4.7372407e-04
4.2625657e+05,4.5185948e+06,3.5186933e+03,1.9107561e+03,4.5149622e-04
4.2622686e+05,4.5185666e+06,3.4112559e+03,1.8697577e+03,4.7374493e-04
4.2649161e+05,4.5191829e+06,2.8787803e+03,6.8349831e+02,6.1244965e-03
4.2470200e+05,4.5217674e+06,3.7645084e+03,6.5718331e+02,4.6573623e-03
4.2623542e+05,4.5185189e+06,3.4680161e+03,1.8856075e+03,4.6955033e-04
4.2648948e+05,4.5192340e+06,2.8742043e+03,7.3638994e+02,5.7340978e-03
4.2623022e+05,4.5185427e+06,3.4372025e+03,1.8833631e+03,4.6273712e-04
4.2622805e+05,4.5185657e+06,3.4640032e+03,1.8826607e+03,4.6777613e-04
4.2622898e+05,4.5185688e+06,3.4264884e+03,1.8750010e+03,4.6639363e-04
4.2622384e+05,4.5185837e+06,3.3858929e+03,1.8546907e+03,4.7751078e-04
4.2624825e+05,4.5185729e+06,3.4954124e+03,1.9009219e+03,4.5725656e-04
4.2622423e+05,4.5185665e+06,3.4042309e+03,1.8669601e+03,4.7304934e-04
4.2648474e+05,4.5191675e+06,2.8918028e+03,7.1357409e+02,5.9794840e-03
4.2525402e+05,4.5209719e+06,3.4946760e+03,6.9607303e+02,4.9255960e-03
4.2621901e+05,4.5185221e+06,3.4896573e+03,1.8788940e+03,4.7986058e-04
4.2648882e+05,4.5192248e+06,2.8766424e+03,7.3322896e+02,5.7680944e-03
4.2622427e+05,4.5185485e+06,3.4128069e+03,1.8738164e+03,4.6559756e-04
4.2620856e+05,4.5185466e+06,3.4596132e+03,1.8748737e+03,4.7360841e-04
4.2621353e+05,4.5185409e+06,3.4214898e+03,1.8650663e+03,4.7493195e-04
4.2622627e+05,4.5185774e+06,3.4147292e+03,1.8660626e+03,4.7257792e-04
4.2623580e+05,4.5185649e+06,3.4640624e+03,1.8863198e+03,4.6419115e-04
4.2622330e+05,4.5185562e+06,3.4231862e+03,1.8722878e+03,4.7045421e-04
4.2648474e+05,4.5191675e+06,2.8918028e+03,7.1357409e+02,5.9794840e-03
4.2596145e+05,4.5199637e+06,3.1421023e+03,7.1512209e+02,5.4328095e-03
4.2621217e+05,4.5185320e+06,3.4774572e+03,1.8751179e+03,4.7923640e-04
4.2648882e+05,4.5192248e+06,2.8766424e+03,7.3322896e+02,5.7680944e-03
4.2622077e+05,4.5185450e+06,3.4086389e+03,1.8711897e+03,4.6721914e-04
4.2619935e+05,4.5185575e+06,3.4725492e+03,1.8737091e+03,4.7654265e-04
4.2621172e+05,4.5185325e+06,3.4119094e+03,1.8610434e+03,4.7872545e-04
4.2621651e+05,4.5185503e+06,3.4561830e+03,1.8730729e+03,4.7490726e-04
4.2622656e+05,4.5185603e+06,3.4523868e+03,1.8804964e+03,4.6710601e-04
4.2620856e+05,4.5185552e+06,3.4537231e+03,1.8723328e+03,4.7506004e-04
4.2648287e+05,4.5191413e+06,2.8987409e+03,7.0457900e+02,6.0762269e-03
4.2596145e+05,4.5199637e+06,3.1421023e+03,7.1512209e+02,5.4328095e-03
4.2621489e+05,4.5185254e+06,3.4737326e+03,1.8748853e+03,4.7918710e-04
4.2648462e+05,4.5191660e+06,2.8922174e+03,7.1303648e+02,5.9852660e-03
4.2621493e+05,4.5185388e+06,3.4480387e+03,1.8721318e+03,4.7531455e-04
4.2616523e+05,4.5185477e+06,3.5050556e+03,1.8639423e+03,4.9117630e-04
4.2620878e+05,4.5185274e+06,3.4183152e+03,1.8595105e+03,4.8172056e-04
4.2620750e+05,4.5185416e+06,3.4506120e+03,1.8644044e+03,4.8265285e-04
4.2622984e+05,4.5185653e+06,3.4697876e+03,1.8863513e+03,4.6394696e-04
4.2619546e+05,4.5185544e+06,3.4649834e+03,1.8690384e+03,4.7967147e-04
4.2648174e+05,4.5191256e+06,2.9029030e+03,6.9918303e+02,6.1342610e-03
4.2596145e+05,4.5199637e+06,3.1421023e+03,7.1512209e+02,5.4328095e-03
4.2620831e+05,4.5185271e+06,3.4538686e+03,1.8662032e+03,4.8276269e-04
4.2648326e+05,4.5191469e+06,2.8972669e+03,7.0649000e+02,6.0556739e-03
4.2618553e+05,4.5185350e+06,3.4569196e+03,1.8616968e+03,4.8608193e-04
4.2615650e+05,4.5185517e+06,3.4982683e+03,1.8592226e+03,4.9341253e-04
4.2619774e+05,4.5185322e+06,3.4232669e+03,1.8567881e+03,4.8441446e-04
4.2618785e+05,4.5185396e+06,3.4678461e+03,1.8589525e+03,4.9016736e-04
4.2621700e+05,4.5185448e+06,3.4523392e+03,1.8707923e+03,4.7657650e-04
4.2617771e+05,4.5185560e+06,3.4718691e+03,1.8669340e+03,4.8265582e-04
4.2648174e+05,4.5191256e+06,2.9029030e+03,6.9918303e+02,6.1342610e-03
4.2596145e+05,4.5199637e+06,3.1421023e+03,7.1512209e+02,5.4328095e-03
4.2618961e+05,4.5185281e+06,3.4717137e+03,1.8658307e+03,4.8612448e-04
4.2648304e+05,4.5191465e+06,2.8976899e+03,7.0731726e+02,6.0516814e-03
4.2616065e+05,4.5185308e+06,3.4599404e+03,1.8592768e+03,4.8867504e-04
4.2616582e+05,4.5185481e+06,3.4890767e+03,1.8581694e+03,4.9324410e-04
4.2618486e+05,4.5185333e+06,3.4425839e+03,1.8597449e+03,4.8512435e-04
4.2618313e+05,4.5185440e+06,3.4701577e+03,1.8624853e+03,4.8721960e-04
4.2618921e+05,4.5185393e+06,3.4586699e+03,1.8649264e+03,4.8303417e-04
4.2617257e+05,4.5185442e+06,3.4161057e+03,1.8538931e+03,4.8375720e-04
4.2648174e+05,4.5191256e+06,2.9029030e+03,6.9918303e+02,6.1342610e-03
4.2596145e+05,4.5199637e+06,3.1421023e+03,7.1512209e+02,5.4328095e-03
4.2619083e+05,4.5185426e+06,3.4943601e+03,1.8749043e+03,4.8150866e-04
4.2655870e+05,4.5190221e+06,2.8634051e+03,7.0410997e+02,6.1628685e-03
4.2615197e+05,4.5185291e+06,3.4637384e+03,1.8574977e+03,4.9111902e-04
4.2616372e+05,4.5185610e+06,3.5290447e+03,1.8499671e+03,5.0588309e-04
4.2618356e+05,4.5185256e+06,3.4277420e+03,1.8553361e+03,4.8672841e-04
4.2618535e+05,4.5185438e+06,3.4658150e+03,1.8591219e+03,4.8938054e-04
4.2619387e+05,4.5185378e+06,3.4456939e+03,1.8661368e+03,4.7931335e-04
4.2617166e+05,4.5185504e+06,3.4521207e+03,1.8507088e+03,4.9258225e-04
4.2648503e+05,4.5191198e+06,2.9014907e+03,6.9890695e+02,6.1405022e-03
4.2638492e+05,4.5192961e+06,2.9444980e+03,7.0731418e+02,5.9504423e-03
4.2618979e+05,4.5185414e+06,3.4722894e+03,1.8757397e+03,4.7674664e-04
4.2655870e+05,4.5190221e+06,2.8634051e+03,7.0410997e+02,6.1628685e-03
4.2615871e+05,4.5185437e+06,3.4803938e+03,1.8494141e+03,4.9941728e-04
4.2616780e+05,4.5185561e+06,3.4902295e+03,1.8400575e+03,5.0801439e-04
4.2618283e+05,4.5185289e+06,3.4287110e+03,1.8530002e+03,4.8864878e-04
4.2615648e+05,4.5185493e+06,3.4145150e+03,1.8284473e+03,5.0553380e-04
4.2620466e+05,4.5185387e+06,3.4698893e+03,1.8631190e+03,4.8669233e-04
4.2615916e+05,4.5185612e+06,3.4312646e+03,1.8346887e+03,5.0058360e-04
4.2649261e+05,4.5191058e+06,2.8983689e+03,6.9803607e+02,6.1573056e-03
4.2641031e+05,4.5192512e+06,2.9336240e+03,7.0512707e+02,5.9992058e-03
4.2616848e+05,4.5185463e+06,3.4895588e+03,1.8792933e+03,4.7729480e-04
4.2654691e+05,4.5190370e+06,2.8696463e+03,7.0302575e+02,6.1618755e-03
4.2615095e+05,4.5185290e+06,3.4700781e+03,1.8560349e+03,4.9340183e-04
4.2616287e+05,4.5185597e+06,3.4982165e+03,1.8361878e+03,5.1236620e-04
4.2616757e+05,4.5185289e+06,3.4485143e+03,1.8544530e+03,4.9092416e-04
4.2616176e+05,4.5185452e+06,3.4385524e+03,1.8359346e+03,5.0348857e-04
4.2619215e+05,4.5185424e+06,3.4606697e+03,1.8594149e+03,4.8761472e-04
4.2615967e+05,4.5185621e+06,3.4447918e+03,1.8340241e+03,5.0364603e-04
4.2651178e+05,4.5190720e+06,2.8901565e+03,6.9638429e+02,6.1941335e-03
4.2641031e+05,4.5192512e+06,2.9336240e+03,7.0512707e+02,5.9992058e-03
4.2616418e+05,4.5185547e+06,3.4724776e+03,1.8550366e+03,4.9275683e-04
4.2654691e+05,4.5190370e+06,2.8696463e+03,7.0302575e+02,6.1618755e-03
4.2614371e+05,4.5185305e+06,3.4722333e+03,1.8508005e+03,4.9794601e-04
4.2616038e+05,4.5185594e+06,3.5024525e+03,1.8310190e+03,5.1741782e-04
4.2616522e+05,4.5185285e+06,3.4502644e+03,1.8537679e+03,4.9181089e-04
4.2616587e+05,4.5185448e+06,3.4449462e+03,1.8448776e+03,4.9786755e-04
4.2618324e+05,4.5185517e+06,3.4325789e+03,1.8348877e+03,5.0105005e-04
4.2615819e+05,4.5185651e+06,3.4345711e+03,1.8263157e+03,5.0755796e-04
4.2651178e+05,4.5190720e+06,2.8901565e+03,6.9638429e+02,6.1941335e-03
4.2641607e+05,4.5192410e+06,2.9311540e+03,7.0463026e+02,6.0102826e-03
4.2617408e+05,4.5185577e+06,3.4601208e+03,1.8460252e+03,4.9655597e-04
4.2654691e+05,4.5190370e+06,2.8696463e+03,7.0302575e+02,6.1618755e-03
4.2613489e+05,4.5185160e+06,3.4886460e+03,1.8558047e+03,4.9700767e-04
4.2615689e+05,4.5185581e+06,3.5089816e+03,1.8224901e+03,5.2620586e-04
4.2615985e+05,4.5185266e+06,3.4793164e+03,1.8527297e+03,4.9831013e-04
4.2614816e+05,4.5185340e+06,3.4624741e+03,1.8534998e+03,4.9571622e-04
4.2617780e+05,4.5185512e+06,3.4377796e+03,1.8353225e+03,5.0179949e-04
4.2616015e+05,4.5185658e+06,3.4293550e+03,1.8263997e+03,5.0649518e-04
4.2651141e+05,4.5190723e+06,2.8903700e+03,6.9631516e+02,6.1944692e-03
4.2647559e+05,4.5191482e+06,2.9031754e+03,7.0390040e+02,6.0792392e-03
4.2617036e+05,4.5185717e+06,3.4479554e+03,1.8381535e+03,4.9932927e-04
4.2652370e+05,4.5190601e+06,2.8831942e+03,6.9863877e+02,6.1831833e-03
4.2615219e+05,4.5185213e+06,3.4710275e+03,1.8530151e+03,4.9559256e-04
4.2619266e+05,4.5185875e+06,3.4726234e+03,1.8053396e+03,5.3165541e-04
4.2616107e+05,4.5185376e+06,3.4707751e+03,1.8439378e+03,5.0250635e-04
4.2615027e+05,4.5185350e+06,3.4449261e+03,1.8543892e+03,4.9116310e-04
4.2618270e+05,4.5185447e+06,3.4381049e+03,1.8397931e+03,4.9868191e-04
4.2615822e+05,4.5185639e+06,3.4269073e+03,1.8245233e+03,5.0785378e-04
4.2651141e+05,4.5190723e+06,2.8903700e+03,6.9631516e+02,6.1944692e-03
4.2647559e+05,4.5191482e+06,2.9031754e+03,7.0390040e+02,6.0792392e-03
4.2617749e+05,4.5185736e+06,3.4627841e+03,1.8424966e+03,4.9839980e-04
4.2652208e+05,4.5190617e+06,2.8841444e+03,6.9833108e+02,6.1846778e-03
4.2616926e+05,4.5185433e+06,3.4816130e+03,1.8485267e+03,5.0020073e-04
4.2617909e+05,4.5185605e+06,3.4791436e+03,1.8271308e+03,5.1655364e-04
4.2616411e+05,4.5185529e+06,3.4562105e+03,1.8258522e+03,5.1388658e-04
4.2616768e+05,4.5185628e+06,3.4451076e+03,1.8374691e+03,5.0373413e-04
4.2618270e+05,4.5185447e+06,3.4381049e+03,1.8397931e+03,4.9868191e-04
4.2617497e+05,4.5185617e+06,3.4486610e+03,1.8419440e+03,4.9668250e-04
4.2651141e+05,4.5190723e+06,2.8903700e+03,6.9631516e+02,6.1944692e-03
4.2648798e+05,4.5191220e+06,2.8987470e+03,7.0127726e+02,6.1190882e-03
4.2618037e+05,4.5185701e+06,3.4669306e+03,1.8457242e+03,4.9563232e-04
4.2652208e+05,4.5190617e+06,2.8841444e+03,6.9833108e+02,6.1846778e-03
4.2616811e+05,4.5185293e+06,3.4782090e+03,1.8533215e+03,4.9795345e-04
4.2617161e+05,4.5185472e+06,3.4704208e+03,1.8193012e+03,5.2394319e-04
4.2615470e+05,4.5185570e+06,3.4655467e+03,1.8188946e+03,5.2153620e-04
4.2616807e+05,4.5185628e+06,3.4457465e+03,1.8375656e+03,5.0400650e-04
4.2618934e+05,4.5185386e+06,3.4547779e+03,1.8310815e+03,5.1030161e-04
4.2617755e+05,4.5185402e+06,3.4732373e+03,1.8161672e+03,5.2818595e-04
4.2651266e+05,4.5190697e+06,2.8899245e+03,6.9605128e+02,6.1984779e-03
4.2649413e+05,4.5191089e+06,2.8965457e+03,6.9997336e+02,6.1388962e-03
4.2617664e+05,4.5185581e+06,3.4652238e+03,1.8299304e+03,5.1267107e-04
4.2652885e+05,4.5190503e+06,2.8811367e+03,6.9793279e+02,6.1957810e-03
4.2616962e+05,4.5185253e+06,3.4807124e+03,1.8568984e+03,4.9579782e-04
4.2619258e+05,4.5185017e+06,3.5440857e+03,1.7012751e+03,6.5375912e-04
4.2615470e+05,4.5185570e+06,3.4655467e+03,1.8188946e+03,5.2153620e-04
4.2616804e+05,4.5185646e+06,3.4439536e+03,1.8367000e+03,5.0435036e-04
4.2618476e+05,4.5185495e+06,3.4475641e+03,1.8027329e+03,5.3127757e-04
4.2618590e+05,4.5185349e+06,3.4740848e+03,1.8134988e+03,5.3139625e-04
4.2650034e+05,4.5190845e+06,2.8966117e+03,6.9461951e+02,6.2005301e-03
4.2650200e+05,4.5190908e+06,2.8940236e+03,6.9779827e+02,6.1694509e-03
4.2616778e+05,4.5185672e+06,3.4614274e+03,1.8192424e+03,5.1999076e-04
4.2652659e+05,4.5190466e+06,2.8856119e+03,7.0468373e+02,6.1584979e-03
4.2616627e+05,4.5185367e+06,3.4671404e+03,1.8336380e+03,5.1217700e-04
4.2619356e+05,4.5184938e+06,3.5549580e+03,1.6875526e+03,6.6968584e-04
4.2616373e+05,4.5185264e+06,3.5044453e+03,1.7517596e+03,5.9447093e-04
4.2617218e+05,4.5185533e+06,3.4529624e+03,1.8168846e+03,5.2276278e-04
4.2616800e+05,4.5185427e+06,3.4682644e+03,1.7999738e+03,5.4029607e-04
4.2618440e+05,4.5185407e+06,3.4815726e+03,1.7892973e+03,5.5380857e-04
4.2649940e+05,4.5190808e+06,2.8980782e+03,6.9281840e+02,6.2181398e-03
4.2650200e+05,4.5190908e+06,2.8940236e+03,6.9779827e+02,6.1694509e-03
4.2616437e+05,4.5185366e+06,3.4910467e+03,1.7941827e+03,5.5230675e-04
4.2652114e+05,4.5190534e+06,2.8881109e+03,7.0230519e+02,6.1704538e-03
4.2617813e+05,4.5185321e+06,3.4728039e+03,1.8378574e+03,5.0999878e-04
4.2617624e+05,4.5185114e+06,3.5291100e+03,1.7141627e+03,6.3649135e-04
4.2616576e+05,4.5185214e+06,3.5119934e+03,1.7353067e+03,6.1165839e-04
4.2617199e+05,4.5185472e+06,3.4628271e+03,1.8051834e+03,5.3564729e-04
4.2617585e+05,4.5185299e+06,3.4846509e+03,1.7549030e+03,5.8537044e-04
4.2618239e+05,4.5185423e+06,3.4756586e+03,1.7913615e+03,5.4995912e-04
4.2649940e+05,4.5190808e+06,2.8980782e+03,6.9281840e+02,6.2181398e-03
4.2650093e+05,4.5190867e+06,2.8956928e+03,6.9574815e+02,6.1894953e-03
4.2615582e+05,4.5185314e+06,3.5096178e+03,1.7837563e+03,5.6424780e-04
4.2652114e+05,4.5190534e+06,2.8881109e+03,7.0230519e+02,6.1704538e-03
4.2617153e+05,4.5184924e+06,3.5393199e+03,1.7082988e+03,6.4804772e-04
4.2617624e+05,4.5185114e+06,3.5291100e+03,1.7141627e+03,6.3649135e-04
4.2615440e+05,4.5185072e+06,3.5382292e+03,1.6997932e+03,6.5148627e-04
4.2616481e+05,4.5185447e+06,3.4627634e+03,1.7710936e+03,5.6618448e-04
4.2617277e+05,4.5185197e+06,3.4963952e+03,1.7232207e+03,6.1730946e-04
4.2617315e+05,4.5185239e+06,3.4902048e+03,1.7525111e+03,5.9030424e-04
4.2649679e+05,4.5190820e+06,2.8997203e+03,6.9107976e+02,6.2305870e-03
4.2650214e+05,4.5190847e+06,2.8952369e+03,6.9614244e+02,6.1883502e-03
4.2615494e+05,4.5185265e+06,3.5166039e+03,1.7709973e+03,5.7825325e-04
4.2651551e+05,4.5190627e+06,2.8902205e+03,7.0048073e+02,6.1757520e-03
4.2616349e+05,4.5185107e+06,3.5154055e+03,1.7250415e+03,6.2398420e-04
4.2618020e+05,4.5185062e+06,3.5496641e+03,1.7008038e+03,6.5329136e-04
4.2615326e+05,4.5185123e+06,3.5250835e+03,1.7167183e+03,6.3263461e-04
4.2617437e+05,4.5185492e+06,3.4406324e+03,1.7549360e+03,5.7449344e-04
4.2617320e+05,4.5185183e+06,3.4982038e+03,1.7206462e+03,6.2005882e-04
4.2616930e+05,4.5185215e+06,3.4997257e+03,1.7576299e+03,5.8780961e-04
4.2649679e+05,4.5190820e+06,2.8997203e+03,6.9107976e+02,6.2305870e-03
4.2650164e+05,4.5190820e+06,2.8961971e+03,6.9494273e+02,6.2004140e-03
4.2615981e+05,4.5185427e+06,3.4884751e+03,1.7932970e+03,5.4875251e-04
4.2651551e+05,4.5190627e+06,2.8902205e+03,7.0048073e+02,6.1757520e-03
4.2616042e+05,4.5185023e+06,3.5245107e+03,1.6972810e+03,6.5375495e-04
4.2618508e+05,4.5185028e+06,3.5594129e+03,1.6962955e+03,6.5970285e-04
4.2615848e+05,4.5185175e+06,3.5160827e+03,1.7174115e+03,6.3026630e-04
4.2617170e+05,4.5185383e+06,3.4607764e+03,1.7454260e+03,5.8928554e-04
4.2617401e+05,4.5185177e+06,3.4978857e+03,1.7129151e+03,6.2680023e-04
4.2617466e+05,4.5185217e+06,3.4854341e+03,1.7561832e+03,5.8636632e-04
4.2647793e+05,4.5190645e+06,2.9250321e+03,7.1649580e+02,6.1061930e-03
4.2650164e+05,4.5190820e+06,2.8961971e+03,6.9494273e+02,6.2004140e-03
4.2616431e+05,4.5185368e+06,3.4888976e+03,1.7860316e+03,5.5614341e-04
4.2651551e+05,4.5190627e+06,2.8902205e+03,7.0048073e+02,6.1757520e-03
4.2616390e+05,4.5185166e+06,3.4999185e+03,1.7119541e+03,6.3246540e-04
4.2618590e+05,4.5185154e+06,3.5307029e+03,1.7007712e+03,6.4796718e-04
4.2614220e+05,4.5185088e+06,3.5369803e+03,1.6916634e+03,6.6303162e-04
4.2617087e+05,4.5185420e+06,3.4537508e+03,1.7339163e+03,5.9802882e-04
4.2617376e+05,4.5185214e+06,3.4939212e+03,1.7278887e+03,6.1151842e-04
4.2616994e+05,4.5185219e+06,3.4913622e+03,1.7511855e+03,5.9254848e-04
4.2644040e+05,4.5190663e+06,2.9597973e+03,7.3248959e+02,6.0367265e-03
4.2650164e+05,4.5190820e+06,2.8961971e+03,6.9494273e+02,6.2004140e-03
4.2617093e+05,4.5185314e+06,3.4993963e+03,1.7629841e+03,5.8128561e-04
4.2651551e+05,4.5190627e+06,2.8902205e+03,7.0048073e+02,6.1757520e-03
4.2616308e+05,4.5185159e+06,3.5010811e+03,1.7066232e+03,6.3788941e-04
4.2617802e+05,4.5185036e+06,3.5718522e+03,1.6610632e+03,7.0031372e-04
4.2614836e+05,4.5185113e+06,3.5266079e+03,1.7002615e+03,6.5170029e-04
4.2617325e+05,4.5185315e+06,3.4802811e+03,1.6952913e+03,6.4154058e-04
