xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,radius,radius_1D_PPD,dP_mu,dP_mu_1D_PPD
4.22727e+05,2.89017e-04,4.51875e+06,9.23266e-01,2.96049e+03,1.14162e-02,6.35785e+02,2.89017e-04,8.28515e-04,5.57803e-02
4.22929e+05,0.00000e+00,4.51907e+06,7.22543e-03,3.05757e+03,2.02312e-03,7.12832e+02,1.62572e-01,1.31119e-03,7.28324e-02
4.23131e+05,0.00000e+00,4.51940e+06,6.73410e-02,3.15465e+03,1.09827e-02,7.89879e+02,2.95520e-01,1.79387e-03,3.26590e-02
4.23332e+05,0.00000e+00,4.51973e+06,0.00000e+00,3.25173e+03,4.01734e-02,8.66926e+02,1.39306e-01,2.27655e-03,2.32659e-02
4.23534e+05,0.00000e+00,4.52006e+06,7.22543e-04,3.34881e+03,9.97110e-03,9.43973e+02,6.50289e-02,2.75923e-03,5.96821e-02
4.23736e+05,0.00000e+00,4.52039e+06,7.22543e-04,3.44589e+03,6.21387e-03,1.02102e+03,4.21965e-02,3.24191e-03,5.69364e-02
4.23937e+05,0.00000e+00,4.52072e+06,0.00000e+00,3.54297e+03,2.70231e-02,1.09807e+03,9.97110e-02,3.72459e-03,2.36994e-02
4.24139e+05,0.00000e+00,4.52104e+06,1.44509e-04,3.64005e+03,5.50578e-02,1.17511e+03,2.12428e-02,4.20727e-03,2.78902e-02
4.24341e+05,0.00000e+00,4.52137e+06,0.00000e+00,3.73713e+03,7.09538e-02,1.25216e+03,1.90751e-02,4.68995e-03,2.50000e-02
4.24542e+05,0.00000e+00,4.52170e+06,0.00000e+00,3.83421e+03,2.48266e-01,1.32921e+03,2.09538e-02,5.17263e-03,2.63006e-02
4.24744e+05,2.89017e-04,4.52203e+06,2.89017e-04,3.93129e+03,5.17341e-01,1.40626e+03,1.28613e-02,5.65531e-03,6.84971e-02
4.24946e+05,0.00000e+00,4.52236e+06,0.00000e+00,4.02837e+03,2.89017e-04,1.48330e+03,4.56647e-02,6.13799e-03,6.05491e-02
4.25147e+05,0.00000e+00,4.52269e+06,0.00000e+00,4.12545e+03,0.00000e+00,1.56035e+03,1.64740e-02,6.62067e-03,6.96532e-02
4.25349e+05,1.44509e-04,4.52301e+06,0.00000e+00,4.22254e+03,0.00000e+00,1.63740e+03,1.67630e-02,7.10335e-03,2.89017e-02
4.25550e+05,0.00000e+00,4.52334e+06,0.00000e+00,4.31962e+03,0.00000e+00,1.71444e+03,1.58960e-02,7.58603e-03,2.63006e-02
4.25752e+05,1.44509e-04,4.52367e+06,0.00000e+00,4.41670e+03,0.00000e+00,1.79149e+03,7.08092e-03,8.06871e-03,3.55491e-02
4.25954e+05,4.33526e-04,4.52400e+06,0.00000e+00,4.51378e+03,0.00000e+00,1.86854e+03,1.28613e-02,8.55139e-03,4.73988e-02
4.26155e+05,4.50867e-02,4.52433e+06,0.00000e+00,4.61086e+03,0.00000e+00,1.94558e+03,5.63584e-03,9.03407e-03,6.31503e-02
4.26357e+05,9.40607e-01,4.52466e+06,0.00000e+00,4.70794e+03,0.00000e+00,2.02263e+03,4.33526e-04,9.51675e-03,8.42486e-02
4.26559e+05,1.30058e-02,4.52498e+06,2.89017e-04,4.80502e+03,2.89017e-04,2.09968e+03,4.33526e-04,9.99943e-03,1.11705e-01
