xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,radius,radius_1D_PPD,dP_mu,dP_mu_1D_PPD
4.22502e+05,4.95000e-03,4.51550e+06,1.09500e-02,2.25005e+03,6.65000e-03,6.74385e+02,3.01500e-02,5.95315e-04,3.77500e-02
4.23002e+05,6.40000e-03,4.51600e+06,1.21500e-02,2.50004e+03,7.95000e-03,8.48742e+02,6.98000e-02,1.09007e-03,4.47500e-02
4.23501e+05,7.70000e-03,4.51650e+06,1.62000e-02,2.75004e+03,7.80000e-03,1.02310e+03,2.53200e-01,1.58482e-03,4.37000e-02
4.24001e+05,9.25000e-03,4.51700e+06,1.81500e-02,3.00003e+03,1.00000e-02,1.19746e+03,3.35600e-01,2.07957e-03,5.99000e-02
4.24501e+05,1.18000e-02,4.51750e+06,2.79500e-02,3.25002e+03,1.31500e-02,1.37181e+03,1.34850e-01,2.57433e-03,1.65300e-01
4.25000e+05,1.84000e-02,4.51800e+06,5.07500e-02,3.50001e+03,1.91000e-02,1.54617e+03,4.44500e-02,3.06908e-03,1.48000e-01
4.25500e+05,3.52000e-02,4.51850e+06,1.65400e-01,3.75001e+03,6.37500e-02,1.72053e+03,3.50500e-02,3.56383e-03,9.98500e-02
4.25999e+05,9.35500e-02,4.51900e+06,5.91350e-01,4.00000e+03,3.71350e-01,1.89488e+03,2.67000e-02,4.05859e-03,3.29500e-02
4.26499e+05,6.46200e-01,4.51950e+06,3.92000e-02,4.24999e+03,1.54400e-01,2.06924e+03,1.93500e-02,4.55334e-03,8.97000e-02
4.26999e+05,7.68000e-02,4.52000e+06,1.45500e-02,4.49999e+03,7.40000e-02,2.24360e+03,1.02500e-02,5.04809e-03,8.59000e-02
4.27498e+05,2.44500e-02,4.52050e+06,1.03000e-02,4.74998e+03,4.65000e-02,2.41796e+03,7.90000e-03,5.54284e-03,4.33000e-02
4.27998e+05,1.34500e-02,4.52100e+06,6.75000e-03,4.99997e+03,3.55000e-02,2.59231e+03,6.25000e-03,6.03760e-03,1.83500e-02
4.28498e+05,9.30000e-03,4.52150e+06,5.45000e-03,5.24996e+03,2.88500e-02,2.76667e+03,5.35000e-03,6.53235e-03,2.35500e-02
4.28997e+05,9.40000e-03,4.52200e+06,4.75000e-03,5.49996e+03,2.77500e-02,2.94103e+03,3.65000e-03,7.02710e-03,2.17000e-02
4.29497e+05,5.90000e-03,4.52250e+06,4.45000e-03,5.74995e+03,3.06000e-02,3.11538e+03,3.10000e-03,7.52186e-03,1.79500e-02
4.29997e+05,5.70000e-03,4.52300e+06,3.80000e-03,5.99994e+03,2.78500e-02,3.28974e+03,3.00000e-03,8.01661e-03,1.72500e-02
4.30496e+05,6.20000e-03,4.52350e+06,3.90000e-03,6.24994e+03,2.53000e-02,3.46410e+03,3.40000e-03,8.51136e-03,1.78000e-02
4.30996e+05,5.80000e-03,4.52400e+06,4.50000e-03,6.49993e+03,1.86000e-02,3.63845e+03,2.85000e-03,9.00612e-03,1.20500e-02
4.31496e+05,5.05000e-03,4.52450e+06,4.35000e-03,6.74992e+03,1.62000e-02,3.81281e+03,2.10000e-03,9.50087e-03,8.65000e-03
4.31995e+05,4.50000e-03,4.52500e+06,5.10000e-03,6.99991e+03,1.47000e-02,3.98717e+03,3.00000e-03,9.99562e-03,1.16000e-02
