func,iter,xcen,ycen,depth,radius,dP_mu
2.013314e+01,18,4.2622116e+05,4.5186537e+06,3.9483756e+03,9.1160869e+02,5.0377135e-03
2.013601e+01,19,4.2623453e+05,4.5186330e+06,3.9590356e+03,9.1086243e+02,5.0754298e-03
2.013971e+01,18,4.2623251e+05,4.5186603e+06,3.9356789e+03,9.1317530e+02,4.9650519e-03
2.015074e+01,19,4.2624228e+05,4.5186381e+06,3.9350408e+03,9.1841914e+02,4.9315760e-03
2.015764e+01,19,4.2623968e+05,4.5186388e+06,3.9468921e+03,9.0932888e+02,5.0368953e-03
2.015910e+01,18,4.2624288e+05,4.5186406e+06,3.9723804e+03,8.4842441e+02,6.2076222e-03
2.016357e+01,13,4.2624609e+05,4.5186722e+06,3.9924465e+03,8.5011864e+02,6.2995785e-03
2.016725e+01,19,4.2622838e+05,4.5186465e+06,3.9237367e+03,9.7014713e+02,4.1593855e-03
2.016824e+01,19,4.2622914e+05,4.5186370e+06,3.9375550e+03,9.2539527e+02,4.7681325e-03
2.017031e+01,18,4.2623898e+05,4.5186619e+06,3.9355190e+03,9.1268760e+02,5.0462136e-03
2.017514e+01,19,4.2623825e+05,4.5186280e+06,3.9500798e+03,9.1637097e+02,4.9432601e-03
2.017544e+01,19,4.2625797e+05,4.5186529e+06,3.9525138e+03,9.1534998e+02,5.0089767e-03
2.017596e+01,19,4.2623789e+05,4.5186499e+06,3.8865186e+03,8.9693925e+02,5.1504544e-03
2.017773e+01,19,4.2623166e+05,4.5186773e+06,3.9180051e+03,9.0460900e+02,5.0964040e-03
2.017834e+01,19,4.2622678e+05,4.5186333e+06,3.9231398e+03,9.1290028e+02,4.9426395e-03
2.017965e+01,19,4.2623660e+05,4.5186680e+06,3.8883272e+03,9.2529860e+02,4.7302090e-03
2.018240e+01,19,4.2625450e+05,4.5186643e+06,3.9133706e+03,9.2239131e+02,4.8214697e-03
2.018310e+01,17,4.2622246e+05,4.5186391e+06,3.9007729e+03,9.2164682e+02,4.8063641e-03
2.018328e+01,18,4.2622852e+05,4.5186649e+06,3.9283023e+03,9.2118699e+02,4.8920036e-03
2.018549e+01,19,4.2624805e+05,4.5186703e+06,3.8919966e+03,9.0367142e+02,5.0532189e-03
2.018926e+01,19,4.2623255e+05,4.5186419e+06,3.8948679e+03,9.6462378e+02,4.1843220e-03
2.019002e+01,19,4.2623017e+05,4.5186580e+06,3.9065774e+03,9.1619206e+02,4.9415012e-03
2.019174e+01,19,4.2624384e+05,4.5186397e+06,3.9264708e+03,9.7338062e+02,4.1107398e-03
2.019186e+01,19,4.2621964e+05,4.5186708e+06,3.9268415e+03,9.2164369e+02,4.8531254e-03
2.019202e+01,17,4.2622026e+05,4.5186379e+06,3.9140017e+03,9.6477558e+02,4.2050597e-03
2.019341e+01,18,4.2622935e+05,4.5186571e+06,3.8738810e+03,9.3066133e+02,4.6149029e-03
2.019347e+01,19,4.2622865e+05,4.5186651e+06,3.8802631e+03,9.2862041e+02,4.6711570e-03
2.019465e+01,19,4.2626264e+05,4.5186588e+06,3.9175114e+03,9.0271032e+02,5.1496661e-03
2.019532e+01,18,4.2623999e+05,4.5186775e+06,3.9301039e+03,9.1649309e+02,4.9405854e-03
2.019577e+01,17,4.2623492e+05,4.5186737e+06,3.8978545e+03,9.2428043e+02,4.7732673e-03
2.020022e+01,19,4.2621367e+05,4.5186513e+06,3.8979740e+03,9.2173355e+02,4.7592694e-03
2.020064e+01,19,4.2622305e+05,4.5186514e+06,3.8755359e+03,9.1366645e+02,4.8801321e-03
2.020206e+01,19,4.2622705e+05,4.5186745e+06,3.9148972e+03,9.1989966e+02,4.8744906e-03
2.020665e+01,19,4.2623349e+05,4.5186352e+06,3.9109352e+03,9.1175959e+02,5.0185383e-03
