xcen,ycen,depth,dP_mu
4.2618753e+05,4.5186168e+06,3.9328848e+03,3.4165977e-03
4.2616284e+05,4.5185789e+06,3.9642256e+03,3.4588528e-03
4.2624382e+05,4.5186068e+06,3.8804926e+03,3.3967098e-03
4.2619272e+05,4.5185486e+06,3.9716539e+03,3.4653535e-03
4.2618503e+05,4.5185995e+06,3.9489462e+03,3.4391667e-03
4.2619203e+05,4.5185884e+06,4.0139677e+03,3.5571993e-03
4.2619725e+05,4.5185956e+06,3.9120312e+03,3.4132044e-03
4.2618269e+05,4.5185496e+06,4.0087883e+03,3.5346022e-03
4.2618471e+05,4.5186063e+06,3.9287925e+03,3.4058472e-03
4.2616699e+05,4.5185748e+06,3.9498323e+03,3.4488454e-03
4.2621425e+05,4.5186109e+06,3.8852156e+03,3.3791061e-03
4.2618691e+05,4.5185613e+06,3.9396489e+03,3.4252573e-03
4.2618474e+05,4.5186109e+06,3.9314482e+03,3.4097237e-03
4.2618339e+05,4.5185786e+06,3.9705477e+03,3.4970235e-03
4.2618962e+05,4.5185651e+06,3.8908596e+03,3.4118261e-03
4.2618139e+05,4.5185474e+06,4.0035379e+03,3.5239631e-03
4.2618766e+05,4.5185927e+06,3.9373214e+03,3.4221800e-03
4.2618702e+05,4.5185659e+06,3.8665553e+03,3.3716566e-03
4.2621740e+05,4.5186126e+06,3.8755656e+03,3.3710418e-03
4.2618462e+05,4.5185753e+06,3.9339932e+03,3.4301751e-03
4.2619452e+05,4.5185863e+06,3.9337039e+03,3.4290992e-03
4.2618191e+05,4.5185829e+06,3.9507291e+03,3.4603490e-03
4.2619544e+05,4.5185586e+06,3.8105110e+03,3.3257153e-03
4.2620825e+05,4.5185737e+06,3.9342052e+03,3.4525380e-03
4.2617366e+05,4.5185633e+06,3.8606236e+03,3.3686351e-03
4.2618308e+05,4.5185558e+06,3.8373589e+03,3.3502835e-03
4.2621935e+05,4.5185910e+06,3.8366258e+03,3.3523420e-03
4.2618052e+05,4.5185584e+06,3.8585110e+03,3.3669628e-03
4.2619934e+05,4.5185755e+06,3.8823768e+03,3.3891152e-03
4.2617666e+05,4.5185661e+06,3.8788567e+03,3.3960321e-03
4.2620227e+05,4.5185565e+06,3.7805878e+03,3.2996212e-03
4.2619484e+05,4.5185741e+06,3.9297454e+03,3.4395530e-03
4.2617883e+05,4.5185670e+06,3.8339438e+03,3.3431488e-03
4.2619214e+05,4.5185490e+06,3.8375606e+03,3.3561186e-03
4.2622141e+05,4.5185969e+06,3.8513295e+03,3.3673928e-03
4.2618810e+05,4.5185624e+06,3.8532609e+03,3.3644396e-03
4.2621180e+05,4.5185827e+06,3.8446471e+03,3.3649267e-03
4.2617712e+05,4.5185692e+06,3.8785851e+03,3.3979819e-03
4.2619930e+05,4.5185635e+06,3.8119077e+03,3.3290250e-03
4.2618933e+05,4.5185663e+06,3.8834046e+03,3.3937580e-03
4.2618693e+05,4.5185690e+06,3.8279612e+03,3.3359719e-03
4.2619199e+05,4.5185479e+06,3.8591568e+03,3.3780272e-03
4.2621230e+05,4.5185827e+06,3.8528046e+03,3.3694827e-03
4.2620152e+05,4.5185636e+06,3.8209271e+03,3.3372984e-03
4.2621829e+05,4.5185743e+06,3.8215210e+03,3.3363533e-03
4.2618920e+05,4.5185848e+06,3.8685877e+03,3.3867387e-03
4.2619382e+05,4.5185739e+06,3.8053817e+03,3.3168579e-03
4.2619665e+05,4.5185563e+06,3.8619891e+03,3.3784502e-03
4.2617641e+05,4.5185771e+06,3.8483385e+03,3.3503056e-03
4.2619579e+05,4.5185490e+06,3.8464718e+03,3.3666532e-03
4.2620171e+05,4.5185803e+06,3.8538086e+03,3.3687906e-03
4.2619519e+05,4.5185886e+06,3.8057035e+03,3.3079108e-03
4.2620032e+05,4.5185735e+06,3.8396644e+03,3.3500856e-03
4.2619040e+05,4.5185825e+06,3.8554382e+03,3.3698270e-03
4.2619324e+05,4.5185525e+06,3.8140220e+03,3.3395680e-03
4.2620532e+05,4.5185673e+06,3.8511491e+03,3.3652071e-03
4.2617451e+05,4.5185834e+06,3.8435612e+03,3.3497562e-03
4.2618350e+05,4.5185615e+06,3.8389050e+03,3.3545151e-03
4.2618836e+05,4.5185756e+06,3.8400670e+03,3.3520462e-03
4.2619286e+05,4.5186041e+06,3.8173567e+03,3.3218837e-03
4.2620885e+05,4.5185882e+06,3.8511013e+03,3.3542462e-03
4.2618672e+05,4.5185831e+06,3.8454991e+03,3.3604023e-03
4.2617004e+05,4.5185750e+06,3.8124737e+03,3.3229505e-03
4.2619951e+05,4.5185760e+06,3.8403945e+03,3.3523541e-03
4.2618327e+05,4.5185890e+06,3.8454251e+03,3.3572237e-03
4.2618593e+05,4.5185697e+06,3.8362055e+03,3.3482547e-03
4.2619244e+05,4.5186051e+06,3.8315545e+03,3.3247530e-03
4.2619865e+05,4.5186092e+06,3.7974018e+03,3.2983645e-03
4.2620757e+05,4.5185807e+06,3.8525490e+03,3.3605845e-03
4.2618153e+05,4.5185997e+06,3.8136420e+03,3.3212132e-03
4.2618062e+05,4.5185793e+06,3.8213903e+03,3.3300144e-03
4.2619221e+05,4.5185894e+06,3.8478509e+03,3.3623303e-03
4.2619346e+05,4.5185977e+06,3.8403852e+03,3.3482960e-03
4.2617469e+05,4.5185787e+06,3.8296154e+03,3.3481184e-03
4.2618363e+05,4.5185925e+06,3.8171642e+03,3.3147530e-03
4.2619607e+05,4.5186062e+06,3.8075289e+03,3.3114918e-03
4.2617816e+05,4.5185760e+06,3.8257825e+03,3.3428118e-03
4.2615577e+05,4.5185859e+06,3.7888457e+03,3.3152872e-03
4.2617841e+05,4.5185781e+06,3.8043947e+03,3.3025065e-03
4.2619367e+05,4.5185988e+06,3.8452049e+03,3.3562320e-03
4.2619793e+05,4.5185994e+06,3.8508978e+03,3.3569557e-03
4.2618842e+05,4.5185827e+06,3.8398592e+03,3.3534607e-03
4.2619167e+05,4.5185931e+06,3.8259262e+03,3.3183561e-03
4.2619765e+05,4.5186096e+06,3.7971973e+03,3.2962335e-03
4.2620669e+05,4.5185937e+06,3.8081337e+03,3.3092129e-03
4.2615906e+05,4.5185989e+06,3.7923548e+03,3.3233967e-03
4.2617163e+05,4.5185863e+06,3.7988536e+03,3.3117248e-03
4.2619550e+05,4.5185918e+06,3.8555517e+03,3.3747903e-03
4.2618334e+05,4.5185946e+06,3.8170663e+03,3.3268782e-03
4.2617022e+05,4.5185812e+06,3.8438947e+03,3.3702660e-03
4.2617203e+05,4.5185845e+06,3.8179892e+03,3.3085565e-03
4.2618690e+05,4.5186084e+06,3.7972032e+03,3.3087765e-03
4.2619786e+05,4.5185930e+06,3.8127602e+03,3.3194685e-03
4.2617894e+05,4.5185955e+06,3.7937806e+03,3.3081303e-03
4.2615040e+05,4.5185801e+06,3.8142362e+03,3.3558428e-03
4.2619684e+05,4.5185879e+06,3.8638083e+03,3.3928385e-03
4.2618095e+05,4.5186026e+06,3.7869408e+03,3.2921952e-03
4.2617402e+05,4.5185888e+06,3.8245771e+03,3.3440984e-03
4.2617944e+05,4.5185934e+06,3.8210800e+03,3.3328059e-03
4.2618366e+05,4.5185985e+06,3.8258035e+03,3.3496713e-03
4.2619126e+05,4.5185976e+06,3.7899175e+03,3.3001569e-03
4.2618594e+05,4.5186011e+06,3.7473577e+03,3.2611555e-03
4.2616999e+05,4.5185864e+06,3.8190184e+03,3.3477684e-03
4.2617946e+05,4.5185816e+06,3.8489965e+03,3.3880498e-03
4.2618476e+05,4.5185927e+06,3.8239768e+03,3.3404268e-03
4.2617920e+05,4.5185949e+06,3.8028296e+03,3.3139212e-03
4.2617622e+05,4.5185796e+06,3.8253111e+03,3.3407902e-03
4.2619057e+05,4.5186189e+06,3.7899397e+03,3.3087475e-03
4.2619177e+05,4.5185947e+06,3.7787294e+03,3.2920724e-03
4.2618804e+05,4.5185900e+06,3.7803286e+03,3.3113388e-03
4.2616743e+05,4.5185768e+06,3.7936206e+03,3.3258305e-03
4.2618200e+05,4.5185767e+06,3.8627658e+03,3.4107083e-03
4.2618133e+05,4.5185812e+06,3.8248874e+03,3.3545142e-03
4.2618595e+05,4.5186005e+06,3.7987309e+03,3.3157563e-03
4.2617617e+05,4.5185812e+06,3.8331344e+03,3.3403991e-03
4.2618467e+05,4.5186162e+06,3.8045379e+03,3.3319524e-03
4.2619362e+05,4.5185943e+06,3.7792960e+03,3.2903244e-03
4.2618023e+05,4.5185747e+06,3.7761645e+03,3.3105620e-03
4.2617179e+05,4.5185703e+06,3.7832401e+03,3.3089086e-03
4.2618321e+05,4.5185852e+06,3.8338558e+03,3.3695838e-03
4.2618373e+05,4.5185767e+06,3.8169194e+03,3.3593485e-03
4.2618653e+05,4.5185889e+06,3.8370965e+03,3.3873602e-03
4.2618079e+05,4.5185927e+06,3.8244722e+03,3.3377057e-03
4.2618162e+05,4.5186082e+06,3.7955264e+03,3.3143248e-03
4.2619898e+05,4.5185918e+06,3.8197543e+03,3.3468245e-03
4.2617900e+05,4.5185825e+06,3.7731126e+03,3.2976415e-03
4.2618132e+05,4.5185900e+06,3.7950779e+03,3.3357046e-03
4.2619010e+05,4.5185692e+06,3.8506632e+03,3.4129776e-03
4.2617091e+05,4.5186051e+06,3.7919479e+03,3.3109052e-03
4.2618914e+05,4.5185802e+06,3.8498477e+03,3.4078159e-03
4.2618885e+05,4.5185816e+06,3.8375827e+03,3.3619065e-03
4.2617838e+05,4.5185966e+06,3.8147634e+03,3.3508529e-03
4.2620852e+05,4.5185842e+06,3.8436120e+03,3.3694564e-03
4.2618427e+05,4.5185737e+06,3.7911127e+03,3.3172640e-03
4.2618518e+05,4.5185889e+06,3.8001487e+03,3.3321012e-03
4.2618430e+05,4.5185789e+06,3.8289954e+03,3.3775246e-03
4.2618285e+05,4.5186119e+06,3.7716105e+03,3.2976865e-03
4.2618852e+05,4.5185828e+06,3.8386330e+03,3.3936578e-03
4.2617693e+05,4.5185842e+06,3.8357996e+03,3.3536663e-03
4.2618269e+05,4.5186023e+06,3.8213002e+03,3.3529472e-03
4.2621241e+05,4.5185828e+06,3.8397253e+03,3.3813512e-03
4.2618291e+05,4.5185861e+06,3.7892675e+03,3.3160082e-03
4.2618296e+05,4.5185854e+06,3.8041093e+03,3.3500873e-03
4.2616980e+05,4.5185745e+06,3.8109458e+03,3.3674291e-03
4.2618667e+05,4.5186157e+06,3.7726694e+03,3.2948125e-03
4.2618889e+05,4.5185837e+06,3.8284629e+03,3.3913298e-03
4.2617961e+05,4.5185957e+06,3.8166783e+03,3.3400638e-03
4.2620754e+05,4.5185964e+06,3.8369479e+03,3.3702944e-03
4.2620163e+05,4.5185917e+06,3.8283015e+03,3.3549281e-03
4.2618219e+05,4.5185876e+06,3.7929431e+03,3.3155178e-03
4.2619135e+05,4.5186116e+06,3.7754202e+03,3.3118277e-03
4.2617820e+05,4.5185823e+06,3.7911696e+03,3.3423415e-03
4.2618367e+05,4.5185957e+06,3.7932067e+03,3.3361639e-03
4.2617925e+05,4.5185813e+06,3.8077917e+03,3.3713071e-03
4.2617561e+05,4.5185912e+06,3.8285507e+03,3.3494319e-03
4.2618767e+05,4.5185936e+06,3.8266251e+03,3.3579900e-03
4.2619467e+05,4.5185969e+06,3.8069664e+03,3.3429083e-03
4.2618649e+05,4.5186074e+06,3.7931008e+03,3.2848174e-03
4.2618254e+05,4.5186177e+06,3.7748444e+03,3.3017337e-03
4.2617783e+05,4.5185825e+06,3.7891880e+03,3.3396069e-03
4.2618864e+05,4.5185913e+06,3.8021685e+03,3.3595770e-03
4.2617835e+05,4.5185814e+06,3.8195656e+03,3.3655354e-03
4.2616505e+05,4.5185780e+06,3.8321344e+03,3.3799722e-03
4.2618653e+05,4.5185871e+06,3.8642899e+03,3.4065650e-03
4.2618646e+05,4.5185886e+06,3.8258026e+03,3.3547538e-03
4.2618840e+05,4.5186016e+06,3.8000671e+03,3.3124814e-03
4.2618448e+05,4.5185982e+06,3.8159543e+03,3.3513895e-03
4.2618387e+05,4.5185859e+06,3.8175971e+03,3.3689770e-03
4.2618597e+05,4.5185911e+06,3.7993677e+03,3.3497353e-03
4.2619010e+05,4.5185736e+06,3.7932240e+03,3.3572234e-03
4.2616263e+05,4.5185901e+06,3.7963244e+03,3.3423055e-03
4.2617775e+05,4.5185845e+06,3.8273913e+03,3.3847784e-03
4.2618783e+05,4.5185768e+06,3.8383941e+03,3.3625401e-03
4.2619097e+05,4.5186111e+06,3.8110118e+03,3.3116507e-03
4.2619066e+05,4.5186028e+06,3.7983256e+03,3.3327168e-03
4.2618190e+05,4.5185813e+06,3.8287474e+03,3.3841265e-03
4.2618382e+05,4.5185768e+06,3.7984885e+03,3.3781374e-03
4.2618541e+05,4.5186142e+06,3.7890578e+03,3.3069656e-03
4.2616700e+05,4.5185846e+06,3.8128439e+03,3.3664078e-03
4.2617132e+05,4.5185870e+06,3.8380655e+03,3.3796450e-03
4.2617510e+05,4.5185645e+06,3.8082904e+03,3.3523727e-03
4.2619253e+05,4.5185951e+06,3.7967583e+03,3.3197448e-03
4.2619238e+05,4.5186056e+06,3.8162760e+03,3.3458986e-03
4.2618416e+05,4.5185869e+06,3.8293580e+03,3.3911944e-03
4.2618962e+05,4.5185699e+06,3.7973103e+03,3.3498935e-03
4.2618008e+05,4.5186028e+06,3.7990569e+03,3.3344502e-03
4.2616786e+05,4.5185856e+06,3.8149910e+03,3.3668112e-03
4.2616130e+05,4.5185720e+06,3.8297077e+03,3.3765048e-03
4.2617441e+05,4.5185644e+06,3.8000217e+03,3.3450286e-03
4.2620832e+05,4.5185883e+06,3.7982018e+03,3.3202120e-03
4.2618374e+05,4.5185950e+06,3.8307791e+03,3.3648844e-03
4.2618482e+05,4.5185956e+06,3.8387469e+03,3.3843866e-03
4.2618697e+05,4.5185739e+06,3.7937560e+03,3.3519395e-03
4.2617493e+05,4.5186222e+06,3.7765614e+03,3.3092604e-03
4.2619005e+05,4.5185634e+06,3.8507677e+03,3.4092292e-03
4.2617029e+05,4.5185805e+06,3.8334485e+03,3.3780420e-03
4.2618235e+05,4.5185993e+06,3.7666720e+03,3.3167221e-03
4.2619279e+05,4.5185678e+06,3.8540973e+03,3.3661877e-03
4.2618585e+05,4.5186016e+06,3.8316209e+03,3.3565828e-03
4.2619472e+05,4.5186029e+06,3.8546431e+03,3.3955486e-03
4.2618462e+05,4.5185851e+06,3.7940743e+03,3.3396177e-03
4.2617202e+05,4.5186147e+06,3.7673407e+03,3.3031415e-03
4.2619203e+05,4.5185615e+06,3.8499096e+03,3.4091248e-03
4.2617171e+05,4.5185825e+06,3.8022879e+03,3.3560619e-03
4.2618206e+05,4.5185997e+06,3.7721917e+03,3.3182761e-03
4.2618981e+05,4.5185964e+06,3.8295699e+03,3.3289502e-03
4.2618955e+05,4.5185893e+06,3.8291612e+03,3.3551117e-03
4.2618453e+05,4.5186088e+06,3.8135359e+03,3.3436128e-03
4.2619439e+05,4.5185737e+06,3.7945151e+03,3.3321454e-03
4.2617790e+05,4.5185972e+06,3.7960369e+03,3.3376418e-03
4.2619529e+05,4.5185640e+06,3.8584026e+03,3.4043680e-03
4.2618557e+05,4.5185804e+06,3.8191696e+03,3.3568625e-03
4.2618185e+05,4.5186036e+06,3.7824595e+03,3.3243216e-03
4.2617602e+05,4.5186003e+06,3.8141093e+03,3.3300852e-03
4.2619542e+05,4.5185803e+06,3.8322372e+03,3.3480246e-03
4.2618673e+05,4.5186144e+06,3.8108140e+03,3.3447467e-03
4.2618662e+05,4.5185771e+06,3.8190311e+03,3.3656226e-03
4.2618104e+05,4.5186097e+06,3.8057680e+03,3.3425714e-03
4.2618182e+05,4.5185791e+06,3.8341782e+03,3.3838757e-03
4.2618904e+05,4.5185757e+06,3.8428491e+03,3.3743258e-03
4.2619010e+05,4.5185818e+06,3.7733073e+03,3.3044862e-03
4.2617605e+05,4.5185938e+06,3.8096894e+03,3.3272801e-03
4.2619285e+05,4.5185814e+06,3.8137622e+03,3.3400487e-03
4.2619279e+05,4.5186053e+06,3.8040171e+03,3.3388768e-03
4.2618851e+05,4.5185713e+06,3.8097869e+03,3.3742846e-03
4.2618136e+05,4.5186046e+06,3.8162308e+03,3.3521950e-03
4.2618473e+05,4.5185849e+06,3.8080017e+03,3.3401108e-03
4.2619297e+05,4.5185948e+06,3.8392775e+03,3.3791253e-03
4.2618890e+05,4.5185871e+06,3.7912957e+03,3.3227391e-03
4.2616663e+05,4.5185913e+06,3.8182686e+03,3.3284571e-03
4.2619162e+05,4.5185881e+06,3.8239462e+03,3.3566286e-03
4.2618975e+05,4.5186172e+06,3.7975052e+03,3.3344860e-03
4.2618360e+05,4.5185657e+06,3.8402503e+03,3.4066804e-03
4.2617738e+05,4.5185921e+06,3.8203517e+03,3.3555867e-03
4.2618006e+05,4.5185826e+06,3.8063961e+03,3.3391657e-03
4.2618689e+05,4.5186095e+06,3.8062091e+03,3.3306533e-03
4.2618874e+05,4.5185885e+06,3.7986548e+03,3.3358256e-03
4.2617303e+05,4.5185956e+06,3.8114657e+03,3.3291888e-03
4.2617952e+05,4.5185854e+06,3.8338199e+03,3.3510270e-03
4.2618977e+05,4.5186071e+06,3.8007948e+03,3.3386769e-03
4.2619040e+05,4.5185803e+06,3.8257798e+03,3.3888426e-03
4.2616682e+05,4.5186069e+06,3.8136001e+03,3.3603939e-03
4.2619134e+05,4.5185813e+06,3.7862479e+03,3.3429804e-03
4.2619511e+05,4.5186172e+06,3.8135915e+03,3.3206045e-03
4.2618635e+05,4.5185769e+06,3.8005850e+03,3.3375782e-03
4.2616934e+05,4.5185944e+06,3.8056813e+03,3.3083497e-03
4.2619016e+05,4.5185894e+06,3.8288680e+03,3.3632546e-03
4.2619650e+05,4.5185991e+06,3.7937535e+03,3.3459633e-03
4.2618207e+05,4.5185597e+06,3.8091328e+03,3.3675188e-03
4.2617992e+05,4.5185923e+06,3.8104785e+03,3.3635480e-03
4.2619171e+05,4.5185866e+06,3.7670710e+03,3.3054558e-03
4.2618519e+05,4.5185958e+06,3.8098116e+03,3.3324924e-03
4.2615729e+05,4.5185856e+06,3.8028869e+03,3.3215917e-03
4.2616710e+05,4.5185907e+06,3.8056012e+03,3.3190732e-03
4.2618748e+05,4.5185845e+06,3.8270906e+03,3.3829502e-03
4.2619561e+05,4.5186001e+06,3.7987364e+03,3.3474708e-03
4.2618464e+05,4.5185723e+06,3.8066753e+03,3.3620688e-03
4.2618387e+05,4.5185966e+06,3.7941323e+03,3.3511885e-03
4.2618513e+05,4.5185947e+06,3.7803368e+03,3.3025931e-03
4.2619042e+05,4.5186048e+06,3.8006689e+03,3.3021837e-03
4.2617982e+05,4.5185725e+06,3.8404402e+03,3.3946069e-03
4.2617193e+05,4.5185932e+06,3.8035469e+03,3.3084100e-03
4.2618809e+05,4.5185692e+06,3.8551903e+03,3.4216092e-03
4.2619021e+05,4.5186023e+06,3.8060198e+03,3.3402341e-03
4.2619221e+05,4.5185876e+06,3.7907297e+03,3.3194384e-03
4.2618883e+05,4.5185963e+06,3.8192770e+03,3.3839169e-03
4.2618647e+05,4.5185967e+06,3.7879118e+03,3.3242526e-03
4.2619428e+05,4.5186112e+06,3.8272880e+03,3.3241297e-03
4.2618073e+05,4.5185884e+06,3.8207047e+03,3.3478317e-03
4.2617979e+05,4.5185877e+06,3.8019910e+03,3.3432953e-03
4.2618786e+05,4.5185838e+06,3.8391711e+03,3.3824740e-03
4.2619202e+05,4.5185956e+06,3.8085754e+03,3.3727526e-03
4.2619376e+05,4.5185812e+06,3.8085233e+03,3.3719058e-03
4.2618941e+05,4.5185933e+06,3.8152933e+03,3.3748633e-03
4.2619327e+05,4.5186002e+06,3.7751927e+03,3.3159100e-03
4.2619444e+05,4.5186090e+06,3.8236656e+03,3.3167647e-03
4.2616994e+05,4.5185868e+06,3.8115264e+03,3.3471945e-03
4.2617555e+05,4.5185898e+06,3.7965842e+03,3.3288136e-03
4.2617480e+05,4.5185697e+06,3.8401090e+03,3.3946283e-03
4.2617468e+05,4.5186006e+06,3.7658657e+03,3.3073947e-03
4.2619405e+05,4.5185551e+06,3.8302164e+03,3.4050565e-03
4.2618676e+05,4.5185885e+06,3.8247771e+03,3.3846789e-03
4.2617584e+05,4.5185868e+06,3.7692459e+03,3.3237513e-03
4.2619423e+05,4.5186033e+06,3.7994313e+03,3.3192550e-03
4.2616939e+05,4.5185871e+06,3.8115668e+03,3.3604013e-03
4.2617137e+05,4.5185896e+06,3.8020397e+03,3.3265708e-03
4.2619145e+05,4.5185702e+06,3.8405547e+03,3.4162292e-03
4.2618460e+05,4.5185886e+06,3.7926232e+03,3.3474509e-03
4.2619947e+05,4.5185730e+06,3.8050106e+03,3.3523823e-03
4.2617115e+05,4.5186041e+06,3.7940727e+03,3.3425447e-03
4.2616969e+05,4.5185859e+06,3.7558390e+03,3.3096403e-03
4.2619230e+05,4.5186076e+06,3.7915696e+03,3.3011397e-03
4.2616387e+05,4.5185881e+06,3.8233131e+03,3.3648172e-03
4.2619940e+05,4.5185814e+06,3.8034325e+03,3.3343447e-03
4.2619041e+05,4.5185741e+06,3.8318690e+03,3.3943660e-03
4.2619008e+05,4.5185895e+06,3.8084293e+03,3.3634009e-03
4.2619930e+05,4.5185723e+06,3.8151719e+03,3.3490881e-03
4.2617467e+05,4.5185910e+06,3.8085404e+03,3.3598727e-03
