xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,dP_mu,dP_mu_1D_PPD
4.26149e+05,4.73485e-04,4.51855e+06,1.42045e-03,3.74558e+03,7.89141e-04,3.25183e-03,1.57828e-04
4.26154e+05,1.57828e-03,4.51855e+06,2.36742e-03,3.75971e+03,8.36490e-03,3.26790e-03,7.89141e-04
4.26159e+05,4.26136e-03,4.51856e+06,5.68182e-03,3.77383e+03,2.95139e-02,3.28398e-03,5.83965e-03
4.26164e+05,1.43624e-02,4.51856e+06,1.16793e-02,3.78796e+03,1.16477e-01,3.30005e-03,2.08333e-02
4.26169e+05,3.51957e-02,4.51857e+06,2.82513e-02,3.80208e+03,2.35638e-01,3.31612e-03,6.75505e-02
4.26174e+05,7.97033e-02,4.51857e+06,3.89836e-02,3.81621e+03,2.78725e-01,3.33219e-03,1.46780e-01
4.26179e+05,1.22790e-01,4.51857e+06,6.64457e-02,3.83033e+03,2.05966e-01,3.34826e-03,2.35638e-01
4.26184e+05,1.66509e-01,4.51858e+06,9.21717e-02,3.84446e+03,9.13826e-02,3.36434e-03,2.35164e-01
4.26189e+05,1.87816e-01,4.51858e+06,1.16319e-01,3.85858e+03,2.35164e-02,3.38041e-03,1.68561e-01
4.26194e+05,1.72980e-01,4.51859e+06,1.25473e-01,3.87271e+03,5.05051e-03,3.39648e-03,8.25442e-02
4.26199e+05,1.10638e-01,4.51859e+06,1.37626e-01,3.88684e+03,1.42045e-03,3.41255e-03,2.68308e-02
4.26204e+05,6.21843e-02,4.51859e+06,1.22001e-01,3.90096e+03,1.57828e-04,3.42862e-03,6.31313e-03
4.26209e+05,2.84091e-02,4.51860e+06,9.81692e-02,3.91509e+03,1.57828e-04,3.44470e-03,1.57828e-03
4.26214e+05,9.94318e-03,4.51860e+06,6.53409e-02,3.92921e+03,1.57828e-04,3.46077e-03,6.31313e-04
4.26219e+05,2.52525e-03,4.51861e+06,4.27715e-02,3.94334e+03,1.26263e-03,3.47684e-03,1.57828e-04
4.26224e+05,3.15657e-04,4.51861e+06,2.38321e-02,3.95746e+03,4.73485e-04,3.49291e-03,0.00000e+00
4.26229e+05,0.00000e+00,4.51862e+06,1.19949e-02,3.97159e+03,3.15657e-04,3.50898e-03,1.57828e-04
4.26234e+05,1.57828e-04,4.51862e+06,6.31313e-03,3.98572e+03,1.57828e-04,3.52506e-03,1.57828e-04
4.26239e+05,0.00000e+00,4.51862e+06,1.57828e-03,3.99984e+03,0.00000e+00,3.54113e-03,1.57828e-04
4.26244e+05,1.57828e-04,4.51863e+06,1.57828e-03,4.01397e+03,4.73485e-04,3.55720e-03,1.57828e-04
