xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,dP_mu,dP_mu_1D_PPD
4.22501e+05,6.50000e-03,4.51550e+06,1.50000e-02,2.25005e+03,7.75000e-03,5.95613e-04,8.58333e-03
4.23001e+05,7.83333e-03,4.51600e+06,1.89167e-02,2.50003e+03,8.33333e-03,1.09044e-03,1.02500e-02
4.23500e+05,8.83333e-03,4.51650e+06,2.22500e-02,2.75002e+03,8.66667e-03,1.58527e-03,1.12500e-02
4.24000e+05,1.12500e-02,4.51700e+06,2.51667e-02,3.00001e+03,1.14167e-02,2.08009e-03,1.30833e-02
4.24500e+05,1.54167e-02,4.51750e+06,3.60833e-02,3.24999e+03,2.08333e-02,2.57492e-03,2.20833e-02
4.24999e+05,2.50833e-02,4.51800e+06,6.65833e-02,3.49998e+03,3.54167e-02,3.06974e-03,4.31667e-02
4.25499e+05,3.93333e-02,4.51850e+06,1.96333e-01,3.74997e+03,6.44167e-02,3.56457e-03,9.74167e-02
4.25998e+05,1.17083e-01,4.51900e+06,5.20333e-01,3.99995e+03,2.06167e-01,4.05940e-03,3.09667e-01
4.26498e+05,5.89000e-01,4.51950e+06,3.53333e-02,4.24994e+03,1.70417e-01,4.55422e-03,1.22167e-01
4.26998e+05,7.94167e-02,4.52000e+06,1.53333e-02,4.49993e+03,6.99167e-02,5.04905e-03,9.22500e-02
4.27497e+05,2.44167e-02,4.52050e+06,8.66667e-03,4.74992e+03,7.60833e-02,5.54387e-03,6.79167e-02
4.27997e+05,1.49167e-02,4.52100e+06,5.33333e-03,4.99990e+03,6.26667e-02,6.03870e-03,4.46667e-02
4.28497e+05,1.08333e-02,4.52150e+06,5.08333e-03,5.24989e+03,5.38333e-02,6.53353e-03,3.35833e-02
4.28996e+05,9.33333e-03,4.52200e+06,5.16667e-03,5.49988e+03,3.70000e-02,7.02835e-03,2.72500e-02
4.29496e+05,8.66667e-03,4.52250e+06,4.25000e-03,5.74986e+03,3.35000e-02,7.52318e-03,2.14167e-02
4.29996e+05,6.91667e-03,4.52300e+06,3.25000e-03,5.99985e+03,3.20000e-02,8.01801e-03,1.91667e-02
4.30495e+05,7.41667e-03,4.52350e+06,4.25000e-03,6.24984e+03,2.85000e-02,8.51283e-03,1.91667e-02
4.30995e+05,5.58333e-03,4.52400e+06,5.08333e-03,6.49982e+03,2.51667e-02,9.00766e-03,1.50000e-02
4.31494e+05,6.41667e-03,4.52450e+06,3.41667e-03,6.74981e+03,2.27500e-02,9.50248e-03,1.16667e-02
4.31994e+05,5.75000e-03,4.52500e+06,4.16667e-03,6.99980e+03,2.51667e-02,9.99731e-03,1.02500e-02
