func,iter,xcen,ycen,depth,dP_mu
2.021113e+01,11,4.2622875e+05,4.5186430e+06,3.9319463e+03,3.8374991e-03
2.022432e+01,11,4.2623566e+05,4.5186549e+06,3.8866583e+03,3.7310027e-03
2.022507e+01,11,4.2621642e+05,4.5186405e+06,3.9402282e+03,3.8309957e-03
2.022546e+01,11,4.2623078e+05,4.5186475e+06,3.8793406e+03,3.7603477e-03
2.023233e+01,11,4.2623023e+05,4.5186538e+06,3.8817111e+03,3.7212941e-03
2.023258e+01,11,4.2624729e+05,4.5186358e+06,3.9421403e+03,3.8192157e-03
2.023387e+01,11,4.2622512e+05,4.5186476e+06,3.9586743e+03,3.8668607e-03
2.023512e+01,10,4.2621887e+05,4.5186376e+06,3.9588973e+03,3.8470723e-03
2.023602e+01,11,4.2622341e+05,4.5186414e+06,3.9138582e+03,3.7588580e-03
2.023699e+01,11,4.2621513e+05,4.5186352e+06,3.9076117e+03,3.7830299e-03
2.023717e+01,10,4.2623578e+05,4.5186281e+06,3.9618785e+03,3.8674875e-03
2.024080e+01,11,4.2624887e+05,4.5186504e+06,3.8760410e+03,3.7382006e-03
2.024311e+01,10,4.2623155e+05,4.5186308e+06,3.9724417e+03,3.8826068e-03
2.024518e+01,11,4.2625542e+05,4.5186557e+06,3.9096553e+03,3.8050079e-03
2.024661e+01,11,4.2623528e+05,4.5186494e+06,3.8621818e+03,3.7335369e-03
2.024686e+01,10,4.2624434e+05,4.5186342e+06,3.8905328e+03,3.7629759e-03
2.024706e+01,11,4.2620944e+05,4.5186401e+06,3.9267014e+03,3.7949836e-03
2.024760e+01,11,4.2620820e+05,4.5186423e+06,3.9192929e+03,3.7907911e-03
2.024803e+01,11,4.2621849e+05,4.5186340e+06,3.9661502e+03,3.8702830e-03
2.024845e+01,11,4.2622259e+05,4.5186639e+06,3.8901642e+03,3.7797518e-03
2.024918e+01,11,4.2625376e+05,4.5186500e+06,3.9486643e+03,3.8325087e-03
2.024946e+01,11,4.2621218e+05,4.5186331e+06,3.9288061e+03,3.7957585e-03
2.024955e+01,10,4.2621648e+05,4.5186398e+06,3.8845914e+03,3.7376377e-03
2.024975e+01,11,4.2622604e+05,4.5186250e+06,3.9601936e+03,3.8428960e-03
2.025220e+01,10,4.2623564e+05,4.5186661e+06,3.9418683e+03,3.8376975e-03
2.025531e+01,11,4.2621791e+05,4.5186288e+06,3.9668813e+03,3.8635292e-03
2.025558e+01,10,4.2623853e+05,4.5186548e+06,3.8966373e+03,3.8094837e-03
2.025626e+01,11,4.2624737e+05,4.5186349e+06,3.9063935e+03,3.8114428e-03
2.025979e+01,11,4.2622152e+05,4.5186348e+06,3.9039311e+03,3.7444818e-03
2.026231e+01,10,4.2625369e+05,4.5186362e+06,3.9608409e+03,3.8730852e-03
2.026546e+01,11,4.2622472e+05,4.5186192e+06,3.9482207e+03,3.8517865e-03
2.026572e+01,11,4.2623333e+05,4.5186587e+06,3.8981052e+03,3.7255366e-03
2.026584e+01,11,4.2625953e+05,4.5186560e+06,3.8918563e+03,3.7775211e-03
2.026660e+01,10,4.2622255e+05,4.5186406e+06,3.8689980e+03,3.7102518e-03
2.026980e+01,11,4.2622494e+05,4.5186259e+06,3.8993346e+03,3.7534401e-03
2.027214e+01,11,4.2624293e+05,4.5186518e+06,3.9772448e+03,3.8683862e-03
2.027221e+01,11,4.2621306e+05,4.5186632e+06,3.8746079e+03,3.7185267e-03
2.027273e+01,11,4.2622352e+05,4.5186470e+06,3.9807089e+03,3.8682641e-03
2.027402e+01,11,4.2620981e+05,4.5186387e+06,3.9671843e+03,3.8635019e-03
2.027759e+01,11,4.2624387e+05,4.5186760e+06,3.8859673e+03,3.7706818e-03
2.027898e+01,11,4.2622452e+05,4.5186315e+06,3.9059047e+03,3.8199852e-03
2.027917e+01,11,4.2624178e+05,4.5186665e+06,3.9198769e+03,3.8380289e-03
2.027919e+01,11,4.2624506e+05,4.5186629e+06,3.9623200e+03,3.8551834e-03
2.028284e+01,11,4.2624849e+05,4.5186751e+06,3.9178849e+03,3.8033389e-03
2.028598e+01,11,4.2621382e+05,4.5186494e+06,3.9674591e+03,3.8404048e-03
2.028626e+01,10,4.2621623e+05,4.5186313e+06,3.8795775e+03,3.7559233e-03
2.029048e+01,11,4.2624370e+05,4.5186361e+06,3.9696714e+03,3.8319658e-03
2.029066e+01,11,4.2622037e+05,4.5186491e+06,3.9655697e+03,3.8968976e-03
2.029155e+01,11,4.2625283e+05,4.5186398e+06,3.9859039e+03,3.8941986e-03
2.029266e+01,11,4.2620242e+05,4.5186329e+06,3.9448175e+03,3.8389807e-03
2.029355e+01,11,4.2620983e+05,4.5186259e+06,3.9694412e+03,3.8773969e-03
2.029424e+01,11,4.2623439e+05,4.5186791e+06,3.8576426e+03,3.7163172e-03
2.029428e+01,11,4.2624905e+05,4.5186279e+06,3.9852611e+03,3.9095455e-03
2.029682e+01,10,4.2625424e+05,4.5186621e+06,3.8832362e+03,3.7158006e-03
2.029884e+01,11,4.2620453e+05,4.5186375e+06,3.9664396e+03,3.8684216e-03
2.029971e+01,11,4.2623136e+05,4.5186819e+06,3.8868379e+03,3.7382810e-03
2.030115e+01,11,4.2620788e+05,4.5186606e+06,3.8997424e+03,3.7978887e-03
2.030356e+01,11,4.2622103e+05,4.5186545e+06,3.9756923e+03,3.9006436e-03
2.030371e+01,11,4.2624307e+05,4.5186334e+06,3.8612755e+03,3.7268264e-03
2.030386e+01,10,4.2622455e+05,4.5186573e+06,3.8612314e+03,3.6752271e-03
2.030428e+01,11,4.2626138e+05,4.5186398e+06,3.9707334e+03,3.8871667e-03
2.030623e+01,11,4.2620777e+05,4.5186481e+06,3.9740728e+03,3.8732727e-03
2.030665e+01,10,4.2621523e+05,4.5186350e+06,3.8617216e+03,3.7253298e-03
2.030706e+01,11,4.2624826e+05,4.5186702e+06,3.9550727e+03,3.8441396e-03
2.030789e+01,11,4.2622279e+05,4.5186428e+06,3.9655436e+03,3.8130158e-03
2.030863e+01,11,4.2622820e+05,4.5186589e+06,3.8296849e+03,3.6774357e-03
2.031294e+01,9,4.2625707e+05,4.5186577e+06,3.8540783e+03,3.7331423e-03
2.031385e+01,11,4.2624199e+05,4.5186114e+06,3.9517874e+03,3.8376610e-03
2.031465e+01,11,4.2620320e+05,4.5186355e+06,3.9377453e+03,3.7861559e-03
2.031474e+01,11,4.2622830e+05,4.5186229e+06,3.9229124e+03,3.7595236e-03
2.031518e+01,11,4.2622186e+05,4.5186365e+06,3.8538318e+03,3.6894859e-03
2.031541e+01,11,4.2622291e+05,4.5186306e+06,3.9524062e+03,3.8969820e-03
2.031707e+01,11,4.2624203e+05,4.5186633e+06,3.9723781e+03,3.8472769e-03
2.031774e+01,10,4.2620242e+05,4.5186242e+06,3.9582017e+03,3.8412789e-03
2.031837e+01,10,4.2622789e+05,4.5186576e+06,3.9674045e+03,3.8212808e-03
2.031873e+01,10,4.2621789e+05,4.5186746e+06,3.9308456e+03,3.7896258e-03
2.031900e+01,11,4.2623514e+05,4.5186680e+06,3.8654524e+03,3.7707229e-03
2.031943e+01,11,4.2623714e+05,4.5186243e+06,3.9931378e+03,3.8709861e-03
2.031983e+01,11,4.2622807e+05,4.5186235e+06,4.0057205e+03,3.9032302e-03
2.032036e+01,11,4.2621535e+05,4.5186383e+06,4.0012085e+03,3.9117867e-03
2.032075e+01,10,4.2619961e+05,4.5186490e+06,3.8880031e+03,3.7723093e-03
2.032130e+01,11,4.2622780e+05,4.5186625e+06,3.8474525e+03,3.7381267e-03
2.032191e+01,10,4.2623778e+05,4.5186118e+06,3.9292284e+03,3.8369568e-03
2.032258e+01,11,4.2620302e+05,4.5186261e+06,3.9520789e+03,3.8158840e-03
2.032269e+01,11,4.2624466e+05,4.5186482e+06,3.9434214e+03,3.7759678e-03
2.032278e+01,11,4.2623903e+05,4.5186428e+06,3.9867995e+03,3.9371749e-03
2.032302e+01,9,4.2627049e+05,4.5186428e+06,3.9435348e+03,3.8376676e-03
2.032393e+01,11,4.2621455e+05,4.5186207e+06,3.9964706e+03,3.9052160e-03
2.032400e+01,11,4.2620209e+05,4.5186395e+06,3.8742608e+03,3.7194361e-03
2.032437e+01,11,4.2626434e+05,4.5186422e+06,3.9518827e+03,3.8824995e-03
2.032512e+01,11,4.2619986e+05,4.5186517e+06,3.8805920e+03,3.7171145e-03
2.032531e+01,11,4.2621114e+05,4.5186545e+06,3.8578606e+03,3.7437851e-03
2.032589e+01,11,4.2623882e+05,4.5186354e+06,3.9332618e+03,3.7596839e-03
2.032635e+01,11,4.2621353e+05,4.5186171e+06,3.9788827e+03,3.9016021e-03
2.032731e+01,11,4.2622649e+05,4.5186688e+06,3.9035235e+03,3.8269422e-03
2.032745e+01,11,4.2620479e+05,4.5186468e+06,3.9650315e+03,3.8854453e-03
2.032764e+01,11,4.2624733e+05,4.5186126e+06,3.9681801e+03,3.8569452e-03
2.032788e+01,8,4.2626740e+05,4.5186400e+06,3.9665966e+03,3.8681692e-03
2.032808e+01,11,4.2620593e+05,4.5186357e+06,3.9640198e+03,3.8198905e-03
2.032817e+01,11,4.2624885e+05,4.5186382e+06,3.9736856e+03,3.8303927e-03
2.032872e+01,11,4.2620315e+05,4.5186416e+06,3.9003222e+03,3.8068837e-03
