xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,s_axis_max,s_axis_max_1D_PPD,dP_mu,dP_mu_1D_PPD,strike,strike_1D_PPD,dip,dip_1D_PPD
4.26019e+05,8.68056e-04,4.51853e+06,3.07765e-03,2.50387e+03,4.78220e-02,1.55796e+03,6.54987e-03,1.21319e-03,2.68308e-03,3.02598e+01,1.45044e-01,1.30213e+00,8.74369e-01
4.26039e+05,2.36742e-03,4.51856e+06,8.44381e-03,2.55693e+03,3.20391e-02,1.60678e+03,5.70549e-02,1.39933e-03,7.03125e-02,3.26477e+01,6.50095e-01,2.50425e+00,3.06976e-02
4.26060e+05,8.99621e-03,4.51858e+06,1.17582e-02,2.60998e+03,1.94918e-02,1.65560e+03,1.41177e-01,1.58547e-03,7.63889e-02,3.50357e+01,2.41477e-02,3.70638e+00,9.39078e-03
4.26080e+05,1.25473e-02,4.51860e+06,2.11490e-02,2.66304e+03,2.23327e-02,1.70442e+03,2.02809e-01,1.77161e-03,2.88826e-02,3.74236e+01,8.68056e-03,4.90850e+00,4.81376e-03
4.26100e+05,9.70644e-03,4.51863e+06,4.59280e-02,2.71609e+03,4.60859e-02,1.75324e+03,1.86474e-01,1.95775e-03,2.02809e-02,3.98116e+01,1.54672e-02,6.11063e+00,1.10480e-02
4.26120e+05,1.79135e-02,4.51865e+06,1.97285e-02,2.76915e+03,3.62216e-02,1.80206e+03,1.09375e-01,2.14388e-03,2.33586e-02,4.21995e+01,7.10227e-03,7.31275e+00,1.25473e-02
4.26140e+05,2.61206e-02,4.51868e+06,1.24684e-02,2.82220e+03,2.42582e-01,1.85087e+03,3.41698e-02,2.33002e-03,1.53093e-02,4.45875e+01,2.30429e-02,8.51488e+00,3.86679e-03
4.26160e+05,4.07197e-02,4.51870e+06,1.65720e-02,2.87526e+03,5.37563e-01,1.89969e+03,2.17014e-02,2.51616e-03,2.03598e-02,4.69754e+01,4.71907e-02,9.71700e+00,1.18371e-03
4.26180e+05,2.57260e-02,4.51873e+06,9.83270e-02,2.92831e+03,1.17582e-02,1.94851e+03,1.49937e-02,2.70230e-03,2.35953e-02,4.93634e+01,2.77778e-02,1.09191e+01,8.68056e-04
4.26200e+05,2.02020e-02,4.51875e+06,5.83570e-01,2.98137e+03,8.68056e-04,1.99733e+03,1.16004e-02,2.88844e-03,4.72696e-02,5.17513e+01,1.69665e-02,1.21213e+01,8.68056e-04
4.26220e+05,2.50947e-02,4.51878e+06,1.55698e-01,3.03442e+03,3.94571e-04,2.04615e+03,2.74621e-02,3.07458e-03,1.05666e-01,5.41392e+01,9.46970e-03,1.33234e+01,7.89141e-04
4.26240e+05,5.93434e-02,4.51880e+06,2.28851e-03,3.08748e+03,3.94571e-04,2.09497e+03,1.85448e-02,3.26072e-03,1.26815e-01,5.65272e+01,3.23548e-03,1.45255e+01,2.52525e-03
4.26260e+05,2.75568e-01,4.51883e+06,1.89394e-03,3.14054e+03,3.94571e-04,2.14379e+03,3.96938e-02,3.44685e-03,1.32891e-01,5.89151e+01,6.70770e-03,1.57276e+01,2.52525e-03
4.26280e+05,4.03488e-01,4.51885e+06,3.63005e-03,3.19359e+03,5.52399e-04,2.19260e+03,2.35164e-02,3.63299e-03,1.14741e-01,6.13031e+01,4.10354e-03,1.69298e+01,7.18119e-03
4.26300e+05,6.91288e-02,4.51888e+06,5.44508e-03,3.24665e+03,1.57828e-04,2.24142e+03,5.68182e-02,3.81913e-03,8.60164e-02,6.36910e+01,2.91982e-03,1.81319e+01,4.10354e-03
4.26320e+05,1.73611e-03,4.51890e+06,6.23422e-03,3.29970e+03,2.36742e-04,2.29024e+03,3.71686e-02,4.00527e-03,5.49242e-02,6.60790e+01,5.68182e-03,1.93340e+01,3.70896e-03
4.26340e+05,7.89141e-05,4.51892e+06,2.68308e-03,3.35276e+03,4.73485e-04,2.33906e+03,9.78535e-03,4.19141e-03,3.20391e-02,6.84669e+01,2.28851e-03,2.05361e+01,6.94444e-03
4.26361e+05,2.36742e-04,4.51895e+06,7.10227e-04,3.40581e+03,3.15657e-04,2.38788e+03,7.10227e-04,4.37755e-03,1.35732e-02,7.08549e+01,0.00000e+00,2.17383e+01,8.04924e-03
4.26381e+05,0.00000e+00,4.51897e+06,1.57828e-04,3.45887e+03,0.00000e+00,2.43670e+03,2.36742e-04,4.56369e-03,4.02462e-03,7.32428e+01,0.00000e+00,2.29404e+01,7.33902e-03
4.26401e+05,1.57828e-04,4.51900e+06,2.36742e-04,3.51192e+03,3.15657e-04,2.48552e+03,1.57828e-04,4.74982e-03,8.68056e-04,7.56308e+01,7.89141e-05,2.41425e+01,7.18119e-03
