xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
4.2636027e+05,4.5188598e+06,3.0112579e+03,2.0694231e+03,1.8279643e-03,5.2915149e+01,2.1826754e+01
4.2617039e+05,4.5188178e+06,3.2609695e+03,2.1605915e+03,1.7910039e-03,5.7751322e+01,1.8597220e+01
4.2609075e+05,4.5187653e+06,3.2632494e+03,2.2488853e+03,1.4785640e-03,5.7259213e+01,1.6282648e+01
4.2609987e+05,4.5185531e+06,3.5088955e+03,2.1924742e+03,1.9065395e-03,4.1071600e+01,1.6079604e+01
4.2617520e+05,4.5189116e+06,3.0758712e+03,2.1453917e+03,1.6948772e-03,6.2593925e+01,1.9288618e+01
4.2615439e+05,4.5188570e+06,3.3532303e+03,2.1790438e+03,1.7711009e-03,4.6275250e+01,1.7218388e+01
4.2620373e+05,4.5185979e+06,3.4653608e+03,2.1817699e+03,1.8743019e-03,4.7032641e+01,1.6826793e+01
4.2617169e+05,4.5186263e+06,3.4912492e+03,2.1895283e+03,1.8581651e-03,4.5291188e+01,1.6437073e+01
4.2603813e+05,4.5186651e+06,3.3169756e+03,2.2369501e+03,1.6088621e-03,5.1702167e+01,1.6460605e+01
4.2601195e+05,4.5187350e+06,3.0670209e+03,2.1141908e+03,1.8867930e-03,4.5214924e+01,2.0406950e+01
4.2635207e+05,4.5188472e+06,3.1609966e+03,2.1468525e+03,1.7152681e-03,6.2768852e+01,1.9007137e+01
4.2622822e+05,4.5189981e+06,3.0983214e+03,2.1720364e+03,1.5573100e-03,6.7175274e+01,1.8548626e+01
4.2602954e+05,4.5186566e+06,3.3992336e+03,2.1951670e+03,1.8368170e-03,3.8835048e+01,1.6238472e+01
4.2614893e+05,4.5188063e+06,3.2870792e+03,2.2091172e+03,1.6589313e-03,4.9120462e+01,1.7432903e+01
4.2619495e+05,4.5185785e+06,3.5119218e+03,2.1908408e+03,1.8623309e-03,4.6259162e+01,1.6255808e+01
4.2608095e+05,4.5187314e+06,3.1836742e+03,2.1392178e+03,1.8477622e-03,4.7830375e+01,1.9238095e+01
4.2638448e+05,4.5188706e+06,2.9726077e+03,2.0582708e+03,1.8242674e-03,5.4326866e+01,2.2303631e+01
4.2617343e+05,4.5188285e+06,3.1923889e+03,2.1506079e+03,1.7753082e-03,5.6903980e+01,1.8992614e+01
4.2611089e+05,4.5187575e+06,3.3068581e+03,2.2048663e+03,1.6739339e-03,5.0055344e+01,1.6963614e+01
4.2608920e+05,4.5186761e+06,3.3397230e+03,2.1875450e+03,1.7859561e-03,4.4879067e+01,1.7182745e+01
4.2618570e+05,4.5188595e+06,2.9909356e+03,2.1184510e+03,1.7424986e-03,5.7252589e+01,2.0391119e+01
4.2615246e+05,4.5188056e+06,3.3560637e+03,2.1860350e+03,1.7582752e-03,4.7296500e+01,1.7077452e+01
4.2616992e+05,4.5187764e+06,3.3148774e+03,2.1756159e+03,1.7696538e-03,5.2291243e+01,1.7760898e+01
4.2620878e+05,4.5186728e+06,3.3912641e+03,2.1652137e+03,1.8499348e-03,4.6950061e+01,1.7541695e+01
4.2623666e+05,4.5188910e+06,2.8558161e+03,2.1390565e+03,1.4996099e-03,6.4005535e+01,2.1284615e+01
4.2610851e+05,4.5187765e+06,2.9732391e+03,2.1156057e+03,1.7498751e-03,5.2186165e+01,2.1138232e+01
4.2640070e+05,4.5189290e+06,3.0612126e+03,2.1354050e+03,1.6631297e-03,6.7927879e+01,1.9721950e+01
4.2621712e+05,4.5189603e+06,3.0574261e+03,2.1489358e+03,1.6418701e-03,6.2184261e+01,1.9530796e+01
4.2603275e+05,4.5187201e+06,3.3473475e+03,2.2032840e+03,1.7524502e-03,4.2224853e+01,1.6330342e+01
4.2609318e+05,4.5187485e+06,3.1600077e+03,2.1605763e+03,1.7483336e-03,4.6430524e+01,1.8962152e+01
4.2613297e+05,4.5186431e+06,3.3334831e+03,2.2068429e+03,1.6885900e-03,5.1826124e+01,1.6989151e+01
4.2599935e+05,4.5186546e+06,3.1084726e+03,2.1191504e+03,1.8976972e-03,3.8780943e+01,1.9849325e+01
4.2632643e+05,4.5188200e+06,2.9486304e+03,2.0623879e+03,1.8369695e-03,5.3680183e+01,2.2206694e+01
4.2625937e+05,4.5189028e+06,2.9732457e+03,2.1013862e+03,1.7303137e-03,5.7731222e+01,2.1183145e+01
4.2624334e+05,4.5188927e+06,2.9023034e+03,2.1244120e+03,1.5897458e-03,6.0944725e+01,2.1214270e+01
4.2610021e+05,4.5187099e+06,3.2047178e+03,2.1600537e+03,1.7750464e-03,4.7744830e+01,1.8693412e+01
4.2616431e+05,4.5186786e+06,2.8816661e+03,2.0738861e+03,1.8724438e-03,5.1874120e+01,2.1935965e+01
4.2618133e+05,4.5188144e+06,3.1354296e+03,2.1370463e+03,1.7599629e-03,5.1287200e+01,1.9580915e+01
4.2614106e+05,4.5187645e+06,3.1619303e+03,2.1528330e+03,1.7520958e-03,5.0775810e+01,1.9034944e+01
4.2627173e+05,4.5187983e+06,3.1315404e+03,2.1180921e+03,1.7945199e-03,5.2059087e+01,2.0029083e+01
4.2634549e+05,4.5189823e+06,2.5934653e+03,2.1047756e+03,1.3646585e-03,7.5630796e+01,2.3928919e+01
4.2612622e+05,4.5187897e+06,2.8857759e+03,2.0951073e+03,1.7492731e-03,5.4515030e+01,2.2262274e+01
4.2631345e+05,4.5189075e+06,2.9501347e+03,2.1029039e+03,1.6997566e-03,6.1569837e+01,2.1218396e+01
4.2631440e+05,4.5189888e+06,2.9186732e+03,2.0944996e+03,1.6763528e-03,5.8999734e+01,2.1372729e+01
4.2601388e+05,4.5186921e+06,3.2064063e+03,2.1784023e+03,1.7589332e-03,4.2716246e+01,1.7447411e+01
4.2611968e+05,4.5187753e+06,3.1284792e+03,2.1515805e+03,1.7428592e-03,4.7992622e+01,1.9327802e+01
4.2620462e+05,4.5187681e+06,3.0099973e+03,2.1180558e+03,1.7561944e-03,5.6013414e+01,2.0466807e+01
4.2608191e+05,4.5186961e+06,3.1519068e+03,2.1456668e+03,1.7987096e-03,4.6928207e+01,1.9134324e+01
4.2631371e+05,4.5188072e+06,2.9431294e+03,2.0671681e+03,1.8276268e-03,5.4483389e+01,2.2080643e+01
4.2629139e+05,4.5189120e+06,2.9518687e+03,2.0992943e+03,1.7140396e-03,5.9950728e+01,2.1367231e+01
4.2625724e+05,4.5189395e+06,2.8145266e+03,2.1283767e+03,1.4909937e-03,6.5237214e+01,2.1680903e+01
4.2622598e+05,4.5187875e+06,2.9946366e+03,2.0935778e+03,1.8000152e-03,5.2549236e+01,2.1386863e+01
4.2616833e+05,4.5186875e+06,2.8944806e+03,2.0782966e+03,1.8608357e-03,5.2287449e+01,2.1789263e+01
4.2621611e+05,4.5188092e+06,3.0415052e+03,2.1174444e+03,1.7567522e-03,5.3878317e+01,2.0478153e+01
4.2622244e+05,4.5188409e+06,2.9659343e+03,2.1235668e+03,1.6750375e-03,5.8846077e+01,2.0689509e+01
4.2626643e+05,4.5188291e+06,2.9441713e+03,2.1087223e+03,1.6969280e-03,5.9307895e+01,2.1188152e+01
4.2627876e+05,4.5188584e+06,2.6671280e+03,2.0900861e+03,1.5488636e-03,6.8024054e+01,2.3406842e+01
4.2624714e+05,4.5188285e+06,2.7954057e+03,2.0854334e+03,1.6732769e-03,6.0998805e+01,2.2775789e+01
4.2627038e+05,4.5188438e+06,2.8935685e+03,2.0952904e+03,1.7259274e-03,6.1725860e+01,2.1483135e+01
4.2624688e+05,4.5189593e+06,2.6225829e+03,2.0753231e+03,1.5542504e-03,6.4776136e+01,2.3841669e+01
4.2607039e+05,4.5187160e+06,3.1541698e+03,2.1552824e+03,1.7725400e-03,4.6098730e+01,1.8619535e+01
4.2623067e+05,4.5188100e+06,2.9931779e+03,2.1072902e+03,1.7535746e-03,5.4496870e+01,2.0999011e+01
4.2625258e+05,4.5187675e+06,2.8936029e+03,2.0900890e+03,1.7660377e-03,5.9866670e+01,2.1582545e+01
4.2621303e+05,4.5188208e+06,2.9769663e+03,2.1178011e+03,1.6925382e-03,5.6943810e+01,2.1072753e+01
4.2628012e+05,4.5188971e+06,2.6838978e+03,2.0733421e+03,1.6150209e-03,6.4891832e+01,2.3512750e+01
4.2627925e+05,4.5188898e+06,2.9457464e+03,2.0973459e+03,1.7276959e-03,5.9227312e+01,2.1409760e+01
4.2625758e+05,4.5189398e+06,2.7359808e+03,2.1096258e+03,1.4960876e-03,6.5426394e+01,2.2651380e+01
4.2625645e+05,4.5188426e+06,2.8688416e+03,2.0847048e+03,1.7229450e-03,5.7892063e+01,2.2253804e+01
4.2620555e+05,4.5187811e+06,2.8587077e+03,2.0932638e+03,1.7242031e-03,5.7417278e+01,2.2027639e+01
4.2621199e+05,4.5188253e+06,2.8484402e+03,2.1050836e+03,1.6649974e-03,6.0030632e+01,2.1802143e+01
4.2622775e+05,4.5188324e+06,2.7437553e+03,2.0936756e+03,1.6242580e-03,6.3142216e+01,2.2566348e+01
