coo_X,coo_Y,synth_sar,data_sar,err_sar,los_E,los_N,los_Z
418670.00,4516876.40,2.64775e-04,7.62900e-03,5.00000e-03,0.439,-0.088,0.894
418843.50,4516856.30,3.73926e-04,7.25500e-03,5.00000e-03,0.439,-0.088,0.894
419040.00,4516040.00,8.10721e-04,-3.97400e-03,5.00000e-03,0.439,-0.088,0.894
419127.10,4516367.80,7.62302e-04,-1.18930e-02,5.00000e-03,0.439,-0.088,0.894
418972.50,4516813.80,4.75021e-04,4.39000e-04,5.00000e-03,0.439,-0.088,0.894
419292.20,4515987.00,1.01254e-03,-6.19700e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516260.00,9.01304e-04,-2.56800e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516700.00,7.34610e-04,-1.61420e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4516920.00,6.38092e-04,-1.29930e-03,5.00000e-03,0.439,-0.088,0.894
419260.00,4517140.00,5.32896e-04,-7.91400e-04,5.00000e-03,0.439,-0.088,0.894
419204.70,4517375.40,3.67847e-04,-1.63460e-02,5.00000e-03,0.439,-0.088,0.894
419260.00,4518460.00,-2.55568e-04,-8.19700e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516040.00,1.15473e-03,-8.42290e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516260.00,1.08735e-03,-4.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516480.00,1.01072e-03,-4.49680e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516700.00,9.24619e-04,-5.13330e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4516920.00,8.28957e-04,-5.52150e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517140.00,7.23783e-04,-5.21850e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517360.00,6.09300e-04,-4.98910e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4517580.00,4.85881e-04,-8.17180e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518020.00,2.14586e-04,-5.36870e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518240.00,6.83247e-05,-3.68190e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518460.00,-8.36624e-05,-8.51840e-03,5.00000e-03,0.439,-0.088,0.894
419480.00,4518680.00,-2.40184e-04,-9.84860e-03,5.00000e-03,0.439,-0.088,0.894
419574.20,4523793.10,-2.52786e-03,-1.02690e-02,5.00000e-03,0.439,-0.088,0.894
419479.50,4524663.20,-2.51327e-03,-1.86810e-02,5.00000e-03,0.439,-0.088,0.894
419736.70,4515926.70,1.42935e-03,-1.37100e-02,5.00000e-03,0.439,-0.088,0.894
419700.00,4516040.00,1.36347e-03,-8.66360e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516260.00,1.30037e-03,-5.64530e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516480.00,1.22737e-03,-5.91310e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516700.00,1.14416e-03,-6.90740e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4516920.00,1.05057e-03,-9.47800e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517140.00,9.46550e-04,-8.32090e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517360.00,8.32237e-04,-8.38540e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517580.00,7.07945e-04,-8.71950e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4517800.00,5.74183e-04,-6.43700e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4518020.00,4.31659e-04,-3.43130e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4518240.00,2.81279e-04,-5.27490e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4518460.00,1.24136e-04,-8.14720e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4518680.00,-3.85125e-05,-8.14020e-03,5.00000e-03,0.439,-0.088,0.894
419700.00,4519120.00,-3.74619e-04,-9.25500e-03,5.00000e-03,0.439,-0.088,0.894
