xcen,xcen_1D_PPD,ycen,ycen_1D_PPD,depth,depth_1D_PPD,s_axis_max,s_axis_max_1D_PPD,dP_mu,dP_mu_1D_PPD,strike,strike_1D_PPD,dip,dip_1D_PPD
4.22500e+05,6.85000e-03,4.51550e+06,1.54500e-02,2.25003e+03,1.77500e-02,6.76244e+02,8.85000e-03,5.94908e-04,3.10000e-02,-4.09896e+01,2.08500e-02,1.59584e+00,2.71500e-02
4.22999e+05,6.70000e-03,4.51600e+06,1.93500e-02,2.49998e+03,2.98000e-02,8.51047e+02,1.28500e-02,1.08970e-03,5.07500e-02,-3.19907e+01,1.74000e-02,3.09076e+00,1.89000e-02
4.23499e+05,9.35000e-03,4.51650e+06,2.52500e-02,2.74993e+03,5.03500e-02,1.02585e+03,1.55000e-02,1.58449e-03,7.41000e-02,-2.29919e+01,1.85000e-02,4.58567e+00,2.13500e-02
4.23999e+05,1.50000e-02,4.51700e+06,3.52000e-02,2.99987e+03,8.87000e-02,1.20065e+03,3.20500e-02,2.07929e-03,6.75000e-02,-1.39930e+01,1.83500e-02,6.08058e+00,2.29500e-02
4.24498e+05,2.21500e-02,4.51750e+06,6.00500e-02,3.24982e+03,1.21400e-01,1.37546e+03,6.97500e-02,2.57408e-03,5.97500e-02,-4.99415e+00,2.59500e-02,7.57550e+00,3.16500e-02
4.24998e+05,4.12500e-02,4.51800e+06,1.12050e-01,3.49977e+03,1.28800e-01,1.55026e+03,1.48050e-01,3.06887e-03,5.12000e-02,4.00472e+00,2.78500e-02,9.07041e+00,3.22500e-02
4.25498e+05,8.00500e-02,4.51850e+06,2.15600e-01,3.74971e+03,1.09800e-01,1.72506e+03,1.75700e-01,3.56367e-03,6.35500e-02,1.30036e+01,2.70500e-02,1.05653e+01,4.00000e-02
4.25997e+05,1.83950e-01,4.51900e+06,2.73150e-01,3.99966e+03,8.87500e-02,1.89986e+03,1.22650e-01,4.05846e-03,8.06500e-02,2.20024e+01,3.29000e-02,1.20602e+01,4.16000e-02
4.26497e+05,2.64500e-01,4.51950e+06,1.34500e-01,4.24961e+03,6.62500e-02,2.07467e+03,8.55500e-02,4.55325e-03,8.65500e-02,3.10013e+01,3.07500e-02,1.35552e+01,3.76500e-02
4.26997e+05,1.80150e-01,4.52000e+06,4.62500e-02,4.49955e+03,5.22500e-02,2.24947e+03,6.87500e-02,5.04805e-03,7.92500e-02,4.00002e+01,3.71000e-02,1.50501e+01,4.52500e-02
4.27496e+05,8.14500e-02,4.52050e+06,1.97500e-02,4.74950e+03,4.33500e-02,2.42427e+03,5.93500e-02,5.54284e-03,5.63500e-02,4.89990e+01,4.92000e-02,1.65450e+01,4.93500e-02
4.27996e+05,3.79500e-02,4.52100e+06,1.20000e-02,4.99945e+03,3.37000e-02,2.59908e+03,5.76000e-02,6.03763e-03,4.33000e-02,5.79979e+01,6.37500e-02,1.80399e+01,5.47000e-02
4.28495e+05,2.08000e-02,4.52150e+06,7.50000e-03,5.24939e+03,2.80500e-02,2.77388e+03,4.58000e-02,6.53242e-03,4.04500e-02,6.69968e+01,9.74500e-02,1.95348e+01,6.69000e-02
4.28995e+05,1.31000e-02,4.52200e+06,5.15000e-03,5.49934e+03,2.70000e-02,2.94868e+03,2.95500e-02,7.02722e-03,3.95500e-02,7.59956e+01,1.25400e-01,2.10297e+01,7.92000e-02
4.29495e+05,9.50000e-03,4.52250e+06,3.70000e-03,5.74928e+03,2.29500e-02,3.12348e+03,1.82500e-02,7.52201e-03,3.82000e-02,8.49945e+01,1.05150e-01,2.25246e+01,7.02000e-02
4.29994e+05,6.25000e-03,4.52300e+06,3.70000e-03,5.99923e+03,2.09500e-02,3.29829e+03,1.26500e-02,8.01680e-03,2.95000e-02,9.39934e+01,9.82000e-02,2.40196e+01,5.95500e-02
4.30494e+05,6.10000e-03,4.52350e+06,2.55000e-03,6.24918e+03,1.85000e-02,3.47309e+03,1.16500e-02,8.51160e-03,2.97000e-02,1.02992e+02,7.58500e-02,2.55145e+01,8.01000e-02
4.30994e+05,5.95000e-03,4.52399e+06,2.45000e-03,6.49912e+03,1.91000e-02,3.64789e+03,9.15000e-03,9.00639e-03,2.68000e-02,1.11991e+02,5.25000e-02,2.70094e+01,9.08500e-02
4.31493e+05,3.90000e-03,4.52449e+06,3.45000e-03,6.74907e+03,1.50500e-02,3.82270e+03,7.90000e-03,9.50118e-03,2.43500e-02,1.20990e+02,4.16500e-02,2.85043e+01,7.07000e-02
4.31993e+05,5.05000e-03,4.52499e+06,2.90000e-03,6.99902e+03,1.75000e-02,3.99750e+03,8.40000e-03,9.99598e-03,2.75000e-02,1.29989e+02,3.41500e-02,2.99992e+01,5.97000e-02
