func,iter,xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
1.137311e+01,18,4.2628470e+05,4.5188029e+06,2.8513365e+03,1.5514822e+03,4.2472616e-03,8.8886652e+01,2.6439071e+01
1.140085e+01,18,4.2632492e+05,4.5187465e+06,2.9935146e+03,1.5121883e+03,4.7221877e-03,7.1465848e+01,2.9480044e+01
1.169094e+01,18,4.2625314e+05,4.5187487e+06,3.0752020e+03,1.5465307e+03,4.7185979e-03,8.0991079e+01,2.4646811e+01
1.202726e+01,17,4.2619110e+05,4.5187011e+06,3.0324559e+03,1.4733364e+03,5.4183118e-03,7.3026165e+01,2.7730000e+01
1.206588e+01,17,4.2619848e+05,4.5187410e+06,3.0551606e+03,1.4794285e+03,5.1837174e-03,7.3725579e+01,2.6516353e+01
1.230140e+01,19,4.2627335e+05,4.5186280e+06,3.0370048e+03,1.5188246e+03,4.9760834e-03,8.1811108e+01,2.8069242e+01
1.234402e+01,18,4.2634561e+05,4.5186544e+06,3.0245952e+03,1.4918995e+03,5.1359545e-03,8.4861096e+01,2.4187384e+01
1.235612e+01,18,4.2623282e+05,4.5186282e+06,3.0410329e+03,1.5158159e+03,4.8186691e-03,7.3005716e+01,2.3988548e+01
1.237476e+01,19,4.2625770e+05,4.5187748e+06,3.0075082e+03,1.5353370e+03,4.4011528e-03,7.8419101e+01,2.7060710e+01
1.243627e+01,19,4.2626024e+05,4.5188423e+06,2.9170625e+03,1.5261136e+03,4.6914307e-03,7.5041140e+01,2.6917600e+01
1.258649e+01,18,4.2622321e+05,4.5187384e+06,2.8918888e+03,1.5818838e+03,3.9276351e-03,6.6326251e+01,2.4993439e+01
1.267069e+01,17,4.2620386e+05,4.5187561e+06,3.0031621e+03,1.5763131e+03,4.4547791e-03,8.4027031e+01,2.5517988e+01
1.269707e+01,17,4.2621273e+05,4.5187083e+06,3.1310527e+03,1.5297867e+03,5.0446999e-03,6.7420517e+01,2.7058688e+01
1.272341e+01,19,4.2638920e+05,4.5186385e+06,2.9656812e+03,1.4703424e+03,5.2331765e-03,7.7984947e+01,2.8270976e+01
1.278483e+01,18,4.2631001e+05,4.5187430e+06,3.1921724e+03,1.6429523e+03,4.2271756e-03,7.2657320e+01,2.6701426e+01
1.282035e+01,19,4.2623882e+05,4.5186367e+06,3.1636672e+03,1.5434665e+03,5.0246434e-03,7.3020806e+01,2.3644639e+01
1.311608e+01,16,4.2616179e+05,4.5186877e+06,3.1597960e+03,1.5459516e+03,4.8463091e-03,7.6620376e+01,2.5777976e+01
1.320429e+01,15,4.2627779e+05,4.5188259e+06,3.0248720e+03,1.6292134e+03,3.9321716e-03,6.5361213e+01,2.7417778e+01
1.322093e+01,19,4.2630524e+05,4.5187918e+06,3.0799289e+03,1.5888205e+03,4.6026617e-03,7.5211178e+01,2.5838571e+01
1.329236e+01,19,4.2628031e+05,4.5186904e+06,2.7323494e+03,1.4747362e+03,4.7142858e-03,7.5512874e+01,2.9207717e+01
1.341643e+01,16,4.2629904e+05,4.5187623e+06,3.2252230e+03,1.6397935e+03,4.3817183e-03,8.8582677e+01,2.8299047e+01
1.351610e+01,19,4.2625756e+05,4.5187625e+06,2.9883230e+03,1.5540652e+03,4.7487322e-03,7.3485603e+01,2.6594640e+01
1.380435e+01,16,4.2627128e+05,4.5188807e+06,2.5612011e+03,1.3985705e+03,4.7581311e-03,7.6042866e+01,2.8009401e+01
1.381757e+01,16,4.2633941e+05,4.5186777e+06,2.8730547e+03,1.3780928e+03,6.3315702e-03,8.7881486e+01,2.4625217e+01
1.387713e+01,19,4.2619990e+05,4.5186824e+06,3.1467351e+03,1.6686464e+03,3.8136700e-03,6.4990690e+01,2.7478269e+01
1.389103e+01,19,4.2621217e+05,4.5187445e+06,3.2501625e+03,1.5814922e+03,4.9026928e-03,8.5319967e+01,2.5667967e+01
1.399217e+01,19,4.2617978e+05,4.5186399e+06,3.0072491e+03,1.6620149e+03,3.5796906e-03,6.5239868e+01,2.8726822e+01
1.400976e+01,19,4.2622446e+05,4.5186083e+06,3.0688084e+03,1.5328153e+03,4.8808450e-03,6.0450191e+01,2.6774466e+01
1.407053e+01,19,4.2612971e+05,4.5187309e+06,2.8691738e+03,1.5442153e+03,4.1595352e-03,6.8544202e+01,2.3473234e+01
1.411810e+01,14,4.2621344e+05,4.5185616e+06,3.2469280e+03,1.5423139e+03,5.1384897e-03,7.0995849e+01,2.6748610e+01
1.422560e+01,17,4.2636117e+05,4.5185849e+06,2.9574493e+03,1.5705602e+03,4.2851833e-03,6.8717132e+01,2.4374225e+01
1.427726e+01,19,4.2620365e+05,4.5186994e+06,3.2791983e+03,1.5798974e+03,4.7440088e-03,7.6197511e+01,2.3922924e+01
1.437127e+01,19,4.2645525e+05,4.5187461e+06,3.0170456e+03,1.5157064e+03,4.8685634e-03,8.5999419e+01,2.1742534e+01
1.446307e+01,16,4.2622314e+05,4.5186990e+06,3.3291438e+03,1.6775731e+03,4.1043179e-03,7.6855069e+01,2.6567822e+01
1.451600e+01,16,4.2616112e+05,4.5187247e+06,3.2607349e+03,1.5478523e+03,4.9335907e-03,7.9868008e+01,2.8424523e+01
1.451916e+01,15,4.2627587e+05,4.5187079e+06,3.3013379e+03,1.6417654e+03,4.6090950e-03,7.7400194e+01,2.5948086e+01
1.452976e+01,18,4.2638031e+05,4.5187227e+06,3.1951680e+03,1.4440597e+03,6.4964150e-03,8.2570876e+01,2.5155463e+01
1.456819e+01,14,4.2627265e+05,4.5185703e+06,2.8958840e+03,1.5006117e+03,4.8792413e-03,7.4921392e+01,2.7822611e+01
1.460498e+01,18,4.2622231e+05,4.5186815e+06,3.0380930e+03,1.5771618e+03,4.0162227e-03,7.2596594e+01,2.7282930e+01
1.464708e+01,19,4.2635314e+05,4.5187160e+06,3.2860860e+03,1.6433720e+03,4.2344460e-03,7.1947108e+01,2.7543633e+01
1.468874e+01,19,4.2633757e+05,4.5187718e+06,3.3246750e+03,1.7152892e+03,3.9493176e-03,7.7711254e+01,2.7240124e+01
1.473071e+01,18,4.2633119e+05,4.5188493e+06,3.1087090e+03,1.6008462e+03,4.1018126e-03,8.5081136e+01,2.5196459e+01
1.496887e+01,19,4.2633645e+05,4.5185379e+06,3.0429786e+03,1.5673468e+03,4.5725258e-03,7.5750497e+01,2.5911105e+01
